debt	raised_in	status	settled_in	note
#758①	758	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#760②	760	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#767①	767	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#768①	768	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#769①	769	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#773②	773	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#778①	778	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#783①	783	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#783②	783	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#784①	784	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#785②	785	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#786②	786	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#787③	787	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#788②	788	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#789①	789	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#790②	790	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#791②	791	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#792②	792	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#793②	793	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#794②	794	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#795②	795	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#796①	796	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#797②	797	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#798①	798	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#799①	799	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#799②	799	UNVERIFIED		从 #800 的规范清单导入;状态未知,不是「未还」
#831①	831	OPEN		闸只保证 DEBTS.tsv 自洽,不保证它被更新;需要「新 NEXT 里的欠账号必须在表里有行」的检查。⚠ 本轮刻意不做它:连续五轮基建=盆地(frontier §3),回到对象
#826②	826	SETTLED	832	政治网格从没做过多重性校正 ⇒ #832 执行:BH 0 格、BY 0 格存活
#833①	833	OPEN		units() 把表行切了两次(row 整行 / para 到锚为止)⇒ 自 #798 起总体规模虚高,且锚后追加的注记对 para 不可见;需修 units() 并重跑 #798/#807/#828 的计数
#835①	835	OPEN		「宗教缝 vs 年龄缝」两层墙:APC 不可识别 + 分层后无功效(三带比值 0.72–1.80×,需 <0.5)。唯一诚实的路是换一份年龄层内 n 更大的调查 —— 另一具仪器的事
#836①	836	OPEN		kill 用 MDE 当尺而置换 p 算了却没进 kill;判据量与其自身噪声应成为 gates 的必填参数
