covset,K,seed,cca
none,3,6,0.3606036399557985
none,3,16,0.3657783229595521
none,3,26,0.3114252069884948
none,5,6,0.4121713725146071
none,5,16,0.4182495128163473
none,5,26,0.36972694573929105
none,8,6,0.4133830875683389
none,8,16,0.4327439797765545
none,8,26,0.4077061124415259
sex_age,3,6,0.19508328469390013
sex_age,3,16,0.19787743971515828
sex_age,3,26,0.21574960446371536
sex_age,5,6,0.29911932619148707
sex_age,5,16,0.2855386527163096
sex_age,5,26,0.2897616308635805
sex_age,8,6,0.31581263229133233
sex_age,8,16,0.3184049726505431
sex_age,8,26,0.33332544881653203
sex_age_pers,3,6,0.19540245017769536
sex_age_pers,3,16,0.198316804905022
sex_age_pers,3,26,0.2124632595448399
sex_age_pers,5,6,0.2972839908637343
sex_age_pers,5,16,0.2846086168032263
sex_age_pers,5,26,0.28535562771970235
sex_age_pers,8,6,0.3109870205606182
sex_age_pers,8,16,0.3112157240257635
sex_age_pers,8,26,0.32083900364223994
PUBLISHED (+2 erotic),3,6,0.19683085790512206
PUBLISHED (+2 erotic),3,16,0.19959226417368253
PUBLISHED (+2 erotic),3,26,0.20813956010072057
PUBLISHED (+2 erotic),5,6,0.2854179288689789
PUBLISHED (+2 erotic),5,16,0.2666555936352196
PUBLISHED (+2 erotic),5,26,0.2832055747391804
PUBLISHED (+2 erotic),8,6,0.30514378441309864
PUBLISHED (+2 erotic),8,16,0.3047846445518477
PUBLISHED (+2 erotic),8,26,0.3147931615084796
SHAM (+2 non-erotic),3,6,0.19217067668021012
SHAM (+2 non-erotic),3,16,0.19447461632032134
SHAM (+2 non-erotic),3,26,0.2109715279726373
SHAM (+2 non-erotic),5,6,0.29762170836693375
SHAM (+2 non-erotic),5,16,0.28425754634238964
SHAM (+2 non-erotic),5,26,0.28611410324605163
SHAM (+2 non-erotic),8,6,0.3116548071841184
SHAM (+2 non-erotic),8,16,0.3120682238011016
SHAM (+2 non-erotic),8,26,0.3207011012198756
NEGCTRL (+8 random),3,6,0.20002307562249558
NEGCTRL (+8 random),3,16,0.20364248297064405
NEGCTRL (+8 random),3,26,0.22503525985172726
NEGCTRL (+8 random),5,6,0.2995667874185736
NEGCTRL (+8 random),5,16,0.2878733314099366
NEGCTRL (+8 random),5,26,0.28215355713363904
NEGCTRL (+8 random),8,6,0.31197160629799575
NEGCTRL (+8 random),8,16,0.3116879179545385
NEGCTRL (+8 random),8,26,0.319098536880381
