subset,seed,inc,null,mean_n,mean_k,fluid_share
0,1,0.02705918333831614,-1.0355677056983481e-06,4481.25,16.625,0.25
0,2,0.027314512635254418,1.3994623276891716e-06,4481.25,16.625,0.25
0,3,0.027794969661334545,5.003862569852302e-06,4481.25,16.625,0.25
1,1,0.01805068400077703,-3.255914507060975e-05,2823.125,15.625,0.375
1,2,0.018188551188307867,-2.347869328067631e-06,2823.125,15.625,0.375
1,3,0.017416474460291043,6.838576093182169e-06,2823.125,15.625,0.375
2,1,0.021377268854756104,8.286052743944339e-08,3746.75,19.375,0.0
2,2,0.021875876687666773,8.478889189644789e-07,3746.75,19.375,0.0
2,3,0.021215398262523166,4.365856593691042e-06,3746.75,19.375,0.0
3,1,0.01975508392516312,-2.333791043751532e-07,3946.25,17.75,0.0
3,2,0.019548124648909426,-3.955114009412952e-06,3946.25,17.75,0.0
3,3,0.018657155475197862,-1.3730274899925732e-05,3946.25,17.75,0.0
4,1,0.026005311153745714,-2.0387110755137883e-07,4070.5,15.875,0.125
4,2,0.025351206406641458,8.707719215683696e-07,4070.5,15.875,0.125
4,3,0.026157938925834734,6.305589942634526e-06,4070.5,15.875,0.125
5,1,0.018843804289619515,-4.066449277306816e-08,3360.0,15.25,0.125
5,2,0.01958329458488539,-3.1355806517918694e-07,3360.0,15.25,0.125
5,3,0.018916596846528244,7.789999689755689e-08,3360.0,15.25,0.125
6,1,0.025600133603053576,-4.416115956251687e-07,4558.375,15.75,0.25
6,2,0.024429700688051392,1.2477022225509948e-05,4558.375,15.75,0.25
6,3,0.02524009331325716,7.3593760067103275e-06,4558.375,15.75,0.25
7,1,0.022978532556531595,-1.321747896909642e-06,3732.25,15.125,0.25
7,2,0.02244695734857305,7.4484195016211174e-06,3732.25,15.125,0.25
7,3,0.02265263517242233,-7.035664536525488e-07,3732.25,15.125,0.25
8,1,0.023678814317350638,-1.9154485939587573e-06,4620.625,16.125,0.125
8,2,0.023267136755565354,-2.2118766639378507e-06,4620.625,16.125,0.125
8,3,0.023229494377997706,3.6547523193375397e-06,4620.625,16.125,0.125
9,1,0.027202765330270884,1.4353275301637325e-07,4761.5,17.125,0.0
9,2,0.02662997303635095,1.035831261209097e-06,4761.5,17.125,0.0
9,3,0.027445015847765042,-2.471263133130286e-06,4761.5,17.125,0.0
10,1,0.02410704183517376,2.689545770540036e-07,4624.5,16.625,0.125
10,2,0.025310615996559482,-2.379298006283115e-06,4624.5,16.625,0.125
10,3,0.024022218491856928,-2.4217233546286465e-06,4624.5,16.625,0.125
11,1,0.015968700503244615,-2.0992213078940836e-08,3619.75,16.375,0.0
11,2,0.016417495637041868,-8.060254822916946e-06,3619.75,16.375,0.0
11,3,0.01494056790854792,2.1593444222700597e-06,3619.75,16.375,0.0
12,1,0.024360357522979714,-1.1726290638502945e-07,4877.75,17.125,0.125
12,2,0.02578458738783851,-2.1319217817783453e-06,4877.75,17.125,0.125
12,3,0.024443542582252564,3.4383262746962018e-06,4877.75,17.125,0.125
13,1,0.017273353999036956,8.697682510883098e-07,3113.25,15.875,0.25
13,2,0.01747649578503563,3.486042831069014e-07,3113.25,15.875,0.25
13,3,0.016428839071941925,-4.102940653893938e-06,3113.25,15.875,0.25
