n_sources,seed,increment,null
1,1,0.005542610324684616,3.317373868938489e-07
1,2,0.003771838639845204,-1.981761158464934e-05
1,3,0.007604423543900118,-1.428937915215478e-06
1,4,0.007930026779463306,5.459754535142025e-07
2,1,0.010670510473212658,-2.366344845516899e-06
2,2,0.012249160013137916,2.1688370155370507e-07
2,3,0.009821501062565297,-6.250389615547469e-06
2,4,0.0089957788977586,-3.3919184894148913e-06
4,1,0.012043491428995967,-6.5180396098263316e-06
4,2,0.013427736535580714,2.0231949136029215e-06
4,3,0.014521309552265826,-9.25040724319981e-06
4,4,0.01355632052760114,-1.8289926195791395e-07
8,1,0.021136402420453226,-1.1887308786096007e-05
8,2,0.02573526648786373,3.9701986009887946e-07
8,3,0.020899028477266213,5.014908411871133e-07
8,4,0.023947004589035314,5.37471037675985e-08
16,1,0.03010915577392992,-1.5994283393272468e-06
16,2,0.031346583857069676,-2.9657471133370805e-06
16,3,0.029266185335947825,-2.1367656675597146e-05
16,4,0.029206345409590106,-3.3833822856710327e-06
31,1,0.04195458324770951,-3.945705601060556e-05
31,2,0.040829287335963804,-5.600499479507803e-06
31,3,0.041354339169827115,-2.6391387453195136e-07
31,4,0.041631234359643554,-6.527355180807604e-07
