block,baseline,seed,gain,null_gain
1,propensity,4,0.03682778234751072,-0.0005033711938748908
1,propensity,14,0.03550272745618088,-0.0003007569221453732
1,propensity,24,0.03855944661272248,-0.0006984453804748103
1,propensity+n_blocks,4,0.03431683422483034,-0.00047921768128300624
1,propensity+n_blocks,14,0.03318761124813063,-0.00031470364301544596
1,propensity+n_blocks,24,0.036360702612654006,-0.0006228350766811497
1,propensity+coverage_pcs,4,0.02309879830292172,-0.00044223103840712596
1,propensity+coverage_pcs,14,0.022816225628212394,-0.0003192163231002798
1,propensity+coverage_pcs,24,0.025369896417932303,-0.0006014317699329919
1,propensity+full_coverage,4,0.016890164316085032,-0.0005201294483856422
1,propensity+full_coverage,14,0.01692881158712245,-0.0003757232787368059
1,propensity+full_coverage,24,0.01877039624861876,-0.0005977311827359832
4,propensity,4,0.08667056445235144,-0.004484999007079882
4,propensity,14,0.08985197897603092,-0.0028930590482396656
4,propensity,24,0.09641763121645652,-0.0018651924253634267
4,propensity+n_blocks,4,0.0794921033951892,-0.0039968631990005
4,propensity+n_blocks,14,0.07868593103012,-0.0040433697133847035
4,propensity+n_blocks,24,0.08462443819923704,-0.0019269806919897103
4,propensity+coverage_pcs,4,0.05989226547957771,-0.0032710237841825363
4,propensity+coverage_pcs,14,0.060519326878384794,-0.0032771161327783682
4,propensity+coverage_pcs,24,0.06641932191279976,-0.002018308663106372
4,propensity+full_coverage,4,0.013624609429932155,-0.0014785817695848191
4,propensity+full_coverage,14,0.015740598174568188,-0.002444858606703293
4,propensity+full_coverage,24,0.014978024435242543,-0.0007671946808675001
7,propensity,4,0.11015722482466916,-0.002181682932155926
7,propensity,14,0.10670680086555384,-0.0035226655942421914
7,propensity,24,0.10794147099512263,-0.004506463081736856
7,propensity+n_blocks,4,0.11144332919708344,-0.002723888591575463
7,propensity+n_blocks,14,0.10515792268840107,-0.0033159831690010577
7,propensity+n_blocks,24,0.10684690205041547,-0.004187661524798214
7,propensity+coverage_pcs,4,0.09411323841294994,-0.0024893818954551117
7,propensity+coverage_pcs,14,0.07723041422680499,-0.005343283836870216
7,propensity+coverage_pcs,24,0.09342238797033575,-0.0041427959310761375
7,propensity+full_coverage,4,0.081048100630976,-0.0034693561926412153
7,propensity+full_coverage,14,0.06571497542020155,-0.00484836198154448
