set,block,seed,gain,placebo,null
included [POS CTRL],1,1,0.4522116348865677,0.0,-0.0005336474924078072
included [POS CTRL],1,2,0.4558609345249858,-1.1102230246251565e-16,-0.00043207567405312286
included [POS CTRL],1,3,0.4512706958973671,0.0,-0.0006522481403249403
included [POS CTRL],1,4,0.4489895965719105,0.0,-0.0011190977532772317
included [POS CTRL],4,1,0.09099988476786014,3.3306690738754696e-16,-0.0013565785286682175
included [POS CTRL],4,2,0.1007174123309319,-1.1102230246251565e-16,-0.006267592313710102
included [POS CTRL],4,3,0.09339017741746936,0.0,-0.00240379744535435
included [POS CTRL],4,4,0.08290785416713342,0.0,-0.0035389161859763485
included [POS CTRL],7,1,0.014982161056381615,0.0,-0.003122145269948362
included [POS CTRL],7,2,0.0147619601059783,0.0,-0.003375276173575581
included [POS CTRL],7,3,0.015856731467383978,0.0,-0.0050665771785667335
included [POS CTRL],7,4,0.019264271330665217,2.220446049250313e-16,-0.0038461375591283264
included [POS CTRL],8,1,0.0161763634524853,0.0,-0.004530155442854067
included [POS CTRL],8,2,0.004086540428627328,0.0,-0.0031691148802783786
included [POS CTRL],8,3,0.020308975789755768,0.0,-0.0029762914906662497
included [POS CTRL],8,4,0.021995312313642046,0.0,-0.003832139760328812
included [POS CTRL],9,1,0.03094809346992322,1.1102230246251565e-16,-0.0042989413577833036
included [POS CTRL],9,2,0.036930264797695234,1.1102230246251565e-16,-0.0052770949169197445
included [POS CTRL],9,3,0.03059587962740029,0.0,-0.002026614809574112
included [POS CTRL],9,4,0.03469937040718607,0.0,-0.0026715209658132455
included [POS CTRL],11,1,0.016447862886000753,0.0,-0.006047309671747159
included [POS CTRL],11,2,0.02128533163656221,0.0,-0.008566100790450393
included [POS CTRL],11,3,0.030833923806295793,0.0,-0.00498502209363072
included [POS CTRL],11,4,0.02284388972502005,0.0,-0.004254917533011882
included [POS CTRL],13,1,0.08553368133366568,0.0,-0.0007539273068273289
included [POS CTRL],13,2,0.08809674044760085,0.0,-0.0010683583078174852
included [POS CTRL],13,3,0.09059619737753366,0.0,-0.0012530867118299982
included [POS CTRL],13,4,0.08799426502148633,0.0,-0.001009038485461966
included [POS CTRL],17,1,0.041700388226084684,0.0,-0.00786125315491848
included [POS CTRL],17,2,0.017941201298480758,2.220446049250313e-16,-0.006710823523336962
included [POS CTRL],17,3,0.02164413967398704,0.0,-0.005402256987377507
included [POS CTRL],17,4,0.021427791583208178,0.0,-0.0037276574957334496
included [POS CTRL],19,1,0.03339281688430651,0.0,-0.0010994792852938584
included [POS CTRL],19,2,0.04074399147944263,0.0,-0.0031579998594611913
included [POS CTRL],19,3,0.03763179967079067,0.0,-0.0033898049020002485
included [POS CTRL],19,4,0.042382247062707545,0.0,-0.0019742806068905328
included [POS CTRL],20,1,0.02575110268676084,0.0,-0.0008965614158260582
included [POS CTRL],20,2,0.02221872740237174,0.0,-0.0025425544411337153
included [POS CTRL],20,3,0.022082155323696173,0.0,-0.001085177003789406
included [POS CTRL],20,4,0.022456313205613365,0.0,-0.0012092254097137989
included [POS CTRL],29,1,0.06433710108252177,0.0,-0.000950792875552553
included [POS CTRL],29,2,0.06554704276933254,0.0,-0.001498898378129443
included [POS CTRL],29,3,0.06339727758036462,0.0,-0.001782399788056388
included [POS CTRL],29,4,0.061777572124940505,-1.1102230246251565e-16,-0.0013827984923082681
included [POS CTRL],36,1,0.050911234961027785,0.0,-0.0027327294786944067
included [POS CTRL],36,2,0.04936090371310953,0.0,-0.002578897703364502
included [POS CTRL],36,3,0.04975496605155916,-2.220446049250313e-16,-0.004299749815936615
included [POS CTRL],36,4,0.05261437947617309,0.0,-0.004565283664586084
included [POS CTRL],39,1,0.023859406221754975,0.0,-0.004253385534693899
included [POS CTRL],39,2,0.0245201841821171,0.0,-0.0013113306816135983
included [POS CTRL],39,3,0.021039529634553467,0.0,-0.004020075319107086
included [POS CTRL],39,4,0.023581114095723277,0.0,-0.005546060466172786
included [POS CTRL],42,1,0.03880591915047227,2.220446049250313e-16,-0.007167079290344436
included [POS CTRL],42,2,0.023211661378279014,0.0,-0.010412527277953498
included [POS CTRL],42,3,0.025942738818644062,0.0,-0.0027130080298097825
included [POS CTRL],42,4,0.03150811697409717,0.0,-0.005903687239010691
included [POS CTRL],48,1,0.028181374985083996,-1.1102230246251565e-16,-0.003374776008597813
included [POS CTRL],48,2,0.032330711578113513,1.1102230246251565e-16,-0.0027204840367093253
included [POS CTRL],48,3,0.02215387561215909,0.0,-0.0002374050827047558
included [POS CTRL],48,4,0.029845537240852038,0.0,-0.0034582013483084317
included [POS CTRL],51,1,0.0074317948233484366,0.0,-0.013240735373337253
included [POS CTRL],51,2,0.011770978124650444,0.0,0.0011856157361986863
