k,seed,rel,target,r
1,3,0.638,childhood_adversity,0.0492
1,3,0.638,mental_illness,0.0531
1,3,0.638,pornhabit_POSCTRL,0.1797
1,3,0.638,spanked,0.015
1,3,0.638,assault,0.01
1,3,0.638,openness,0.0225
1,3,0.638,NULL_rowparity,0.003
1,3,0.638,NULL_coinflip,0.0086
1,13,0.948,childhood_adversity,0.0999
1,13,0.948,mental_illness,0.0903
1,13,0.948,pornhabit_POSCTRL,0.2161
1,13,0.948,spanked,0.0343
1,13,0.948,assault,0.0369
1,13,0.948,openness,0.0659
1,13,0.948,NULL_rowparity,-0.0002
1,13,0.948,NULL_coinflip,0.0121
1,23,0.776,childhood_adversity,0.0559
1,23,0.776,mental_illness,0.0628
1,23,0.776,pornhabit_POSCTRL,0.1453
1,23,0.776,spanked,0.0233
1,23,0.776,assault,0.0128
1,23,0.776,openness,0.0539
1,23,0.776,NULL_rowparity,0.0026
1,23,0.776,NULL_coinflip,0.0022
2,3,0.601,childhood_adversity,0.0922
2,3,0.601,mental_illness,0.082
2,3,0.601,pornhabit_POSCTRL,0.1542
2,3,0.601,spanked,0.0309
2,3,0.601,assault,0.0275
2,3,0.601,openness,0.1057
2,3,0.601,NULL_rowparity,-0.0016
2,3,0.601,NULL_coinflip,0.0062
2,13,0.81,childhood_adversity,0.0846
2,13,0.81,mental_illness,0.0825
2,13,0.81,pornhabit_POSCTRL,0.1912
2,13,0.81,spanked,0.0324
2,13,0.81,assault,0.0273
2,13,0.81,openness,0.0691
2,13,0.81,NULL_rowparity,0.0009
2,13,0.81,NULL_coinflip,0.0069
2,23,0.934,childhood_adversity,0.0971
2,23,0.934,mental_illness,0.0891
2,23,0.934,pornhabit_POSCTRL,0.2046
2,23,0.934,spanked,0.0344
2,23,0.934,assault,0.033
2,23,0.934,openness,0.0783
2,23,0.934,NULL_rowparity,0.001
2,23,0.934,NULL_coinflip,0.0113
3,3,0.619,childhood_adversity,0.0917
3,3,0.619,mental_illness,0.0857
3,3,0.619,pornhabit_POSCTRL,0.1966
3,3,0.619,spanked,0.0301
3,3,0.619,assault,0.0253
3,3,0.619,openness,0.0901
3,3,0.619,NULL_rowparity,0.0001
3,3,0.619,NULL_coinflip,0.0086
3,13,0.81,childhood_adversity,0.0888
3,13,0.81,mental_illness,0.0852
3,13,0.81,pornhabit_POSCTRL,0.1938
3,13,0.81,spanked,0.0335
3,13,0.81,assault,0.0282
3,13,0.81,openness,0.0774
3,13,0.81,NULL_rowparity,0.0013
3,13,0.81,NULL_coinflip,0.0082
3,23,0.416,childhood_adversity,0.0822
3,23,0.416,mental_illness,0.082
3,23,0.416,pornhabit_POSCTRL,0.1925
3,23,0.416,spanked,0.0278
3,23,0.416,assault,0.0201
3,23,0.416,openness,0.0806
3,23,0.416,NULL_rowparity,0.0004
3,23,0.416,NULL_coinflip,0.0054
4,3,0.841,childhood_adversity,0.0962
4,3,0.841,mental_illness,0.0896
4,3,0.841,pornhabit_POSCTRL,0.1891
4,3,0.841,spanked,0.0346
4,3,0.841,assault,0.0299
4,3,0.841,openness,0.0944
4,3,0.841,NULL_rowparity,-0.0003
4,3,0.841,NULL_coinflip,0.0072
4,13,0.812,childhood_adversity,0.0995
4,13,0.812,mental_illness,0.0918
4,13,0.812,pornhabit_POSCTRL,0.1995
4,13,0.812,spanked,0.035
4,13,0.812,assault,0.0327
4,13,0.812,openness,0.0882
4,13,0.812,NULL_rowparity,-0.001
4,13,0.812,NULL_coinflip,0.0079
4,23,0.844,childhood_adversity,0.0924
4,23,0.844,mental_illness,0.0894
4,23,0.844,pornhabit_POSCTRL,0.2264
4,23,0.844,spanked,0.033
4,23,0.844,assault,0.0294
4,23,0.844,openness,0.0654
4,23,0.844,NULL_rowparity,0.0013
4,23,0.844,NULL_coinflip,0.0101
5,3,0.843,childhood_adversity,0.0992
5,3,0.843,mental_illness,0.0918
5,3,0.843,pornhabit_POSCTRL,0.1998
5,3,0.843,spanked,0.0353
5,3,0.843,assault,0.0322
5,3,0.843,openness,0.0897
5,3,0.843,NULL_rowparity,-0.0003
5,3,0.843,NULL_coinflip,0.0085
5,13,0.814,childhood_adversity,0.0969
5,13,0.814,mental_illness,0.0922
5,13,0.814,pornhabit_POSCTRL,0.2126
5,13,0.814,spanked,0.0341
5,13,0.814,assault,0.0287
5,13,0.814,openness,0.0882
5,13,0.814,NULL_rowparity,0.0005
5,13,0.814,NULL_coinflip,0.0086
5,23,0.906,childhood_adversity,0.0992
5,23,0.906,mental_illness,0.0918
5,23,0.906,pornhabit_POSCTRL,0.1998
5,23,0.906,spanked,0.0353
5,23,0.906,assault,0.0322
5,23,0.906,openness,0.0897
5,23,0.906,NULL_rowparity,-0.0003
5,23,0.906,NULL_coinflip,0.0085
6,3,0.893,childhood_adversity,0.0992
6,3,0.893,mental_illness,0.0934
6,3,0.893,pornhabit_POSCTRL,0.2169
6,3,0.893,spanked,0.0347
6,3,0.893,assault,0.0309
6,3,0.893,openness,0.085
6,3,0.893,NULL_rowparity,0.0004
6,3,0.893,NULL_coinflip,0.0095
6,13,0.893,childhood_adversity,0.0992
6,13,0.893,mental_illness,0.0934
6,13,0.893,pornhabit_POSCTRL,0.2169
6,13,0.893,spanked,0.0347
6,13,0.893,assault,0.0309
6,13,0.893,openness,0.085
6,13,0.893,NULL_rowparity,0.0004
6,13,0.893,NULL_coinflip,0.0095
6,23,0.86,childhood_adversity,0.0992
6,23,0.86,mental_illness,0.0934
6,23,0.86,pornhabit_POSCTRL,0.2169
6,23,0.86,spanked,0.0347
6,23,0.86,assault,0.0309
6,23,0.86,openness,0.085
6,23,0.86,NULL_rowparity,0.0004
6,23,0.86,NULL_coinflip,0.0095
