catset,k,noise,observed,rival_mean,rival_p975,above
matched27 (as published),27,0.3,0.959,0.461,0.553,True
matched27 (as published),27,0.5,0.959,0.445,0.542,True
matched27 (as published),27,0.7,0.959,0.435,0.516,True
matched27 (as published),27,POSCTRL inj=0.0,0.439,0.439,0.565,False
matched27 (as published),27,POSCTRL inj=0.3,1.355,0.439,0.565,True
matched_plus,28,0.3,0.975,0.461,0.551,True
matched_plus,28,0.5,0.975,0.451,0.528,True
matched_plus,28,0.7,0.975,0.436,0.519,True
matched_plus,28,POSCTRL inj=0.0,0.454,0.449,0.542,False
matched_plus,28,POSCTRL inj=0.3,1.393,0.449,0.542,True
