arm,grouping,side,seed,own,other,glob,random,n_pairs,n_people
capped,sex,A,1,67.81342679967646,65.24321114290342,67.25149346106238,50.86286177982148,18545,3188
capped,sex,B,1,65.46491795565488,66.19022410446445,65.59886100729668,53.799374151266456,17003,3042
capped,sex,A,2,68.30757592132281,65.81394098995001,67.41179639105845,47.837095297096376,18506,3188
capped,sex,B,2,65.94992465515243,65.67899768422302,66.03873863233731,56.455859123617856,17254,3042
capped,sex,A,3,68.5237372642532,66.42134314627415,68.30229419703105,44.69228264408987,18452,3188
capped,sex,B,3,65.68796433878157,65.9585798816568,66.48898365316276,53.56432166686176,16825,3042
capped,sex,A,4,68.76108572964257,66.4104493657278,67.77646932876566,44.19892473118279,18605,3188
capped,sex,B,4,65.63327254544384,65.62018718161356,65.21790203218607,42.39639532815557,16999,3042
capped,sex,A,5,68.42048691352717,66.11930655755357,67.71836778872172,54.792358351929465,18607,3188
capped,sex,B,5,66.78057977845864,65.45443758898908,65.94863297431648,50.71365116967723,16972,3042
capped,sex,A,6,68.30785733440601,66.5772819907755,68.28940290478752,48.53210022583073,18645,3188
capped,sex,B,6,66.16532449076267,66.12979351032449,66.5443135397549,45.82890855457227,16888,3042
capped,breadth,A,1,65.355,64.06,65.65,48.87,20000,3734
capped,breadth,B,1,69.34780820791184,69.39701394044378,69.17329868442424,39.40886699507389,12159,2496
capped,breadth,A,2,66.47,64.96,65.465,49.43,20000,3734
capped,breadth,B,2,68.41014588859416,69.16639045409347,69.67944481163252,55.38577154308617,12064,2496
capped,breadth,A,3,65.71,64.815,65.67,49.15,20000,3734
capped,breadth,B,3,69.21102740293071,69.97024301537444,69.94512803458596,52.76063523409858,12079,2496
capped,breadth,A,4,66.05,64.72,65.26,43.505,20000,3734
capped,breadth,B,4,68.63586636371286,68.69789929976659,69.07036637035806,45.91163451098304,11883,2496
capped,breadth,A,5,66.39,64.985,65.51,57.415,20000,3734
capped,breadth,B,5,68.66127434796962,70.10343400910219,69.12347309343018,46.63862080343149,12116,2496
capped,breadth,A,6,65.95,64.755,65.39,47.0,20000,3734
capped,breadth,B,6,68.6128364389234,68.85718997361478,68.76553438276719,56.15511551155115,12075,2496
uncapped,sex,A,1,67.81342679967646,65.24321114290342,67.25149346106238,50.86286177982148,18545,3188
uncapped,sex,B,1,65.46491795565488,66.19022410446445,65.59886100729668,53.799374151266456,17003,3042
uncapped,sex,A,2,68.30757592132281,65.81394098995001,67.41179639105845,47.837095297096376,18506,3188
uncapped,sex,B,2,65.94992465515243,65.67899768422302,66.03873863233731,56.455859123617856,17254,3042
uncapped,sex,A,3,68.5237372642532,66.42134314627415,68.30229419703105,44.69228264408987,18452,3188
uncapped,sex,B,3,65.68796433878157,65.9585798816568,66.48898365316276,53.56432166686176,16825,3042
uncapped,sex,A,4,68.76108572964257,66.4104493657278,67.77646932876566,44.19892473118279,18605,3188
uncapped,sex,B,4,65.63327254544384,65.62018718161356,65.21790203218607,42.39639532815557,16999,3042
uncapped,sex,A,5,68.42048691352717,66.11930655755357,67.71836778872172,54.792358351929465,18607,3188
uncapped,sex,B,5,66.78057977845864,65.45443758898908,65.94863297431648,50.71365116967723,16972,3042
uncapped,sex,A,6,68.30785733440601,66.5772819907755,68.28940290478752,48.53210022583073,18645,3188
uncapped,sex,B,6,66.16532449076267,66.12979351032449,66.5443135397549,45.82890855457227,16888,3042
uncapped,breadth,A,1,65.30909090909091,65.29396749766018,65.84396923336996,46.92095783004874,23375,3734
uncapped,breadth,B,1,69.4853246861229,69.49180736920901,69.64315491078872,52.96511627906977,12027,2496
uncapped,breadth,A,2,66.67803111016407,65.25629553879585,65.52915582476645,44.766251492919295,23465,3734
uncapped,breadth,B,2,68.40503413671136,69.63627220918538,68.77236787349148,58.17351598173516,12157,2496
uncapped,breadth,A,3,66.10953972743636,64.9171974522293,65.85520745131245,54.64057847724373,23334,3734
uncapped,breadth,B,3,68.84430442712652,69.30643547849283,69.28487690504103,43.63666611212776,12062,2496
uncapped,breadth,A,4,66.29878304657994,64.97294555292527,65.81153162306325,53.701497617426824,23830,3734
uncapped,breadth,B,4,69.08577596944284,69.45703221553926,69.36274509803921,54.28967541999674,12043,2496
uncapped,breadth,A,5,66.190090051641,65.57063252371432,66.19975380958445,52.37688463674027,23431,3734
uncapped,breadth,B,5,69.83655274888558,69.49320967207684,69.11164765631504,46.48282694848085,12114,2496
uncapped,breadth,A,6,65.83298186419232,64.81104897475004,65.58613051627194,49.46441424277065,23710,3734
uncapped,breadth,B,6,68.81773399014779,68.96892771779444,69.05019562141014,40.74043535620053,12180,2496
