q,world,mode,seed,skill,lam,n,m
1,real,raw,11,0.08737530898708834,1.0,15250,16
1,real,js,11,0.09113989086725682,0.7339027399577434,15250,16
1,real,eb,11,0.09128376484190415,0.7412281647938824,15250,16
1,noperson,raw,11,-0.05666282486750063,1.0,15250,16
1,noperson,js,11,-0.00031485872570047313,0.06323587601672517,15250,16
1,noperson,eb,11,-0.00038030326592120023,0.0683386719367714,15250,16
1,planted,raw,11,-0.006326150866992397,1.0,15250,16
1,planted,js,11,0.02042023394135084,0.5211196608169689,15250,16
1,planted,eb,11,0.019325109359608295,0.532258891397749,15250,16
1,real,raw,29,0.08500919794348827,1.0,15250,16
1,real,js,29,0.08971416136118804,0.7345011048897848,15250,16
1,real,eb,29,0.08986689259601399,0.7417711401345884,15250,16
1,noperson,raw,29,-0.05473122760478977,1.0,15250,16
1,noperson,js,29,-0.00026959957286010194,0.07160299199496999,15250,16
1,noperson,eb,29,-0.0005069374858435172,0.07712989016717217,15250,16
1,planted,raw,29,0.0006298767363420721,1.0,15250,16
1,planted,js,29,0.024239599123547118,0.515299645838393,15250,16
1,planted,eb,29,0.02378498276629759,0.526201424787115,15250,16
1,real,raw,47,0.08034593032910164,1.0,15250,16
1,real,js,47,0.08592286971136842,0.7357062458345603,15250,16
1,real,eb,47,0.08570408011663055,0.7429084930940442,15250,16
1,noperson,raw,47,-0.05727095473580501,1.0,15250,16
1,noperson,js,47,-0.0006854692123683392,0.09655624858362222,15250,16
1,noperson,eb,47,-0.0008746790414085881,0.10363634821089238,15250,16
1,planted,raw,47,-0.0011975516656412832,1.0,15250,16
1,planted,js,47,0.02332283044355621,0.5363071263681779,15250,16
1,planted,eb,47,0.022152972156390116,0.5466724380484432,15250,16
4,real,raw,11,0.04794132617693947,1.0,2897,14
4,real,js,11,0.05295983803540216,0.6025232089031044,2897,14
4,real,eb,11,0.0544390465115846,0.6215822568510476,2897,14
4,noperson,raw,11,-0.06172479679264631,1.0,2897,14
4,noperson,js,11,-0.0012097464168915328,0.1033716463455501,2897,14
4,noperson,eb,11,-0.0009664613997756311,0.11656746585322754,2897,14
4,planted,raw,11,0.004247692851360729,1.0,2897,14
4,planted,js,11,0.025240119235444447,0.46857721837241184,2897,14
4,planted,eb,11,0.02325436358929145,0.49128565030443044,2897,14
4,real,raw,29,0.03848897784622407,1.0,2897,14
4,real,js,29,0.04761502236692583,0.6126803054463299,2897,14
4,real,eb,29,0.04793424775458244,0.6311608371209219,2897,14
4,noperson,raw,29,-0.05795950873010547,1.0,2897,14
4,noperson,js,29,-0.0009221402429673287,0.10746228587486534,2897,14
4,noperson,eb,29,-0.0014951312159161567,0.12116421271486383,2897,14
4,planted,raw,29,-0.019718443496665627,1.0,2897,14
4,planted,js,29,0.01414662287137014,0.48318446652184,2897,14
4,planted,eb,29,0.011567234607852472,0.5059695752743248,2897,14
4,real,raw,47,0.0339190370261806,1.0,2897,14
4,real,js,47,0.046539671996320475,0.6123186892066849,2897,14
4,real,eb,47,0.046301008345003725,0.6311991093270254,2897,14
4,noperson,raw,47,-0.050527179975256686,1.0,2897,14
4,noperson,js,47,-9.009867396947424e-05,0.09052807452526261,2897,14
4,noperson,eb,47,-0.000453108007786418,0.10283738413056297,2897,14
4,planted,raw,47,-0.005186388484237914,1.0,2897,14
4,planted,js,47,0.02114515111984594,0.5025914960450482,2897,14
4,planted,eb,47,0.019992656448226787,0.5242963303303064,2897,14
7,real,raw,11,0.09656373897202608,1.0,1289,10
7,real,js,11,0.12086315083268806,0.7082744032999246,1289,10
7,real,eb,11,0.11729182499267599,0.7220807429063467,1289,10
7,noperson,raw,11,-0.11117826106719653,1.0,1289,10
7,noperson,js,11,-0.001589912434365015,0.15955705855268357,1289,10
7,noperson,eb,11,-0.004397188943206287,0.17203437378221467,1289,10
7,planted,raw,11,-0.07917956037234597,1.0,1289,10
7,planted,js,11,0.0038913500599716544,0.41189787428721586,1289,10
7,planted,eb,11,-0.005448094378637025,0.42914363059214783,1289,10
7,real,raw,29,0.10498001002094859,1.0,1289,10
7,real,js,29,0.12455943611785747,0.7065787128816275,1289,10
7,real,eb,29,0.12596187124830627,0.7191969142492053,1289,10
