K,seed,count_3x,count_p20,floor,top,profile
4,11,4,1,0.009749708381614191,0.304238859955976,"[0.304, 0.197, 0.083, 0.036]"
4,22,3,2,0.008576574918697299,0.32079853472852543,"[0.321, 0.238, 0.077, 0.028]"
4,33,4,2,0.009947325646251181,0.2817232168960443,"[0.282, 0.227, 0.082, 0.032]"
6,11,5,2,0.011296179593422627,0.34147941700510503,"[0.341, 0.27, 0.14, 0.077, 0.039, 0.018]"
6,22,5,2,0.008516657487173156,0.3400101266941597,"[0.34, 0.282, 0.14, 0.074, 0.045, 0.009]"
6,33,5,2,0.00916667475441295,0.305008914479479,"[0.305, 0.276, 0.15, 0.072, 0.054, 0.014]"
8,11,7,3,0.010365587356301822,0.3658689398945586,"[0.366, 0.316, 0.211, 0.131, 0.092, 0.051, 0.024, 0.012]"
8,22,6,3,0.009424134267578993,0.3531320946359434,"[0.353, 0.303, 0.204, 0.154, 0.083, 0.051, 0.025, 0.006]"
8,33,7,3,0.010660102687313319,0.33054205690186866,"[0.331, 0.291, 0.211, 0.139, 0.085, 0.073, 0.024, 0.019]"
10,11,8,3,0.009817888411918298,0.40079920135312785,"[0.401, 0.349, 0.24, 0.171, 0.142, 0.087, 0.064, 0.03, 0.021, 0.008]"
10,22,9,3,0.00930271515719344,0.37357802877170554,"[0.374, 0.311, 0.254, 0.186, 0.129, 0.098, 0.059, 0.04, 0.042, 0.008]"
10,33,8,3,0.009809897496788036,0.3575712349875235,"[0.358, 0.306, 0.246, 0.16, 0.132, 0.11, 0.073, 0.044, 0.036, 0.015]"
12,11,9,4,0.010025603851556668,0.4050575115293183,"[0.405, 0.371, 0.259, 0.218, 0.152, 0.116, 0.074, 0.077, 0.051, 0.025, 0.006, 0.007]"
12,22,10,4,0.008343915037247308,0.3872702064326994,"[0.387, 0.339, 0.292, 0.205, 0.163, 0.125, 0.097, 0.071, 0.055, 0.043, 0.018, 0.024]"
12,33,10,3,0.007671305506379698,0.3733397870384877,"[0.373, 0.333, 0.275, 0.196, 0.152, 0.147, 0.089, 0.071, 0.058, 0.027, 0.015, 0.008]"
16,11,12,5,0.008932701093119208,0.4311003390520358,"[0.431, 0.411, 0.286, 0.264, 0.206, 0.174, 0.116, 0.104, 0.081, 0.052, 0.048, 0.028, 0.024, 0.015, 0.018, 0.015]"
16,22,11,4,0.008433462970390576,0.435463310974742,"[0.435, 0.379, 0.296, 0.279, 0.194, 0.18, 0.145, 0.105, 0.083, 0.057, 0.053, 0.025, 0.017, 0.019, 0.016, 0.012]"
16,33,12,5,0.0083995761868911,0.43402226943947353,"[0.434, 0.372, 0.301, 0.245, 0.212, 0.167, 0.13, 0.097, 0.084, 0.055, 0.055, 0.039, 0.026, 0.02, 0.017, 0.016]"
20,11,15,6,0.00978246843359533,0.4502035025115628,"[0.45, 0.437, 0.318, 0.287, 0.225, 0.229, 0.173, 0.137, 0.11, 0.059, 0.071, 0.055, 0.039, 0.04, 0.023, 0.013, 0.023, 0.012, 0.005, 0.014]"
20,22,15,5,0.009298227292883283,0.4517198974872545,"[0.452, 0.43, 0.332, 0.286, 0.244, 0.193, 0.195, 0.13, 0.114, 0.071, 0.064, 0.044, 0.049, 0.026, 0.018, 0.018, 0.026, 0.011, 0.022, 0.008]"
20,33,14,5,0.01056567967371576,0.44742963394707286,"[0.447, 0.398, 0.323, 0.288, 0.225, 0.185, 0.166, 0.142, 0.109, 0.076, 0.073, 0.048, 0.047, 0.036, 0.045, 0.017, 0.018, 0.004, 0.013, 0.012]"
24,11,16,7,0.009580621118864837,0.46068127456106817,"[0.461, 0.45, 0.321, 0.311, 0.256, 0.228, 0.201, 0.159, 0.125, 0.104, 0.086, 0.074, 0.059, 0.043, 0.051, 0.028, 0.028, 0.025, 0.014, 0.02, 0.007, 0.016, 0.013, 0.013]"
24,22,16,7,0.008651478998691002,0.4673968257791735,"[0.467, 0.446, 0.338, 0.321, 0.251, 0.229, 0.217, 0.183, 0.15, 0.094, 0.094, 0.072, 0.053, 0.052, 0.049, 0.034, 0.029, 0.016, 0.021, 0.02, 0.018, 0.018, 0.008, 0.009]"
24,33,18,6,0.009808737814187849,0.4584639493660415,"[0.458, 0.446, 0.346, 0.292, 0.244, 0.206, 0.189, 0.165, 0.147, 0.097, 0.09, 0.068, 0.058, 0.039, 0.046, 0.039, 0.022, 0.031, 0.014, 0.021, 0.023, 0.017, 0.016, 0.014]"
