pair,kx,ky,seed,rel_prod,r_obs,r_true
POWER-SUBSTANCE,2,2,5,0.2882,0.321,0.5979
POWER-SUBSTANCE,2,2,15,0.2536,0.2906,0.5771
POWER-SUBSTANCE,2,2,25,0.341,0.3541,0.6065
POWER-SUBSTANCE,2,3,5,0.0531,0.2823,1.2254
POWER-SUBSTANCE,2,3,15,0.2425,0.2975,0.604
POWER-SUBSTANCE,2,3,25,0.235,0.2639,0.5443
POWER-SUBSTANCE,2,4,5,0.2176,0.2647,0.5675
POWER-SUBSTANCE,2,4,15,0.3359,0.3154,0.5443
POWER-SUBSTANCE,2,4,25,0.448,0.4054,0.6057
POWER-SUBSTANCE,2,5,5,0.2797,0.3115,0.5891
POWER-SUBSTANCE,2,5,15,0.3142,0.3251,0.5799
POWER-SUBSTANCE,2,5,25,0.3434,0.3925,0.6698
POWER-SUBSTANCE,2,6,5,0.4419,0.369,0.5551
POWER-SUBSTANCE,2,6,15,0.4634,0.4038,0.5932
POWER-SUBSTANCE,2,6,25,0.4637,0.3869,0.5682
POWER-SUBSTANCE,2,7,5,0.3343,0.3412,0.5901
POWER-SUBSTANCE,2,7,15,0.2846,0.3412,0.6396
POWER-SUBSTANCE,2,7,25,0.3156,0.3234,0.5757
POWER-SUBSTANCE,3,2,5,0.1023,0.2587,0.809
POWER-SUBSTANCE,3,2,15,0.1916,0.3238,0.7398
POWER-SUBSTANCE,3,2,25,0.1368,0.3238,0.8755
POWER-SUBSTANCE,3,3,5,0.1811,0.3199,0.7518
POWER-SUBSTANCE,3,3,15,0.2989,0.3732,0.6826
POWER-SUBSTANCE,3,3,25,0.3337,0.2302,0.3984
POWER-SUBSTANCE,3,4,5,0.3487,0.3039,0.5146
POWER-SUBSTANCE,3,4,15,0.4708,0.3428,0.4997
POWER-SUBSTANCE,3,4,25,0.1877,0.2991,0.6903
POWER-SUBSTANCE,3,5,5,0.4124,0.3757,0.5851
POWER-SUBSTANCE,3,5,15,0.3199,0.383,0.6772
POWER-SUBSTANCE,3,5,25,0.3808,0.3782,0.6129
POWER-SUBSTANCE,3,6,5,0.3123,0.3654,0.6539
POWER-SUBSTANCE,3,6,15,0.3123,0.3654,0.6539
POWER-SUBSTANCE,3,6,25,0.2738,0.3654,0.6984
POWER-SUBSTANCE,3,7,5,0.458,0.3837,0.567
POWER-SUBSTANCE,3,7,15,0.3179,0.3837,0.6806
POWER-SUBSTANCE,3,7,25,0.3832,0.3837,0.6199
SUBSTANCE-SUBSTANCE_posctrl,2,2,5,0.2327,0.5456,1.1311
SUBSTANCE-SUBSTANCE_posctrl,2,2,15,0.182,0.2937,0.6885
SUBSTANCE-SUBSTANCE_posctrl,2,2,25,0.2216,0.5509,1.1704
SUBSTANCE-SUBSTANCE_posctrl,2,3,5,0.1392,0.51,1.3667
SUBSTANCE-SUBSTANCE_posctrl,2,3,15,0.1822,0.3493,0.8183
SUBSTANCE-SUBSTANCE_posctrl,2,3,25,0.182,0.3829,0.8977
SUBSTANCE-SUBSTANCE_posctrl,2,4,5,0.2306,0.5317,1.1071
SUBSTANCE-SUBSTANCE_posctrl,2,4,15,0.1988,0.4849,1.0875
SUBSTANCE-SUBSTANCE_posctrl,2,4,25,0.1946,0.4453,1.0093
SUBSTANCE-SUBSTANCE_posctrl,3,2,5,0.1822,0.404,0.9464
SUBSTANCE-SUBSTANCE_posctrl,3,2,15,0.257,0.404,0.7969
SUBSTANCE-SUBSTANCE_posctrl,3,2,25,0.3044,0.404,0.7321
SUBSTANCE-SUBSTANCE_posctrl,3,3,5,0.2327,0.4906,1.0171
SUBSTANCE-SUBSTANCE_posctrl,3,3,15,0.3703,0.5383,0.8846
SUBSTANCE-SUBSTANCE_posctrl,3,3,25,0.1964,0.4906,1.1071
SUBSTANCE-SUBSTANCE_posctrl,3,4,5,0.2569,0.5164,1.0188
SUBSTANCE-SUBSTANCE_posctrl,3,4,15,0.2569,0.5164,1.0188
SUBSTANCE-SUBSTANCE_posctrl,3,4,25,0.2306,0.5164,1.0752
POWER-SHAM,2,2,5,0.0545,0.0146,0.0626
POWER-SHAM,2,2,25,0.0184,0.0434,0.3196
POWER-SHAM,2,3,15,0.1761,0.1172,0.2792
POWER-SHAM,2,3,25,0.0311,0.1074,0.6093
POWER-SHAM,2,4,25,0.0645,0.0256,0.1009
POWER-SHAM,2,5,15,0.0236,0.0023,0.0147
POWER-SHAM,2,6,15,0.0321,-0.0222,-0.1239
POWER-SHAM,2,7,5,0.0402,0.005,0.0252
POWER-SHAM,3,2,5,0.0324,-0.0926,-0.5146
POWER-SHAM,3,3,15,0.0162,-0.0135,-0.1062
POWER-SHAM,3,4,15,0.082,0.0708,0.2473
POWER-SHAM,3,5,15,0.0461,0.0006,0.0029
POWER-SHAM,3,7,5,0.0368,0.0041,0.0215
POWER-SHAM,3,7,25,0.0648,0.0041,0.0162
