block,fluid,seed,gain_substance,gain_placebo,gain_null
1,False,1,0.0006247094212715743,0.005598372802494533,-0.00016870786513534242
1,False,2,-0.00010170602708803322,0.005761625662687453,-0.00034957701123450313
1,False,3,0.0025913891547224566,0.006300231433522763,-0.0012023720006577587
1,False,4,0.0020933114781948037,0.0069063756280848265,-0.0007380407851121928
4,False,1,0.0024911746817901648,0.024442237627140817,0.0002723485176705509
4,False,2,0.00528054561584268,0.02358027999212009,0.0002704835880737999
4,False,3,0.0038487996682090575,0.01887745152903808,0.00018147619039710072
4,False,4,0.0035762500285597687,0.01883367945972947,-0.00032581910241680223
7,True,1,0.0999938295070062,0.01285477945201019,-0.001199143930500024
7,True,2,0.10959258643619463,0.011831407449286457,-0.0005827978846567605
7,True,3,0.08949713906385304,0.019288617535010877,-0.0008402908792207731
7,True,4,0.0999792783914929,0.008123869357295144,-0.00037324225140933365
8,True,1,0.08407025802575951,0.016209247440300167,0.00018859486077482668
8,True,2,0.08486802501486912,0.015319563753254939,-0.0005380260978810059
8,True,3,0.08721362229917118,0.018160943924712125,5.173825938820098e-05
8,True,4,0.08082491052671892,0.0190354209880762,-0.003091960277183725
9,True,1,0.04606845144032068,0.043967058300075745,-2.6081554260315443e-05
9,True,2,0.04795077705951711,0.043476651964439506,-7.859996818437853e-05
9,True,3,0.0517413156363592,0.05058285510753857,-0.0003658012909560915
9,True,4,0.038462986702727964,0.040341722181368,-0.00011404371576539951
11,True,1,0.12355528642413971,0.025705209645933147,-0.0004868562710417246
11,True,2,0.1123112914940696,0.03620485486188396,0.0002653821422382574
11,True,3,0.12296812636138121,0.025368881684683542,-0.0012143851560071361
11,True,4,0.1006162601204087,0.03759128276851231,-0.00018670467640236055
13,False,1,0.0011771120779898725,0.0032491559311161877,-0.000446269329963056
13,False,2,5.8543123274690245e-05,0.006362993241843307,-6.718145970530109e-06
13,False,3,-0.0003408695832088915,0.008905482696424993,-0.0011188830066775068
13,False,4,0.0004998835347638231,0.007408184718523336,-0.0007070034182148355
19,False,1,-0.0010677536333463244,0.00222457541132004,-0.0009989564425594288
19,False,2,-0.0005422444042277874,0.005203154882132521,-0.0027513351037068423
19,False,3,-6.51914983774704e-05,0.004995450584652006,-0.0010912274151930745
19,False,4,-0.002104461117614198,0.004294537098710527,-0.0022846137616800988
20,False,1,-0.005903626373025661,0.0009317738105267814,-0.0008295895017041977
20,False,2,-0.0013382362004228376,0.0022887358681973335,0.0004116210865601211
20,False,3,-0.0008279619276827521,0.002960325893109461,0.0010912306562546048
20,False,4,0.00035051744875203017,0.0037103224794008405,-0.003030762509268481
29,False,1,0.003017403677291086,0.0019910243659945204,-0.002453751106518798
29,False,2,6.93607738569968e-05,-5.994318139912469e-05,-0.0013493725285901315
29,False,3,-0.0001450601724047873,0.0012566494745219758,-0.0008944358307700906
29,False,4,0.000780512386262866,-7.357160380894179e-05,-0.00034542563913786406
36,False,1,-0.001948252025452124,0.0015042418408861558,-0.0017708252785054723
36,False,2,-0.0010199199947218407,0.000563641043622054,2.8617839077149654e-05
36,False,3,0.00011396323786638796,0.003161307760380261,-0.0016212227927963063
36,False,4,0.000937645226443018,0.0033959081193396523,-0.00021697133842080163
39,False,1,-0.003235496371644775,-0.0021592994948265165,-0.0007335155034189356
