band,seed,n_people,onset,prevalence,random,random_sd,pairs
14-17,1,2364,64.39493228484054,59.988410835868464,50.538196574944166,4.9042453294328885,6903
14-17,2,2364,65.51150121065375,58.51873973420935,50.01806372413231,4.289727588884898,6697
14-17,3,2364,66.26206493126645,59.67484395412977,50.464608343732415,4.291896043486658,6889
14-17,4,2364,64.19590643274854,59.55007256894049,50.15449275356243,4.920289465492384,6890
14-17,5,2364,65.93031875463306,59.65068087625814,49.29641208823817,4.102358073201414,6756
18-20,1,2011,64.80586568905183,58.984956191105965,50.014419173105885,4.203728149322867,6049
18-20,2,2011,64.56425907087149,59.92984800400868,49.98098153528976,5.0105005194186605,5987
18-20,3,2011,67.1624524871922,59.82822881218603,50.275494900829145,5.235458035985846,6171
18-20,4,2011,67.30357436995553,59.76647206005004,49.822382670703846,4.483789495938227,5995
18-20,5,2011,65.91778998169413,59.43600867678959,49.2551527915,4.658051131808078,5993
21-24,1,2605,65.41999515855726,59.571117034165255,49.064778765227196,4.650431921722919,8254
21-24,2,2605,65.22208883553421,60.54827175208582,49.1854468610902,4.664469906178938,8390
21-24,3,2605,67.91557979606355,59.26498572787821,49.402427676328394,4.120190424756763,8408
21-24,4,2605,66.20491999044663,59.91104700084145,50.456675830416565,4.299191568071571,8319
21-24,5,2605,67.18266253869969,59.03046421663443,49.04732695962414,4.157640755102236,8272
25-28,1,2719,67.13652381493691,59.50195088363553,49.571520835155695,5.548113758293886,8714
25-28,2,2719,67.41676234213547,59.00116144018583,50.83516048685399,5.044887614573195,8610
25-28,3,2719,68.00276434001383,60.05793742757822,50.59910347111328,4.14276851391651,8630
25-28,4,2719,67.713411177871,60.366908965039805,48.98532273321281,4.36887101941115,8667
25-28,5,2719,68.16410726564291,59.45033189705369,51.098277170169524,4.842626139977225,8587
29-32,1,2760,67.51537382673428,60.600802515996094,49.201549905859764,4.768079305427478,9221
29-32,2,2760,68.32081836978996,58.833787465940055,48.06202613759009,4.9121369661004675,9175
29-32,3,2760,67.78192189556823,60.83115183246073,50.82079898781553,5.83725325167671,9168
29-32,4,2760,66.73196212863206,59.927876734783084,50.94674328306923,3.933852124152536,9151
29-32,5,2760,66.98803191489361,60.24282560706402,49.76344095164874,4.362670025911583,9060
