grouping,side,seed,own,other,random
sex,A,1,68.99994603054671,67.15973125270915,48.82986500173847
sex,B,1,65.44069897868823,65.18957624134288,51.44322105834934
sex,A,2,68.28910955559174,66.28635706251005,49.96296055673396
sex,B,2,65.22811344019729,65.786251530523,50.376473565083074
sex,A,3,68.75845279956722,66.09272952987531,51.653241485885204
sex,B,3,66.67059377945334,65.84609987136008,48.645667583035554
sex,A,4,68.27704147071398,66.08258988193813,49.224311952271286
sex,B,4,65.71328097526667,65.05109489051095,49.574477189198795
breadth,A,1,66.125,64.755,50.316874999999996
breadth,B,1,68.51053242660474,70.14925373134328,50.262689071785985
breadth,A,2,66.835,65.4,49.365625
breadth,B,2,68.83689950878362,69.66864201652616,47.813914460284046
breadth,A,3,66.105,64.585,51.069375
breadth,B,3,68.7886534179929,69.78399404121492,48.26624555737054
breadth,A,4,65.965,65.26,50.393125
breadth,B,4,69.13244268513937,69.993385149661,49.036732984924484
