g,dim,k,seed,glob,neighbour,random_nb,gap,ctrl_gap,n_pairs,n_people
0.0,8,400,1,66.05454686731073,67.03177051602785,66.83514523197043,0.9772236487171142,0.7805983646596957,77218,6230
0.0,8,400,2,66.66100143809648,67.1103354865597,65.96972539211089,0.44933404846322844,-0.6912760459855889,76490,6230
0.0,8,400,3,66.06939595083708,67.1388649212502,66.05667891764526,1.0694689704131264,-0.012717033191819382,78189,6230
0.0,8,400,4,67.0890513223323,67.32614296997397,65.47966429954809,0.23709164764167667,-1.6093870227842046,77023,6230
0.0,8,400,5,66.24337399001595,67.15968263449727,66.01325769812247,0.9163086444813189,-0.2301162918934807,77724,6230
0.0,8,1000,1,66.05454686731073,67.08750826344512,65.6523481430732,1.0329613961343824,-0.402198724237536,77218,6230
0.0,8,1000,2,66.66100143809648,67.23100565207199,65.73133239539368,0.5700042139755084,-0.9296690427027983,76490,6230
0.0,8,1000,3,66.06939595083708,67.17492369705477,66.10406075119415,1.105527746217689,0.03466480035707775,78189,6230
0.0,8,1000,4,67.0890513223323,67.50737997824848,66.12265978050355,0.4183286559161843,-0.9663915418287417,77023,6230
0.0,8,1000,5,66.24337399001595,67.36310397215982,66.2032071741462,1.1197299821438662,-0.040166815869753236,77724,6230
0.0,8,2500,1,66.05454686731073,67.06158372976266,66.25602709445572,1.0070368624519261,0.20148022714498381,77218,6230
0.0,8,2500,2,66.66100143809648,66.99398327820175,66.08436246157052,0.3329818401052762,-0.5766389765259561,76490,6230
0.0,8,2500,3,66.06939595083708,66.93410258721717,66.05155655726159,0.8647066363800917,-0.017839393575485474,78189,6230
0.0,8,2500,4,67.0890513223323,67.21218084830907,66.7088444157521,0.12312952597677906,-0.38020690658019873,77023,6230
0.0,8,2500,5,66.24337399001595,66.90732492760775,66.38798795694478,0.6639509375917925,0.14461396692883,77724,6230
0.0,32,400,1,66.05454686731073,67.29879321295708,66.83514523197043,1.2442463456463457,0.7805983646596957,77218,6230
0.0,32,400,2,66.66100143809648,67.39815586580538,65.96972539211089,0.7371544277089015,-0.6912760459855889,76490,6230
0.0,32,400,3,66.06939595083708,67.41661300708307,66.05667891764526,1.347217056245995,-0.012717033191819382,78189,6230
