arm,seed,band,n_people,pairs,population,oracle,random,prevalence,onset_minus_prev
capped,1,all,6230,20000,66.835,66.36,53.28,60.47,65.86
capped,1,onset 0-11,257,1623,54.71349353049908,,50.503144654088054,50.27726432532347,
capped,1,onset 11-14,1501,8276,63.17061382310295,,49.25872788139646,57.85904577379511,
capped,1,onset 14-18,2926,17067,67.17056307493995,,48.67547723935389,60.73359297796896,
capped,1,onset 18-99,1546,8375,70.10149253731343,,57.26751135548649,63.84066587395957,
capped,2,all,6230,20000,66.795,67.375,43.295,60.295,65.92
capped,2,onset 0-11,245,1475,54.101694915254235,,46.902654867256636,52.993197278911566,
capped,2,onset 11-14,1498,8197,64.32841283396364,,54.68521229868228,57.69514897808421,
capped,2,onset 14-18,2911,17007,67.12530134650439,,49.07914092380112,60.96623499497369,
capped,2,onset 18-99,1576,8441,70.83283971093472,,47.45842670126194,64.53342867357884,
capped,3,all,6230,20000,66.695,67.23,57.635,60.25,65.545
capped,3,onset 0-11,262,1603,56.394260761072985,,52.23325062034739,51.938970120788305,
capped,3,onset 11-14,1529,8590,64.16763678696158,,50.65461707797474,58.17565989254847,
capped,3,onset 14-18,2931,17177,67.45066076730512,,42.3264170627101,61.44333488156062,
capped,3,onset 18-99,1508,8312,69.6102021174206,,56.86604886267902,63.56617203522741,
capped,4,all,6230,20000,67.32,66.945,49.03,61.185,65.585
capped,4,onset 0-11,242,1479,55.24002704530088,,51.63487738419619,52.176738141650425,
capped,4,onset 11-14,1558,8621,63.449715810230835,,56.27525689874148,57.911870712707824,
capped,4,onset 14-18,2885,16893,66.97448647368732,,41.893420660910984,60.63565340909091,
capped,4,onset 18-99,1545,8380,70.40572792362768,,52.052855120339785,64.56692913385827,
capped,5,all,6230,20000,67.05,66.22,44.145,61.155,65.63
capped,5,onset 0-11,269,1617,55.72047000618429,,47.84688995215311,51.240694789081886,
capped,5,onset 11-14,1567,8641,63.63846776993404,,51.511967308814945,58.652849740932645,
capped,5,onset 14-18,2876,17025,67.5007342143906,,48.43363561417972,61.101179835538076,
capped,5,onset 18-99,1518,8204,70.18527547537786,,49.07475042610178,64.43074691805656,
capped,6,all,6230,20000,67.21,67.265,51.46,59.97,65.95
capped,6,onset 0-11,271,1702,53.81903642773208,,48.007246376811594,52.389486260454,
capped,6,onset 11-14,1458,8154,62.85258768702477,,49.431537320810676,58.66764814133235,
capped,6,onset 14-18,2915,17178,67.80183956223075,,42.56886053928675,60.6883011895138,
capped,6,onset 18-99,1586,8546,70.10297215071378,,51.105708000463125,63.840486492807855,
