world,q,Kw,seed,arm,W
real,1,1,11,real,-0.007253405964189219
real,1,1,11,null,-0.061491964304537405
real,1,2,11,real,-0.02466769906834243
real,1,2,11,null,-0.12592518071810666
real,1,3,11,real,-0.05720967185835191
real,1,3,11,null,-0.19483869670634302
real,1,5,11,real,-0.1198181091649474
real,1,5,11,null,-0.29719328163419956
real,1,8,11,real,-0.21084036183107868
real,1,8,11,null,-0.37263137975670113
real,1,12,11,real,-0.23790213755963652
real,1,12,11,null,-0.21987523170606516
real,1,16,11,real,1.7763568394002505e-15
real,1,16,11,null,0.0
real,1,24,11,real,1.7763568394002505e-15
real,1,24,11,null,0.0
real,1,1,29,real,-0.0035420420568844646
real,1,1,29,null,-0.06291730056909417
real,1,2,29,real,-0.022814188995954887
real,1,2,29,null,-0.12049469310645844
real,1,3,29,real,-0.05931418896759433
real,1,3,29,null,-0.17563850408739567
real,1,5,29,real,-0.12699058797444696
real,1,5,29,null,-0.2633475626613939
real,1,8,29,real,-0.21791509504783768
real,1,8,29,null,-0.36007987911465045
real,1,12,29,real,-0.23384234522641334
real,1,12,29,null,-0.2268478245843515
real,1,16,29,real,0.0
real,1,16,29,null,-2.220446049250313e-16
real,1,24,29,real,0.0
real,1,24,29,null,-2.220446049250313e-16
real,4,1,11,real,0.038494832493452424
real,4,1,11,null,-0.09590377870055189
real,4,2,11,real,0.004921657253015188
real,4,2,11,null,-0.1773133876765397
real,4,3,11,real,0.0013591280833217256
real,4,3,11,null,-0.22325398007722574
real,4,5,11,real,-0.05926325514176034
real,4,5,11,null,-0.3374615992347275
real,4,8,11,real,-0.08677512852356906
real,4,8,11,null,-0.1589941559623288
real,4,12,11,real,-0.04028398128086075
real,4,12,11,null,-0.0280116530230915
real,4,16,11,real,3.219646771412954e-15
real,4,16,11,null,-5.551115123125783e-16
real,4,24,11,real,3.219646771412954e-15
real,4,24,11,null,-5.551115123125783e-16
real,4,1,29,real,0.020973113734879756
real,4,1,29,null,-0.11635126227184389
real,4,2,29,real,-0.017693974966421888
real,4,2,29,null,-0.18725747552272587
real,4,3,29,real,-0.014978013155392045
real,4,3,29,null,-0.24397972613519237
real,4,5,29,real,-0.06835608948445793
real,4,5,29,null,-0.3018847717277984
real,4,8,29,real,-0.05291845974775922
real,4,8,29,null,-0.15178069629308322
real,4,12,29,real,-0.030386579473409503
real,4,12,29,null,-0.029599075088729165
real,4,16,29,real,-8.881784197001252e-16
real,4,16,29,null,1.1102230246251565e-16
real,4,24,29,real,-8.881784197001252e-16
real,4,24,29,null,1.1102230246251565e-16
real,7,1,11,real,0.09802010291444341
real,7,1,11,null,-0.10732435757745118
real,7,2,11,real,0.0872556180686076
real,7,2,11,null,-0.197391379395091
real,7,3,11,real,0.03557288779919909
real,7,3,11,null,-0.2722453637530633
real,7,5,11,real,-0.01729699067220236
real,7,5,11,null,-0.370302064681554
real,7,8,11,real,-0.0996390364977432
real,7,8,11,null,-0.18388535482994928
real,7,12,11,real,-3.3306690738754696e-16
real,7,12,11,null,4.440892098500626e-16
real,7,16,11,real,-3.3306690738754696e-16
real,7,16,11,null,4.440892098500626e-16
real,7,24,11,real,-3.3306690738754696e-16
real,7,24,11,null,4.440892098500626e-16
real,7,1,29,real,0.09812242369898128
real,7,1,29,null,-0.11492164019271855
real,7,2,29,real,0.0836675669838115
real,7,2,29,null,-0.17750184323480656
real,7,3,29,real,0.023106701759566306
real,7,3,29,null,-0.267776543370166
real,7,5,29,real,-0.04888692740578626
real,7,5,29,null,-0.40946654272516936
real,7,8,29,real,-0.14614260380411803
real,7,8,29,null,-0.14582344611465747
real,7,12,29,real,0.0
real,7,12,29,null,-5.551115123125783e-16
real,7,16,29,real,0.0
real,7,16,29,null,-5.551115123125783e-16
real,7,24,29,real,0.0
real,7,24,29,null,-5.551115123125783e-16
real,8,1,11,real,-0.0458310139102277
real,8,1,11,null,-0.10495520806500558
real,8,2,11,real,-0.06977767258056689
real,8,2,11,null,-0.18106336764006192
real,8,3,11,real,-0.04598060930600012
real,8,3,11,null,-0.2484876229343893
real,8,5,11,real,-0.07807272642514973
real,8,5,11,null,-0.3740667289165196
real,8,8,11,real,-0.16431138657066868
real,8,8,11,null,-0.2230550689888231
real,8,12,11,real,-1.6653345369377348e-15
real,8,12,11,null,0.0
real,8,16,11,real,-1.6653345369377348e-15
real,8,16,11,null,0.0
real,8,24,11,real,-1.6653345369377348e-15
real,8,24,11,null,0.0
real,8,1,29,real,-0.040379373151673614
real,8,1,29,null,-0.10887294705470751
real,8,2,29,real,-0.06405231280685286
real,8,2,29,null,-0.17795996364141253
real,8,3,29,real,-0.06592746505535119
real,8,3,29,null,-0.2675438394016547
real,8,5,29,real,-0.08417678396545691
real,8,5,29,null,-0.3990022958843418
real,8,8,29,real,-0.1894755808069425
real,8,8,29,null,-0.16968149325816606
real,8,12,29,real,2.55351295663786e-15
real,8,12,29,null,-3.3306690738754696e-16
real,8,16,29,real,2.55351295663786e-15
real,8,16,29,null,-3.3306690738754696e-16
real,8,24,29,real,2.55351295663786e-15
real,8,24,29,null,-3.3306690738754696e-16
real,13,1,11,real,-0.022018347804121263
real,13,1,11,null,-0.042107524240790006
real,13,2,11,real,-0.047035829731185586
