q,K,seed,world,I,P,C,W
1,1,11,real,0.2438119393827564,0.08442894824159632,0.0017610732345089326,-0.008770510653904624
1,1,11,permC,0.24388173360800555,0.08425937088053426,0.0001667777594159536,-0.008438881517657657
1,1,11,margin,0.24217578673731838,0.08379551986807968,0.00015400565433645871,-0.06655074741717482
1,1,11,rowshuf,4.510089828636358e-05,0.0403883155561047,-0.00012951765590105135,-0.07205811797514111
1,1,11,colshuf,0.2451362413311024,-0.05364212394500391,-0.00020939386091276915,-0.07867904315343317
1,2,11,real,0.2429398668993932,0.08823086871141937,0.003015499529777726,-0.028835231156344815
1,2,11,permC,0.2429351942047134,0.08808113662049868,0.0001407397963259227,-0.028726911027380092
1,2,11,margin,0.24164793170885368,0.08763669437344393,0.00017379366899936133,-0.12459002343165596
1,2,11,rowshuf,1.7973573066561627e-05,0.04504508397948742,-0.00021497196860958967,-0.14270861756893005
1,2,11,colshuf,0.24531755244081357,-0.04991832497217078,-0.0002620898261015414,-0.15806744810080453
1,3,11,real,0.2405598343802799,0.09110414689155971,0.004063651185097364,-0.06331066117962267
1,3,11,permC,0.24071772585864434,0.09098495535439535,0.00013280217326999685,-0.06193221577705871
1,3,11,margin,0.24104084015908636,0.09151463864006333,0.0007258634061162449,-0.1795900484807582
1,3,11,rowshuf,5.2892345750066294e-05,0.05161865677818348,-0.0002777938683080997,-0.21729811230941715
1,3,11,colshuf,0.24502153129959292,-0.04539016182334967,-0.00030377229230281,-0.21909500336176257
1,5,11,real,0.23900123558318156,0.09539425435705372,0.005795416000242258,-0.13006349614961615
1,5,11,permC,0.2393405566343062,0.09522198954581303,0.000156593870210886,-0.12728096590258348
1,5,11,margin,0.23993007806682745,0.09637648425350501,0.0007607061052282428,-0.2739045512749195
1,5,11,rowshuf,5.337978914365937e-05,0.06345635585666871,-0.0004056605356693721,-0.34763720279195987
1,5,11,colshuf,0.24338149517712868,-0.04195146923007361,-0.00026042553502497734,-0.3183037362486299
1,8,11,real,0.23862191337655952,0.09979922181063339,0.008341757973178876,-0.2251954334494537
1,8,11,permC,0.23887333220185364,0.0995660562101922,-1.6640707271762617e-05,-0.22202124720517066
1,8,11,margin,0.2379727836904723,0.09747646227873227,0.0007895287811020465,-0.37647812884722653
1,8,11,rowshuf,5.206500054349047e-05,0.07006065318634777,-0.0005482364148726993,-0.5096259363218344
1,8,11,colshuf,0.24077090757880573,-0.035805882970499824,-0.0004567268702727982,-0.3842423599660557
1,1,29,real,0.24148913887264525,0.08133134922862925,0.0017826457735028352,-0.0054950836108699505
1,1,29,permC,0.24137832206599455,0.08113011529738114,-0.000118654975482968,-0.005250925901184053
