a,b,n,shift,shift_null,na,nb
17,18,735,0.0036571943221701394,0.07523122393461945,scenarios involving sex toys iob ewb,transformation related sexual interests ju swdc
9,12,702,0.10116070930070048,0.12194597440491256,incest f vg x,mythical creatures xfj rdq
4,17,4035,-0.00030026665776738623,-0.0037959744804317006,eagerness related sexual interests twg prj,scenarios involving sex toys iob ewb
1,13,1104,-0.10426252496514611,-0.0216874483385475,specific body parts not including standard sexual body parts like breasts or genitals x a w,your preferred object objects vnq jt
17,29,4415,0.0075830670169110045,0.04963716457927507,scenarios involving sex toys iob ewb,your appearance based sexual interests qqg a
14,20,1626,-0.09193208053668878,-0.057310191432530105,specific roles ce t,age related sexual interests pmk
16,20,714,0.0700897385528079,-0.041454052412460855,sensory related sexual interests yg rwaa,age related sexual interests pmk
13,26,949,0.015377818119026014,-0.06114497514947671,your preferred object objects vnq jt,sadomasochism zh c k
9,15,674,-0.03630776960710265,0.09891576295878443,incest f vg x,pregnancy related sexual interests c yvk
8,22,1122,0.08559300222067091,0.030042661898898655,gentleness related sexual interests j jn rl,humiliation related sexual interests jebtk s
1,14,2092,0.019805681186219188,-0.04502735991621319,specific body parts not including standard sexual body parts like breasts or genitals x a w,specific roles ce t
9,10,976,0.09289999833037904,0.13236673441719732,incest f vg x,nonconsent bx o o
13,20,849,-0.14508783716736462,0.034989557327768525,your preferred object objects vnq jt,age related sexual interests pmk
1,4,3482,-0.03357830592645356,-0.046639462771948095,specific body parts not including standard sexual body parts like breasts or genitals x a w,eagerness related sexual interests twg prj
20,26,1213,0.030625711658129974,0.08849880133404062,age related sexual interests pmk,sadomasochism zh c k
6,8,1001,0.20127876372549414,0.023901678983915195,genderplay related sexual interests yixh c,gentleness related sexual interests j jn rl
6,9,637,0.11262947610886449,-0.1794306518122221,genderplay related sexual interests yixh c,incest f vg x
13,14,936,0.027806291875958702,-0.005533321134925119,your preferred object objects vnq jt,specific roles ce t
8,10,1914,0.011139287055090773,-0.026814795061358775,gentleness related sexual interests j jn rl,nonconsent bx o o
3,9,1052,0.14926708288347904,-0.08076483094732959,clothing related sexual interests kl pc,incest f vg x
9,22,587,0.12366726176518719,0.00020073866285341558,incest f vg x,humiliation related sexual interests jebtk s
1,17,2774,-0.08351944039425019,0.019578870213844374,specific body parts not including standard sexual body parts like breasts or genitals x a w,scenarios involving sex toys iob ewb
16,17,1294,-0.06676200617434677,-0.09618248499812304,sensory related sexual interests yg rwaa,scenarios involving sex toys iob ewb
1,16,1152,-0.05644847945609874,0.057381387382329646,specific body parts not including standard sexual body parts like breasts or genitals x a w,sensory related sexual interests yg rwaa
4,20,2201,-0.006301834213796832,-0.030841324528304327,eagerness related sexual interests twg prj,age related sexual interests pmk
6,15,621,0.05312784312610766,0.020394447462853654,genderplay related sexual interests yixh c,pregnancy related sexual interests c yvk
3,8,2822,-0.0032134341415178047,-0.008894701961465423,clothing related sexual interests kl pc,gentleness related sexual interests j jn rl
26,29,2798,0.015219026257866393,0.16464059045703275,sadomasochism zh c k,your appearance based sexual interests qqg a
13,29,1655,0.011999857094931642,-0.0636595633470201,your preferred object objects vnq jt,your appearance based sexual interests qqg a
15,22,653,0.08807941693601938,-0.05260686007616665,pregnancy related sexual interests c yvk,humiliation related sexual interests jebtk s
8,12,1551,-0.05369957498161278,0.043783954606172855,gentleness related sexual interests j jn rl,mythical creatures xfj rdq
13,17,1354,-0.09923062513737371,-0.0688830134817558,your preferred object objects vnq jt,scenarios involving sex toys iob ewb
3,10,2127,0.0980996857036243,0.025020439703255834,clothing related sexual interests kl pc,nonconsent bx o o
4,26,2435,0.14186059865434583,0.046357296378307516,eagerness related sexual interests twg prj,sadomasochism zh c k
6,12,831,0.05212912783756202,0.11521257321833081,genderplay related sexual interests yixh c,mythical creatures xfj rdq
13,16,590,-0.04795750000141346,0.15339774253127605,your preferred object objects vnq jt,sensory related sexual interests yg rwaa
14,16,914,0.1684512328809594,-0.06260150092493064,specific roles ce t,sensory related sexual interests yg rwaa
1,20,1391,0.06636773861553814,0.0012082841835817076,specific body parts not including standard sexual body parts like breasts or genitals x a w,age related sexual interests pmk
10,15,1006,0.23074020880010646,-0.04263326666253269,nonconsent bx o o,pregnancy related sexual interests c yvk
10,12,1240,0.13301373452641008,0.040475799580334315,nonconsent bx o o,mythical creatures xfj rdq
8,15,1275,-0.1053911583257438,-0.025195088755526545,gentleness related sexual interests j jn rl,pregnancy related sexual interests c yvk
17,20,1818,0.019230230467831896,-0.016672245420854007,scenarios involving sex toys iob ewb,age related sexual interests pmk
16,29,1611,-0.04874359788974042,-0.051713055521671436,sensory related sexual interests yg rwaa,your appearance based sexual interests qqg a
17,26,2032,0.024523394836913598,-0.004221155947226106,scenarios involving sex toys iob ewb,sadomasochism zh c k
18,29,856,0.025954888370847716,0.050862078648455086,transformation related sexual interests ju swdc,your appearance based sexual interests qqg a
