a,b,kind,dose,level,n,mval,e
3,22,same,gap,1,946,2.8282241014799157,-0.013864492767737713
3,22,same,gap,2,481,8.685031185031185,-0.055719490843630815
3,22,same,age_first,0,271,7.800738007380073,-0.020892138012785555
3,22,same,age_first,1,322,11.5,-0.018759677389933727
3,22,same,age_first,2,834,15.121103117505996,0.03661813994509916
8,26,cross,gap,1,1014,2.554733727810651,-0.027665552800405335
8,26,cross,gap,2,819,6.959096459096459,-0.014314529572465817
8,26,cross,age_first,0,285,8.156140350877193,-0.009923921139400105
8,26,cross,age_first,1,795,12.644654088050315,-0.0714804631162122
8,26,cross,age_first,2,753,16.805444887118195,-0.06669820237563884
14,26,same,gap,1,876,2.4554794520547945,-0.02013715696455287
14,26,same,gap,2,565,6.888495575221239,0.020813527238014884
14,26,same,age_first,0,476,10.01155462184874,-0.0169756214107758
14,26,same,age_first,1,365,13.5,-0.04597380061460776
14,26,same,age_first,2,600,16.65,-0.030946129181433912
26,29,same,gap,0,912,2.0065789473684212,-0.029675595933411514
26,29,same,gap,1,698,4.149713467048711,-0.024848783764438442
26,29,same,gap,2,1188,8.747895622895623,-0.014403249049239397
26,29,same,age_first,0,659,7.859635811836116,0.013830627129047923
26,29,same,age_first,1,625,11.5,-0.07668524663543252
26,29,same,age_first,2,1514,15.038639365918097,-0.046937270506773654
6,17,cross,gap,1,823,2.885176184690158,-0.03194629942059124
6,17,cross,gap,2,425,8.329411764705883,-0.012514867171281252
6,17,cross,age_first,0,412,9.981796116504855,-0.09622723831942148
6,17,cross,age_first,1,369,13.5,-0.026686774069730745
6,17,cross,age_first,2,467,16.79443254817987,0.002031133012543318
5,6,same,gap,1,581,2.8855421686746987,0.017016775214792945
5,6,same,gap,2,319,8.285266457680251,-0.026114504171619646
5,6,same,age_first,1,381,12.744094488188976,0.1039789164717756
5,6,same,age_first,2,348,16.73419540229885,0.20083710436171948
8,29,cross,gap,1,2668,2.833208395802099,0.003534443759679484
8,29,cross,gap,2,1464,8.481215846994536,-0.05692575618758722
8,29,cross,age_first,0,1012,8.022727272727273,-0.006489527028573194
8,29,cross,age_first,1,900,11.5,-0.03080613248623154
8,29,cross,age_first,2,2220,14.986711711711711,-0.018143916961086637
5,20,cross,gap,1,1035,2.9415458937198067,-0.08791752880173132
5,20,cross,gap,2,625,8.588,0.0047173193005256575
5,20,cross,age_first,0,424,7.67688679245283,-0.05693868627355381
5,20,cross,age_first,1,314,11.5,0.01814063742281241
5,20,cross,age_first,2,922,15.406724511930586,-0.021638783411617513
4,5,cross,gap,1,1849,2.543266630611141,0.0045434475786072515
4,5,cross,gap,2,1379,6.908992023205221,0.011634814305045982
4,5,cross,age_first,0,1058,9.83601134215501,-0.042688738051872566
4,5,cross,age_first,1,838,13.5,-0.044150467987174036
4,5,cross,age_first,2,1332,16.87725225225225,-0.039127154059028446
3,14,cross,gap,1,1416,2.003177966101695,-0.061556533685667325
3,14,cross,gap,2,1339,5.968259895444361,-0.02847504564232617
3,14,cross,age_first,0,503,8.06858846918489,-0.06625510795932932
3,14,cross,age_first,1,620,11.5,-0.04226487071305607
3,14,cross,age_first,2,1632,15.002757352941176,-0.015059238837543343
8,20,cross,gap,1,1020,2.894607843137255,-0.009742541710374142
8,20,cross,gap,2,621,8.816425120772946,0.0179542382043677
8,20,cross,age_first,0,421,7.710213776722091,0.010208122050514246
8,20,cross,age_first,1,317,11.5,-0.02619909228728512
8,20,cross,age_first,2,903,15.401993355481727,-0.033633101106996854
10,22,same,gap,1,693,2.461038961038961,0.004078338734704423
10,22,same,gap,2,449,6.896436525612472,0.03498198786292217
10,22,same,age_first,1,476,12.659663865546218,-0.020717307154233477
10,22,same,age_first,2,480,16.9625,0.12805968164902715
13,17,same,gap,1,875,2.4771428571428573,0.03915487575186366
13,17,same,gap,2,479,7.090814196242171,-0.030010176707882197
13,17,same,age_first,1,648,12.583333333333334,-0.005421344922059479
13,17,same,age_first,2,494,16.663967611336034,-0.043656884703158705
11,13,cross,gap,1,786,2.44910941475827,-0.0334894962831781
11,13,cross,gap,2,423,6.594562647754137,-0.0730802386352084
11,13,cross,age_first,1,565,12.664601769911505,-0.06352277925060429
11,13,cross,age_first,2,453,16.724061810154524,-0.007506678313448867
15,30,cross,gap,0,610,2.0,-0.019030407372309543
15,30,cross,gap,1,813,4.732472324723247,-0.0877263297312958
15,30,cross,gap,2,884,10.195701357466064,-0.07367449649966212
15,30,cross,age_first,0,492,8.4369918699187,-0.010799745462098609
15,30,cross,age_first,1,640,11.5,-0.15354323406596304
15,30,cross,age_first,2,1175,14.842978723404256,-0.054692269856293274
5,9,same,gap,1,653,2.5635528330781012,0.01496590097655831
5,9,same,gap,2,422,7.427725118483412,-0.029339272301487584
