arm,v_age,slope,se,n,ppl
real,15.5,-0.11590058586735864,0.018734257651771294,17647,2363
real,19.0,-0.17972228980052044,0.02188383761861805,14916,2011
real,22.5,-0.20653241543831172,0.02045678027877419,20210,2604
real,26.5,-0.23389381735189685,0.022146227906056703,21528,2718
real,30.5,-0.3242257835007432,0.025352539725355117,22100,2760
shuf,15.5,-0.01975546849698884,0.015973015423919313,0,0
shuf,19.0,0.004794847533178861,0.020570496969466414,0,0
shuf,22.5,0.020578466408444577,0.01981722159715666,0,0
shuf,26.5,0.011072907715031253,0.021563093424430864,0,0
shuf,30.5,0.0019713791980322626,0.02429617584976487,0,0
plant_age,15.5,0.21641857990340876,0.0193409355657662,0,0
plant_age,19.0,0.0009236375084984844,0.021301254411052246,0,0
plant_age,22.5,-0.1831577612832491,0.022671873260383224,0,0
plant_age,26.5,-0.390254738422434,0.024094759294740323,0,0
plant_age,30.5,-0.6602349371714915,0.021970693619178635,0,0
plant_flat,15.5,-0.4862632160698215,0.019251782069365488,0,0
plant_flat,19.0,-0.5559114634091399,0.022279941898549115,0,0
plant_flat,22.5,-0.5771992433163855,0.02310202560186536,0,0
plant_flat,26.5,-0.609681967457902,0.0244176454861581,0,0
plant_flat,30.5,-0.6989688716528414,0.022038308309229617,0,0
