a,b,arm,n,e
17,18,base,735,0.05432425498590421
17,18,+mean,735,0.05422365695954937
17,18,+pairrat,735,0.04891878835433842
17,18,+both,735,0.05177723516208258
17,18,null_both,735,0.005776210039849221
17,18,plant_both,735,0.08208242541600712
9,12,base,702,0.0633399831998113
9,12,+mean,702,0.06704160448494109
9,12,+pairrat,702,0.03532871265521535
9,12,+both,702,0.043893228609573974
9,12,null_both,702,0.018834091633258703
9,12,plant_both,702,0.08851571218304322
4,17,base,4035,0.021991162995906827
4,17,+mean,4035,0.022526343432330693
4,17,+pairrat,4035,0.01593609838050821
4,17,+both,4035,0.014976387443937625
4,17,null_both,4035,0.011711089015154164
4,17,plant_both,4035,0.06097079130574179
1,13,base,1104,0.0032530872350818862
1,13,+mean,1104,0.006739095463248246
1,13,+pairrat,1104,0.008198730652266579
1,13,+both,1104,0.006780907809537513
1,13,null_both,1104,-0.026246607304549013
1,13,plant_both,1104,0.0934459315046288
4,18,base,896,0.0053949094812141656
4,18,+mean,896,0.008485619647322196
4,18,+pairrat,896,0.005512525823891834
4,18,+both,896,0.006840899462768668
4,18,null_both,896,0.02074732297134337
4,18,plant_both,896,0.038884769532786675
17,29,base,4415,0.03963239607741294
17,29,+mean,4415,0.0364834594247726
17,29,+pairrat,4415,0.03019342408376487
17,29,+both,4415,0.028657192923692842
17,29,null_both,4415,-0.005175023526680238
17,29,plant_both,4415,0.08777788475539583
14,20,base,1626,-0.006166755951372987
14,20,+mean,1626,-0.004680965829340744
14,20,+pairrat,1626,-0.009862638139518782
14,20,+both,1626,-0.004800774697096315
14,20,null_both,1626,0.01908766711021263
14,20,plant_both,1626,0.05166863499555552
16,20,base,714,0.0023105712419220215
16,20,+mean,714,0.005629862900352056
16,20,+pairrat,714,0.013825383113863648
16,20,+both,714,0.013793053490876412
16,20,null_both,714,0.03718157758077138
16,20,plant_both,714,0.03884457409429173
13,26,base,949,0.015239924439004645
13,26,+mean,949,0.01905852549833542
13,26,+pairrat,949,-0.012760593928478614
13,26,+both,949,-0.010691212497456675
13,26,null_both,949,0.013502570843767473
13,26,plant_both,949,0.050069053570821774
9,15,base,674,0.025829773679808356
9,15,+mean,674,0.015433424585830746
9,15,+pairrat,674,0.004433382139779063
9,15,+both,674,0.001071305550760071
9,15,null_both,674,0.004673078516047403
9,15,plant_both,674,0.09018365237783382
8,22,base,1122,0.003166899162258284
8,22,+mean,1122,0.005515266470202729
8,22,+pairrat,1122,-0.0023697077527135776
8,22,+both,1122,-0.0039846003875944405
8,22,null_both,1122,0.007208102864353954
8,22,plant_both,1122,0.09055410471207674
1,14,base,2092,0.005544428062147461
1,14,+mean,2092,0.0037028534099661226
1,14,+pairrat,2092,0.015079915008892757
1,14,+both,2092,0.011821801099044366
1,14,null_both,2092,-0.007119631478129126
1,14,plant_both,2092,0.067714973271863
9,10,base,976,0.06096278643222689
9,10,+mean,976,0.05886958989958017
9,10,+pairrat,976,0.02988402247373382
9,10,+both,976,0.03154515076706118
9,10,null_both,976,0.03684917232455768
9,10,plant_both,976,0.019441706929756164
13,20,base,849,0.043757389617089526
13,20,+mean,849,0.04243841623342589
13,20,+pairrat,849,0.04693477361920262
13,20,+both,849,0.04866494813889762
13,20,null_both,849,-0.017819086599262308
13,20,plant_both,849,0.06487072063949477
1,4,base,3482,0.02102437241155512
1,4,+mean,3482,0.021313066596718833
1,4,+pairrat,3482,0.02174216066992455
1,4,+both,3482,0.023135233670820342
1,4,null_both,3482,0.028029493873840072
1,4,plant_both,3482,0.10723006605610623
20,26,base,1213,0.00796996749175738
20,26,+mean,1213,0.0122002375044592
20,26,+pairrat,1213,0.011373267770085592
20,26,+both,1213,0.011453723511870129
20,26,null_both,1213,-0.004758236901047412
20,26,plant_both,1213,0.08261329381594246
6,8,base,1001,0.03643460834152845
6,8,+mean,1001,0.031323966495135025
6,8,+pairrat,1001,0.01879539829636719
6,8,+both,1001,0.02053294486552411
6,8,null_both,1001,0.026756125413101794
6,8,plant_both,1001,0.0543966141871826
6,9,base,637,-0.01499928826720313
6,9,+mean,637,0.00207425556677706
6,9,+pairrat,637,-0.026641554909196653
6,9,+both,637,-0.015435083604168082
6,9,null_both,637,0.020864132285236186
6,9,plant_both,637,0.03156999333119524
13,14,base,936,-0.003222413626035186
13,14,+mean,936,-0.002958369434875263
13,14,+pairrat,936,-0.020945157422261107
13,14,+both,936,-0.01989963303128406
13,14,null_both,936,0.007083723111666607
13,14,plant_both,936,0.03235145746867213
8,10,base,1914,0.031329888225108515
8,10,+mean,1914,0.033247731836733796
8,10,+pairrat,1914,0.027595559056140417
8,10,+both,1914,0.02659291335786392
8,10,null_both,1914,-0.00021396144790503113
8,10,plant_both,1914,0.07042816125241995
3,9,base,1052,0.007635500272766976
3,9,+mean,1052,0.009857449481192864
3,9,+pairrat,1052,0.010589120043484519
3,9,+both,1052,0.010833527363133293
3,9,null_both,1052,0.03238845478235597
3,9,plant_both,1052,0.06582104655302261
9,22,base,587,0.0737579450215106
9,22,+mean,587,0.07625488801841356
9,22,+pairrat,587,0.04839731186541685
9,22,+both,587,0.04671519401137766
9,22,null_both,587,-0.01154359796341059
9,22,plant_both,587,0.019038679076929688
1,17,base,2774,0.0396371937812096
1,17,+mean,2774,0.035589278829396484
1,17,+pairrat,2774,0.017499504230476786
1,17,+both,2774,0.016467680680533097
1,17,null_both,2774,3.0307289204611898e-05
1,17,plant_both,2774,0.059190403603376164
16,17,base,1294,0.02000412243422108
16,17,+mean,1294,0.023711738920009773
16,17,+pairrat,1294,0.015867218399327587
16,17,+both,1294,0.01497622694414084
16,17,null_both,1294,0.008950091993774853
16,17,plant_both,1294,0.03535116478304712
1,16,base,1152,-0.01221057458143645
1,16,+mean,1152,-0.014601099852344219
1,16,+pairrat,1152,0.0037527081126727327
1,16,+both,1152,0.004849163970517635
1,16,null_both,1152,-0.01878055818750522
1,16,plant_both,1152,0.08324280477532595
4,20,base,2201,0.00012249045816973766
4,20,+mean,2201,0.003093686606588375
4,20,+pairrat,2201,0.006087845686227739
4,20,+both,2201,0.006775376915568471
4,20,null_both,2201,0.003442645965385349
4,20,plant_both,2201,0.05474666917733787
18,26,base,448,0.03388193721330816
18,26,+mean,448,0.031711729438969605
18,26,+pairrat,448,0.03622824064421515
18,26,+both,448,0.03978950959759549
18,26,null_both,448,0.03930298165357238
18,26,plant_both,448,0.05829421785993925
6,15,base,621,0.04218354889333452
6,15,+mean,621,0.04864025820825729
6,15,+pairrat,621,0.0028331648233928704
6,15,+both,621,0.004230684888152442
6,15,null_both,621,0.03576653839531402
6,15,plant_both,621,0.058090811419112355
3,8,base,2822,-0.007041485724940122
3,8,+mean,2822,-0.0055285713648446
3,8,+pairrat,2822,0.0014245160456127035
3,8,+both,2822,0.0027543131989618726
3,8,null_both,2822,0.011183831772655509
3,8,plant_both,2822,0.0834648569073362
26,29,base,2798,0.013626808821396625
26,29,+mean,2798,0.015974721091696658
26,29,+pairrat,2798,0.015909094141841645
26,29,+both,2798,0.015068096230793564
26,29,null_both,2798,0.006838867779479989
26,29,plant_both,2798,0.10138466798292393
13,29,base,1655,0.011569229374374473
13,29,+mean,1655,0.013257647748001238
13,29,+pairrat,1655,0.006345989183316265
13,29,+both,1655,0.009720625124672571
13,29,null_both,1655,0.02967193856622204
13,29,plant_both,1655,0.06557132474046234
15,22,base,653,0.018459545441340063
15,22,+mean,653,0.017527349510718233
15,22,+pairrat,653,0.0028281242214083964
15,22,+both,653,0.003391789949588331
15,22,null_both,653,-0.015148866159930607
15,22,plant_both,653,0.047351609462496794
8,12,base,1551,0.0038327625755874006
8,12,+mean,1551,0.004095764914411511
8,12,+pairrat,1551,-0.006683700360916441
8,12,+both,1551,-0.003198903903364303
8,12,null_both,1551,-0.011960684636809975
8,12,plant_both,1551,0.06344304834766668
13,17,base,1354,0.009419816493083138
13,17,+mean,1354,0.007105645082380355
13,17,+pairrat,1354,0.011994670122023857
13,17,+both,1354,0.003795296063223411
13,17,null_both,1354,-0.033051196741581745
13,17,plant_both,1354,0.06205565463051207
3,10,base,2127,0.036168776640862633
3,10,+mean,2127,0.03617290988064311
3,10,+pairrat,2127,0.023426600903356205
3,10,+both,2127,0.02442346968162427
3,10,null_both,2127,0.03430156375153139
3,10,plant_both,2127,0.09499689079270396
4,26,base,2435,0.035972963205827505
4,26,+mean,2435,0.03427004244375169
4,26,+pairrat,2435,0.021700236660348298
4,26,+both,2435,0.02185340766019417
4,26,null_both,2435,-0.008058398120016833
4,26,plant_both,2435,0.07664106836885132
