arm,cat,n,diff,early,late,dy
raw,0,2246,0.01694575013623245,0.003585644412209099,-0.013360105724023352,0.0
corr,0,2328,0.031625097814705905,0.018881068319220096,-0.012744029495485809,0.0
meanrating,0,2246,0.01914623019370043,0.11683034956683487,0.09768411937313444,0.0
both,0,2328,0.026924939082400914,0.14119616009069194,0.11427122100829103,0.0
shuf_both,0,2470,0.04927882385782055,0.14407909246219486,0.09480026860437431,0.0
plant_both,0,2330,0.07021358251166208,0.17268412732045124,0.10247054480878916,0.017504368507495816
raw,1,2346,-0.06420356533116277,0.08836333984562501,0.15256690517678778,0.0
corr,1,2248,-0.048273050984162194,0.07742570618397678,0.12569875716813897,0.0
meanrating,1,2346,-0.06940901625730392,0.1999705593211992,0.2693795755785031,0.0
both,1,2248,-0.041347889851978015,0.18446076321455177,0.22580865306652978,0.0
shuf_both,1,2366,0.00041996681472886155,0.21430984573035447,0.2138898789156256,0.0
plant_both,1,2256,-0.0009968319289133942,0.2325964138368244,0.23359324576573778,-0.024156065332217036
raw,3,5536,0.001989627505189627,0.05888794395476865,0.056898316449579024,0.0
corr,3,5720,0.0026495086173497703,0.0617737379796355,0.05912422936228573,0.0
meanrating,3,5536,-0.007101121636983704,0.22681569939147717,0.23391682102846087,0.0
both,3,5720,0.01024026486293858,0.23425292650626517,0.2240126616433266,0.0
shuf_both,3,6062,0.0024456243605861516,0.24284041943403065,0.2403947950734445,0.0
plant_both,3,5742,0.04959870229895605,0.2790385405904801,0.22943983829152406,0.023629226794113833
raw,4,7080,0.007914069520728075,0.04967847242481247,0.0417644029040844,0.0
corr,4,8136,0.018818341490326344,0.06354110754899785,0.0447227660586715,0.0
meanrating,4,7080,-0.012474044526691874,0.2664727186528663,0.2789467631795582,0.0
both,4,8136,0.0020662976515056775,0.28849115821204974,0.28642486056054406,0.0
shuf_both,4,8120,-0.016517222307651513,0.2679779076255091,0.2844951299331606,0.0
plant_both,4,8084,0.04961675732481796,0.33747493166500925,0.2878581743401913,0.017436182247522414
raw,6,2222,0.008383353952274852,0.04033975058502707,0.03195639663275222,0.0
corr,6,2316,0.028217006768798847,0.06086458885946513,0.03264758209066628,0.0
meanrating,6,2222,-0.013005247194921049,0.17656185071364225,0.1895670979085633,0.0
both,6,2316,0.015224117438828982,0.1993301312622302,0.18410601382340122,0.0
shuf_both,6,2346,-0.03461571548331385,0.15481867725217993,0.18943439273549378,0.0
plant_both,6,2306,0.07287261226795003,0.25082794213856346,0.17795532987061344,0.044947651452762916
raw,7,4422,0.00458355038703584,0.08406189824511708,0.07947834785808124,0.0
corr,7,4482,0.03413074078631495,0.1133113911863065,0.07918065039999155,0.0
meanrating,7,4422,-0.024250102262762946,0.15501892065889405,0.179269022921657,0.0
both,7,4482,-0.0035048077526794175,0.1826922008631149,0.18619700861579433,0.0
shuf_both,7,4474,-0.005716879927839397,0.1688096027341992,0.1745264826620386,0.0
plant_both,7,4462,0.05060355755529347,0.23294417981801632,0.18234062226272285,0.03530429638091093
raw,8,5800,-0.0042109666366124884,0.016905692090126007,0.021116658726738496,0.0
corr,8,5742,-0.00553653466214828,0.02081358610862294,0.02635012077077122,0.0
meanrating,8,5800,0.011322068562007542,0.19353495388865782,0.18221288532665028,0.0
both,8,5742,-0.01365356722993219,0.18236893220137604,0.19602249943130823,0.0
shuf_both,8,6056,-0.027748620422312242,0.17523400390087232,0.20298262432318456,0.0
plant_both,8,5748,0.06036593352032235,0.25857852783032725,0.1982125943100049,0.013192804777175215
raw,9,1952,-0.02930314232225428,0.022684182492107446,0.051987324814361725,0.0
corr,9,2002,-0.03215042645476921,0.026655298079474976,0.05880572453424419,0.0
meanrating,9,1952,-0.06652432888042165,0.20169416865311307,0.2682184975335347,0.0
both,9,2002,-0.06606395880950763,0.21348094036744394,0.2795448991769516,0.0
shuf_both,9,2140,0.005555313882106172,0.2635218992251345,0.25796658534302835,0.0
plant_both,9,1964,-0.007796239768739555,0.269535561926789,0.27733180169552857,0.027397147954416834
raw,10,4302,0.05175956938444569,0.128582948060818,0.0768233786763723,0.0
corr,10,4506,0.05328029958475057,0.1430926631544551,0.08981236356970453,0.0
meanrating,10,4302,0.03873723945256313,0.33837574243644514,0.299638502983882,0.0
both,10,4506,0.03634672057674743,0.3498622873591608,0.3135155667824134,0.0
shuf_both,10,4768,-0.006584268354222211,0.312898054308361,0.3194823226625832,0.0
plant_both,10,4482,0.08792194187617702,0.38520274384883774,0.2972808019726607,0.00869878390070511
raw,12,3058,0.0223646163562556,0.09004603060059281,0.06768141424433721,0.0
corr,12,3120,0.009463524396297246,0.09844422136093182,0.08898069696463458,0.0
meanrating,12,3058,-0.02207694271649535,0.22531088387234818,0.24738782658884353,0.0
both,12,3120,-0.037502728807163016,0.23740350779132322,0.27490623659848623,0.0
shuf_both,12,3346,-0.01730398184418988,0.24016050462652885,0.25746448647071873,0.0
plant_both,12,3086,0.01973365756369594,0.28410264430759846,0.2643689867439025,0.009607174442623823
raw,13,2398,-0.015117804018373447,0.04521022460526475,0.060328028623638195,0.0
corr,13,2740,-0.02454860310236475,0.0385987470330463,0.06314735013541105,0.0
meanrating,13,2398,0.026891181018544097,0.3131496367108048,0.2862584556922607,0.0
both,13,2740,0.016289510168776278,0.3081757915741261,0.29188628140534983,0.0
shuf_both,13,2698,0.015344392918118344,0.32743801219645957,0.3120936192783412,0.0
plant_both,13,2724,0.07546126365921835,0.3625781910081332,0.28711692734891486,-0.0014420442016498392
raw,14,4966,-0.008147532811279834,0.07098515160863844,0.07913268441991828,0.0
corr,14,5254,-0.012042319699789222,0.0806331118411112,0.09267543154090042,0.0
meanrating,14,4966,-0.046918991216533146,0.2579343391846232,0.30485333040115636,0.0
both,14,5254,-0.03959160453464927,0.2774192613638174,0.31701086589846666,0.0
shuf_both,14,5344,0.0006901235259346161,0.29197063232719556,0.29128050880126094,0.0
plant_both,14,5168,0.02239319546372609,0.34075500014608356,0.3183618046823575,0.020195320866334132
raw,15,2458,0.04817950266565731,0.04253036648598698,-0.005649136179670333,0.0
corr,15,2520,0.0533708880864027,0.020752249462198558,-0.032618638624204145,0.0
meanrating,15,2458,0.009463301540621138,0.20067629414448418,0.19121299260386304,0.0
both,15,2520,0.020892828696774057,0.1805210038160084,0.15962817511923436,0.0
shuf_both,15,2682,-0.005902087241150961,0.17507408298307414,0.1809761702242251,0.0
plant_both,15,2548,0.07169983058159188,0.24374524901895775,0.17204541843736587,0.04284899307576495
raw,16,2308,-0.027213526651831816,-0.0044149445633127615,0.022798582088519054,0.0
corr,16,2392,-0.03652429216452938,0.0048360764658041955,0.04136036863033358,0.0
meanrating,16,2308,-0.003242725820200243,0.22016565950586117,0.22340838532606141,0.0
both,16,2392,-0.0297419403265054,0.22767138414081844,0.25741332446732385,0.0
