q,Kc,Kw,seed,world,I,P,C,W
1,1,1,11,real,0.24381193938275642,0.08442894824159633,0.001761073234508942,-0.008770510653904651
1,1,1,11,permC,0.24388173360800555,0.08425937088053426,0.0001667777594159536,-0.008438881517657657
1,1,1,11,margin,0.23901540643463923,0.08262688856047026,0.0005885765082179472,-0.07026818149169914
1,1,1,11,both,0.2390086440847327,0.08262474712535597,0.00020894324723826535,-0.07023965659582093
1,1,2,11,real,0.24288967976057765,0.08818710012325767,0.0017891892277263344,-0.02904271001049723
1,1,2,11,permC,0.24294421274613195,0.08807541798936558,0.00018331946701016788,-0.028722655159873416
1,1,2,11,margin,0.23836016717022457,0.08994607236632894,0.0005857837325784302,-0.12624674084344628
1,1,2,11,both,0.23835495587775452,0.08993200651553984,0.00021084174330821914,-0.12621352467585856
1,1,4,11,real,0.240769205722728,0.0955472367365108,0.0015260157021071512,-0.09652906281382834
1,1,4,11,permC,0.2408337814218221,0.09545572045961997,0.00019401252062580437,-0.09593514138396969
1,1,4,11,margin,0.2376399572389628,0.09697588262690637,0.0005993487048385204,-0.25215394511956357
1,1,4,11,both,0.23764671731887813,0.0969503462734254,0.00022496374606359448,-0.25212017192148056
1,4,1,11,real,0.24364296648920528,0.08468516275165183,0.005765060505718742,-0.010590757654349792
1,4,1,11,permC,0.24386930915351546,0.08426027475777946,1.2114996857039609e-05,-0.00845115774519083
1,4,1,11,margin,0.23889152372768727,0.08262970403522737,0.0010339519739507492,-0.07023564666600976
1,4,1,11,both,0.23905438200542006,0.08263905411717706,0.00022180847811772983,-0.07020944141438056
1,4,2,11,real,0.2426596149900881,0.08852747120367134,0.005929862589149848,-0.03072627092072866
1,4,2,11,permC,0.2429419981253674,0.08807591615307137,6.953023274653783e-05,-0.028694057859111305
1,4,2,11,margin,0.23824345186544302,0.089939991687834,0.0010207378769725808,-0.12622462733909554
1,4,2,11,both,0.2384042104311325,0.08995990791503833,0.00018875573406411844,-0.1262182607345418
1,4,4,11,real,0.24041094908234484,0.09595061604336155,0.005389701707892686,-0.09848961107969773
1,4,4,11,permC,0.24084142078096044,0.09544683634132198,9.700583646073586e-05,-0.09588976153310902
1,4,4,11,margin,0.23754533579256928,0.09702287202769666,0.0010105450700965875,-0.2521555893943489
1,4,4,11,both,0.23768877988788498,0.09698243885813874,0.00023214568324796586,-0.25209564003373525
1,8,1,11,real,0.2438173692176192,0.08502486179246016,0.00882667864551855,-0.01089274756182724
1,8,1,11,permC,0.24391053804916188,0.08424610065530541,-0.00025044574594583013,-0.008437287028558005
1,8,1,11,margin,0.23898013932645093,0.0827055414045077,0.0007463697818771523,-0.07023757554827285
1,8,1,11,both,0.23899917825428826,0.08262786714381179,-7.275962282061546e-05,-0.07019334247801422
1,8,2,11,real,0.24291106044172028,0.0888107683626956,0.009073391634920417,-0.030946349922235345
1,8,2,11,permC,0.24296349824465474,0.08806332668094301,-0.00018125789850778617,-0.028668414530929935
1,8,2,11,margin,0.238314254759403,0.0899963079853076,0.0007287297529642578,-0.12623098215329337
1,8,2,11,both,0.23834911071988285,0.08993813035037386,-7.493467571427954e-05,-0.1261712841070155
1,8,4,11,real,0.24068046789221237,0.0962797265056159,0.008334518527807633,-0.09890840230706004
1,8,4,11,permC,0.2408808280146863,0.09542937361209888,-0.00014852263807056212,-0.09585885854820463
1,8,4,11,margin,0.23762804606457605,0.09707069758118324,0.0007156640748963253,-0.25216481707973865
1,8,4,11,both,0.23762145316532246,0.09695983379927553,-2.4014991686147985e-05,-0.2520411336713647
1,1,1,29,real,0.24148913887264525,0.08133134922862925,0.0017826457735028352,-0.0054950836108699505
1,1,1,29,permC,0.24137832206599455,0.08113011529738114,-0.000118654975482968,-0.005250925901184053
1,1,1,29,margin,0.23768959119947858,0.08566605273541918,0.00017538171136774472,-0.07609860311984055
1,1,1,29,both,0.23768028339999514,0.08568460939556075,4.595674513453255e-05,-0.07610312673279317
1,1,2,29,real,0.2406001314959209,0.08464009574204302,0.0018756040118936186,-0.027141561298637786
1,1,2,29,permC,0.24046601484965754,0.08449402963246382,-0.00010551564002998319,-0.026977222491889687
1,1,2,29,margin,0.2365786879815951,0.09295153525218769,0.0001803370454915021,-0.14289136957998785
1,1,2,29,both,0.23656742995926447,0.09297242764281616,5.815464841180117e-05,-0.14288865062378697
1,1,4,29,real,0.23860992148954752,0.09243660458892185,0.0016721594325096085,-0.09944660542886245
1,1,4,29,permC,0.23846036748594207,0.09225085647893129,-0.00010322495088055383,-0.09907653135358092
1,1,4,29,margin,0.23637741573022153,0.09656283719076292,0.00018817900654278613,-0.2604652247020009
1,1,4,29,both,0.23635346275789437,0.09659157006142784,6.190172588983281e-05,-0.2604666006293732
1,4,1,29,real,0.24157602621993587,0.08152337971895024,0.0060329168107917846,-0.007392999333555602
1,4,1,29,permC,0.24139193019596492,0.0811016377504532,-0.00025508524849421343,-0.005252803340846249
1,4,1,29,margin,0.2376923611691588,0.08568269509847712,0.0005425776560921969,-0.0759797532419614
1,4,1,29,both,0.23760593867132246,0.0856960123241185,-0.00015590269682090135,-0.0760833160365553
1,4,2,29,real,0.24064889240746098,0.0848021795426673,0.00625765471169539,-0.02890769735881062
1,4,2,29,permC,0.2404961806369167,0.08445379047574735,-0.0002188585664833024,-0.02695601258499396
1,4,2,29,margin,0.23658036381502204,0.09304487928994468,0.0006508791474506466,-0.14266917354487402
1,4,2,29,both,0.2365028588334169,0.09296847011876816,-0.00015086699533590575,-0.14287600212934137
1,4,4,29,real,0.2387885516504258,0.09278916610471497,0.00584023066554166,-0.10142672095580502
1,4,4,29,permC,0.23847566206286736,0.09222845220532924,-0.00019312919891832184,-0.09903188276826964
1,4,4,29,margin,0.2364023493829001,0.09670107202329263,0.000529377672260504,-0.26037237210312847
1,4,4,29,both,0.23625999779970874,0.0966067121218522,-0.0001032555083424295,-0.2604100877254122
1,8,1,29,real,0.24182219227495289,0.0816827513816276,0.009376285341039375,-0.007610385786353027
1,8,1,29,permC,0.24138195075375235,0.0811895421150363,-0.0005137163413835577,-0.005273896835067081
1,8,1,29,margin,0.2376490362379008,0.08569860586201583,0.000780325456414127,-0.0759566591831072
1,8,1,29,both,0.2376333125816267,0.08573666898589496,-0.00014418079670984924,-0.07604374753354012
