q,arm,seed,C,W,CW,n_eval
1,raw,11,0.007649080696558341,-0.08662839207254702,-0.08392001394865445,15250
1,raw,29,0.008404202368583524,-0.08914415376703022,-0.08480621384675091,15250
1,raw,47,0.006342385909499204,-0.08631897677743094,-0.08417313381860059,15250
1,holdout,11,0.009414001623525015,-0.07391011508871204,-0.06866782150263517,7500
1,holdout,29,0.007674144843754727,-0.0746631094779524,-0.07157482394314274,7549
1,holdout,47,0.008929945704817643,-0.07759836057959091,-0.07406778262831115,7814
1,shuffled,11,0.0007580995850149375,-0.09079558337847138,-0.09018082151549278,7500
1,shuffled,29,0.0002550632426175925,-0.08060178532272144,-0.08043094452761612,7549
1,shuffled,47,4.648915756300109e-05,-0.0847197580249186,-0.0851225104841542,7814
4,raw,11,0.008012672353206463,-0.02476005117156921,-0.01958042336355892,2897
4,raw,29,0.003329506429969209,-0.032620724161347425,-0.027958514417146363,2897
4,raw,47,0.004031877019605723,-0.055387149644336886,-0.05268964778084462,2897
4,holdout,11,0.0052015046134947784,-0.034250410059162184,-0.03013941903143802,1430
4,holdout,29,0.004667659614917663,-0.023459206595756066,-0.01964254530022136,1446
4,holdout,47,0.004978229751083418,-0.06144858112805218,-0.05618662926763518,1474
4,shuffled,11,-0.0014412358273442338,-0.00022681314218564452,-0.0027279997844705806,1430
4,shuffled,29,-0.0008008247025611537,-0.07948691984827483,-0.07830550936907832,1446
4,shuffled,47,0.0007099385128142011,-0.05417064739859434,-0.05266641930409244,1474
7,raw,11,0.027004220881390317,-0.014728233386998135,-0.008923600172808022,1289
7,raw,29,0.03020479850456048,-0.04247638067543802,-0.029770737769398203,1289
7,raw,47,0.023649286648518286,-0.05048997031303104,-0.03785171560801226,1289
7,holdout,11,0.02875210890337976,-0.09565185667475817,-0.08542005067223013,640
7,holdout,29,0.027856523955095414,-0.028111469442775427,-0.0177333836532938,633
7,holdout,47,0.013189557165138477,-0.05464494278523713,-0.05789887644216141,661
7,shuffled,11,0.009019464162417723,-0.07655939034205317,-0.0676921415910009,640
7,shuffled,29,0.00288312939216262,-0.09293741726056615,-0.09755793275896596,633
7,shuffled,47,0.025090800881335973,-0.025148518899832162,-0.014464843750127465,661
8,raw,11,0.004210438740093525,-0.0739068644166403,-0.07223654110312183,1468
8,raw,29,0.0013867327743551927,-0.08221681636722655,-0.08105227942778614,1468
8,raw,47,0.008097553387592105,-0.12043680549535096,-0.11256577988576988,1468
8,holdout,11,0.001871471433855576,-0.0545209447001328,-0.06002098013044721,733
8,holdout,29,0.003069495526966337,-0.10624636397610154,-0.10392665004670554,735
8,holdout,47,0.0014139078688871765,-0.13167433347113655,-0.13154110248467754,753
8,shuffled,11,0.0009132804500603386,-0.12427621881101492,-0.12222703052043271,733
