seed,world,qq,S
1,real,50,0.6987687867624217
1,real,75,0.8076311106314379
1,real,90,0.9105482061667473
1,real,95,0.9791570038345906
1,real,99,1.1017792716634704
1,real,-1,0.7063974263191016
1,cb,50,0.7046127264431752
1,cb,75,0.7929257490748365
1,cb,90,0.8780641583388173
1,cb,95,0.9319014537922655
1,cb,99,1.0340520992595386
1,cb,-1,0.7079503814795066
1,p0,50,0.6987687867624217
1,p0,75,0.8076311106314379
1,p0,90,0.9105482061667473
1,p0,95,0.9791570038345906
1,p0,99,1.1017792716634704
1,p0,-1,0.7063974263191016
1,p30,50,0.705669767804037
1,p30,75,0.8117453841697004
1,p30,90,0.9112723660256262
1,p30,95,0.9752570709063172
1,p30,99,1.0900780708290878
1,p30,-1,0.7121161897921603
1,p60,50,0.712496984845758
1,p60,75,0.816529772222658
1,p60,90,0.9138260349380606
1,p60,95,0.9721104083199655
1,p60,99,1.081302176847628
1,p60,-1,0.7166043148179769
1,p0cb,50,0.705233461071018
1,p0cb,75,0.7933103957813198
1,p0cb,90,0.8762701553053935
1,p0cb,95,0.93071453415481
1,p0cb,99,1.0314507150793797
1,p0cb,-1,0.7076473379619105
1,p30cb,50,0.7102663436201229
1,p30cb,75,0.7972103438242776
1,p30cb,90,0.8808925671005338
1,p30cb,95,0.9316677106362031
1,p30cb,99,1.029227981109858
1,p30cb,-1,0.7131598792446948
1,p60cb,50,0.7152849371365397
1,p60cb,75,0.8017154999379381
1,p60cb,90,0.8822974692482364
1,p60cb,95,0.9332039490961598
1,p60cb,99,1.0229537559091486
1,p60cb,-1,0.716906681878953
2,real,50,0.6987687867624217
2,real,75,0.8076311106314379
2,real,90,0.9105482061667473
2,real,95,0.9791570038345906
2,real,99,1.1017792716634704
2,real,-1,0.7063974263191016
2,cb,50,0.7040881076826386
2,cb,75,0.7916387450577846
2,cb,90,0.8788139099436498
2,cb,95,0.9306673079325819
2,cb,99,1.0333071858743041
2,cb,-1,0.7073709386527778
2,p0,50,0.6987687867624217
2,p0,75,0.8076311106314379
2,p0,90,0.9105482061667473
2,p0,95,0.9791570038345906
2,p0,99,1.1017792716634704
2,p0,-1,0.7063974263191016
2,p30,50,0.7086513661089323
2,p30,75,0.8132292058690751
2,p30,90,0.9111499792572312
2,p30,95,0.974175779320179
2,p30,99,1.0900857812740243
2,p30,-1,0.7131543773105677
2,p60,50,0.7153968791933925
2,p60,75,0.8200487254405104
2,p60,90,0.912814919735557
2,p60,95,0.9688094642768788
2,p60,99,1.0795325707923524
2,p60,-1,0.7185191009966605
2,p0cb,50,0.7031001728448473
2,p0cb,75,0.79504132991633
2,p0cb,90,0.8778882235371983
2,p0cb,95,0.9281406027864157
2,p0cb,99,1.032752507418838
2,p0cb,-1,0.7081084989875704
2,p30cb,50,0.7112254183571566
2,p30cb,75,0.7985924575260873
2,p30cb,90,0.881615595689348
2,p30cb,95,0.9329171830976704
2,p30cb,99,1.0273624313402172
2,p30cb,-1,0.7136091604716265
2,p60cb,50,0.7164840528541933
2,p60cb,75,0.8051665502438452
2,p60cb,90,0.8836904914439196
2,p60cb,95,0.9313240808161404
2,p60cb,99,1.023323421503828
2,p60cb,-1,0.7178017098913668
3,real,50,0.6987687867624217
3,real,75,0.8076311106314379
3,real,90,0.9105482061667473
3,real,95,0.9791570038345906
3,real,99,1.1017792716634704
3,real,-1,0.7063974263191016
3,cb,50,0.7040333745727064
3,cb,75,0.7924050107346567
3,cb,90,0.876149639053238
3,cb,95,0.9297028984305595
3,cb,99,1.0307299406979384
3,cb,-1,0.7072790675192339
3,p0,50,0.6987687867624217
3,p0,75,0.8076311106314379
3,p0,90,0.9105482061667473
3,p0,95,0.9791570038345906
3,p0,99,1.1017792716634704
3,p0,-1,0.7063974263191016
3,p30,50,0.705694470928153
3,p30,75,0.8123812871633689
3,p30,90,0.9117495909218523
3,p30,95,0.9760320266155269
3,p30,99,1.0937978780359112
3,p30,-1,0.7120774798553342
3,p60,50,0.712521682397807
3,p60,75,0.8172510634118058
3,p60,90,0.9137410289195285
3,p60,95,0.9726592006434619
3,p60,99,1.0843376345954858
3,p60,-1,0.7166259172902394
3,p0cb,50,0.7048355497717356
3,p0cb,75,0.791607028247634
3,p0cb,90,0.8747058214878312
3,p0cb,95,0.9297546410104275
3,p0cb,99,1.035233609993468
3,p0cb,-1,0.7077480987340531
3,p30cb,50,0.7099253041487023
3,p30cb,75,0.798296827691005
3,p30cb,90,0.8795608853739344
3,p30cb,95,0.9302956662422643
3,p30cb,99,1.024959210174572
3,p30cb,-1,0.7126974504403932
3,p60cb,50,0.7153149880510362
3,p60cb,75,0.8018487143438008
3,p60cb,90,0.8850412417235347
3,p60cb,95,0.9308160516767061
3,p60cb,99,1.0222291983093725
3,p60cb,-1,0.716798467403733
4,real,50,0.6987687867624217
4,real,75,0.8076311106314379
4,real,90,0.9105482061667473
4,real,95,0.9791570038345906
4,real,99,1.1017792716634704
4,real,-1,0.7063974263191016
4,cb,50,0.7047253257508601
4,cb,75,0.7954079377025752
4,cb,90,0.8770897412274733
4,cb,95,0.9260498676210431
4,cb,99,1.0342624851206794
4,cb,-1,0.7079764228656499
4,p0,50,0.6987687867624217
4,p0,75,0.8076311106314379
4,p0,90,0.9105482061667473
4,p0,95,0.9791570038345906
4,p0,99,1.1017792716634704
4,p0,-1,0.7063974263191016
4,p30,50,0.7082019713790823
4,p30,75,0.813286762514474
4,p30,90,0.9132309193039627
4,p30,95,0.9766891139155818
4,p30,99,1.0920131478647288
4,p30,-1,0.7134045808355376
4,p60,50,0.7146107390675462
4,p60,75,0.8189397634063422
4,p60,90,0.9143858112995512
4,p60,95,0.9725863548464281
4,p60,99,1.0803347140670803
4,p60,-1,0.7183946889710819
4,p0cb,50,0.7063808604294425
4,p0cb,75,0.7939631628886346
4,p0cb,90,0.8761323009879295
4,p0cb,95,0.9266847219186838
4,p0cb,99,1.0368849544877174
4,p0cb,-1,0.708220728711052
4,p30cb,50,0.7107936159443067
4,p30cb,75,0.801662148081661
4,p30cb,90,0.8820028975500318
4,p30cb,95,0.9316963624576778
4,p30cb,99,1.0260607750062123
4,p30cb,-1,0.7134818173979834
4,p60cb,50,0.7165746600857106
4,p60cb,75,0.804171394301294
4,p60cb,90,0.8843701842570233
4,p60cb,95,0.928587067438119
4,p60cb,99,1.0195914892347058
4,p60cb,-1,0.7179574651367042
5,real,50,0.6987687867624217
5,real,75,0.8076311106314379
5,real,90,0.9105482061667473
5,real,95,0.9791570038345906
5,real,99,1.1017792716634704
5,real,-1,0.7063974263191016
5,cb,50,0.7046087352432178
5,cb,75,0.7923468227665271
5,cb,90,0.8759790163279302
5,cb,95,0.9309350833031962
5,cb,99,1.0322698290299595
5,cb,-1,0.7074856708374341
5,p0,50,0.6987687867624217
5,p0,75,0.8076311106314379
5,p0,90,0.9105482061667473
5,p0,95,0.9791570038345906
5,p0,99,1.1017792716634704
5,p0,-1,0.7063974263191016
5,p30,50,0.70809071481016
5,p30,75,0.8127003806948065
5,p30,90,0.9106672446671458
5,p30,95,0.9741686188756516
5,p30,99,1.087116595258808
5,p30,-1,0.7130211648730084
5,p60,50,0.7143586056240911
5,p60,75,0.8183400453153706
5,p60,90,0.912842073994235
5,p60,95,0.969870632172769
5,p60,99,1.078070067839237
5,p60,-1,0.7177701552432219
5,p0cb,50,0.7052209330539198
5,p0cb,75,0.7930845859336908
5,p0cb,90,0.8759876477881914
5,p0cb,95,0.9323860980767303
5,p0cb,99,1.0300091045105315
5,p0cb,-1,0.708394559908427
5,p30cb,50,0.7113586278387252
5,p30cb,75,0.7992273732598119
5,p30cb,90,0.8807122839969148
5,p30cb,95,0.9297613134348669
5,p30cb,99,1.019557938261193
5,p30cb,-1,0.7132655794749633
5,p60cb,50,0.7169698871953208
5,p60cb,75,0.8047991598102511
5,p60cb,90,0.8835655560261255
5,p60cb,95,0.9292243762551885
5,p60cb,99,1.020705398632538
5,p60cb,-1,0.7178293330903164
6,real,50,0.6987687867624217
6,real,75,0.8076311106314379
6,real,90,0.9105482061667473
6,real,95,0.9791570038345906
6,real,99,1.1017792716634704
6,real,-1,0.7063974263191016
6,cb,50,0.7038461630784278
6,cb,75,0.7935420245767986
6,cb,90,0.8771665971300535
6,cb,95,0.929464942684811
6,cb,99,1.0273019076223624
6,cb,-1,0.7080245000419166
6,p0,50,0.6987687867624217
6,p0,75,0.8076311106314379
6,p0,90,0.9105482061667473
6,p0,95,0.9791570038345906
6,p0,99,1.1017792716634704
6,p0,-1,0.7063974263191016
6,p30,50,0.7093616215228323
6,p30,75,0.8136583072917194
6,p30,90,0.9109242321400776
6,p30,95,0.975846376727048
6,p30,99,1.0875262294747985
6,p30,-1,0.7135012344907097
6,p60,50,0.7154040977646988
6,p60,75,0.8192557863536678
6,p60,90,0.9134451496660063
6,p60,95,0.9706894045944934
6,p60,99,1.0764360001327564
6,p60,-1,0.7182312778677952
6,p0cb,50,0.705258783643673
6,p0cb,75,0.793942313017225
6,p0cb,90,0.8776088818736554
6,p0cb,95,0.9298146356291491
6,p0cb,99,1.037308857239141
6,p0cb,-1,0.7079905548979042
6,p30cb,50,0.7121468140014365
6,p30cb,75,0.7982613226971953
6,p30cb,90,0.8819019016774491
6,p30cb,95,0.9301602931929287
6,p30cb,99,1.029743273381749
6,p30cb,-1,0.7134078241458505
6,p60cb,50,0.7167015358400244
6,p60cb,75,0.8040852943371831
6,p60cb,90,0.8840043283142559
6,p60cb,95,0.9295015859243303
6,p60cb,99,1.014689605420039
6,p60cb,-1,0.7178916014553534
