v_col,n,ovl,ndrop,r_S,n_S,p0,p05,p15
youfeelmost,12386,0.0,0,0.13612268601136876,0.0005922168441587309,0.13612268601136876,0.4034575569537237,0.5772986076102609
otherfeel1most,12181,0.0,0,0.12315698651727446,0.00027217438346068695,0.12315698651727446,0.4156354230613398,0.5870129340513781
bondagemost,7767,1.0,1,0.24030492407256307,0.0008979729856580649,0.24030492407256307,0.4210393012396107,0.5743508667737127
gentleness2most,6726,0.8888888888888888,2,0.08643223543023201,0.00844524087083108,0.08643223543023201,0.3748834214357719,0.562564523738504
nonconsent1most,4915,1.0,1,0.059882960295882234,0.02360050744552846,0.059882960295882234,0.34266816931621674,0.5432816465907697
powerdynamic2most,7676,1.0,2,0.14190190830527402,0.006564377005241688,0.14190190830527402,0.39420164911113986,0.5677287626960269
pregnancy2most,1913,0.0,0,0.2047110162986414,0.03236091836371916,0.2047110162986414,0.3966841475850468,0.5387252661905872
toys2most,7403,1.0,2,0.2048255560662647,0.008363931380939748,0.2048255560662647,0.4536923909967224,0.6047066270134975
humiliation2most,3177,1.0,1,0.19041660127562898,-0.006780618732850726,0.19041660127562898,0.38504752114263546,0.5555320737104352
mentalalteration2most,2701,1.0,1,0.061549208343206735,-0.02095258670777903,0.061549208343206735,0.3553153176753392,0.5527743175866761
