a,b,kind,n,gap,first,bal,e
3,22,same,1427,4.802382620882971,12.913805185704275,0.21583742116327964,0.02675499716840805
8,26,cross,1833,4.522640480087289,13.656028368794326,0.36224768139661756,-0.019244085658607985
6,26,cross,666,4.66966966966967,13.515765765765765,0.3858858858858859,-0.04700779015759819
14,26,same,1441,4.193615544760583,13.659264399722415,0.3303261623872311,-0.02345030027898583
26,29,same,2798,5.403502501786991,12.557362401715512,0.16869192280200143,-0.015365841842236511
6,17,cross,1248,4.7391826923076925,13.571314102564102,0.36378205128205127,-0.015043537757733427
5,6,same,900,4.799444444444444,13.355,0.37555555555555553,0.06733436130993582
8,29,cross,4132,4.834341723136496,12.521660212971927,0.24854791868344628,-0.008289494735166361
5,20,cross,1660,5.067469879518073,12.693373493975903,0.3578313253012048,-0.03544312847791394
4,5,cross,3228,4.408302354399009,13.692688971499381,0.41728624535315983,-0.004621017804187333
4,21,cross,400,4.33625,12.7375,0.3175,-0.03470905356043574
3,14,cross,2755,3.9303085299455534,12.948457350272232,0.35716878402903807,0.006114149210952841
8,20,cross,1641,5.135588056063376,12.674893357708715,0.42413162705667273,-0.0152353911804477
15,16,cross,525,5.17047619047619,14.104761904761904,0.4780952380952381,-0.008659769125384206
10,22,same,1142,4.204903677758319,13.697022767075307,0.4597197898423818,0.010173555693788045
6,10,same,832,4.718149038461538,13.57451923076923,0.44591346153846156,0.05437277637874279
13,17,same,1354,4.10930576070901,13.385524372230428,0.4689807976366322,-0.004451340633200333
9,23,same,625,5.3064,12.6696,0.23519999999999996,0.0661522973275352
11,13,cross,1209,3.899503722084367,13.461952026468156,0.45905707196029777,-0.01322068898105381
15,30,cross,2307,6.103381014304292,12.549414824447334,0.1378413524057217,-0.012186428111227277
5,9,same,1075,4.4730232558139535,12.774418604651164,0.39627906976744187,0.016225343853164192
4,14,same,3107,3.9615384615384617,13.652719665271967,0.4499517219182491,0.012221738445815089
2,18,same,760,4.582894736842105,13.523684210526316,0.49473684210526314,0.018457272789825046
16,17,same,1294,4.664219474497681,14.27241112828439,0.31993817619783615,-0.0022749703434934063
1,15,cross,1113,5.860287511230908,12.638814016172507,0.1922731356693621,-0.007074228175498038
20,30,same,2924,5.120554035567715,11.908173734610124,0.3115595075239398,-0.021623699432886577
8,30,cross,5740,5.12116724738676,12.545731707317072,0.24581881533101047,-0.0010556511597181002
2,22,cross,1420,4.13556338028169,13.90669014084507,0.38802816901408455,-0.028084286948438952
4,17,same,4035,4.414622057001239,13.98996282527881,0.483271375464684,0.004804074008919967
1,14,same,2092,4.5896271510516256,12.314292543021033,0.29110898661567874,-0.009320687001379613
2,13,same,1405,4.15693950177936,13.527402135231316,0.4277580071174377,0.06477460204301631
11,12,same,1591,4.340037712130735,13.301697045883092,0.30421118793211815,0.017378640668862928
10,29,cross,2841,5.415522703273496,12.393171418514607,0.19711369236184442,-0.011640652120470921
8,16,cross,1231,4.789601949634443,13.764012997562958,0.2818846466287571,-0.05169253058264499
5,18,cross,615,4.928455284552846,13.339024390243903,0.4666666666666667,-0.03496928090719222
5,15,same,1159,5.135461604831751,13.683779119930975,0.35634167385677307,0.002945942746957901
2,11,cross,3253,4.075929910851522,14.271134337534583,0.4792499231478635,0.007190544733542229
8,15,same,1275,5.29843137254902,13.68,0.2901960784313725,0.05069530197221217
4,22,cross,1652,4.22639225181598,13.570823244552058,0.3299031476997578,-0.024768758645736598
3,4,cross,3782,4.104574299312533,12.957826546800634,0.3043363299841354,-0.007876069338268843
1,26,same,1814,5.109426681367144,12.74696802646086,0.2342888643880926,0.011589224055326808
10,30,cross,4006,5.503494757863205,12.455691462805792,0.17598602096854718,-0.01825999839577149
16,26,same,808,4.29269801980198,13.931311881188119,0.3316831683168317,0.03114117596464831
1,29,same,3151,4.147730879086004,11.99365280863218,0.390352269120914,-0.01601226290096534
10,15,same,1006,4.915009940357853,13.858349900596421,0.411530815109344,0.015729047907386384
3,20,cross,1627,4.7317148125384145,12.18100799016595,0.4917025199754149,-0.01577635840245184
12,18,cross,661,4.530257186081695,12.844175491679273,0.31013615733736766,-0.055128649815103625
12,26,cross,1052,4.640209125475285,13.309410646387832,0.3032319391634981,-0.014065212151141204
9,12,same,702,4.435185185185185,12.542735042735043,0.4586894586894587,-0.0050359693133392724
12,29,cross,1947,4.678736517719568,12.365690806368772,0.3266563944530046,-0.017399631067673837
9,11,same,1022,4.6007827788649704,12.799902152641879,0.37279843444227,0.057452956591264925
2,5,cross,2554,4.5863351605324985,14.021534847298355,0.47846515270164447,0.005254839178127413
13,29,same,1655,4.669486404833837,12.219939577039275,0.22416918429003022,-0.007892491151135272
1,3,cross,2325,4.026451612903226,12.13268817204301,0.381505376344086,0.005609834315964105
10,12,same,1240,4.538306451612903,13.171774193548387,0.29435483870967744,0.040877607489940314
13,22,cross,632,4.3164556962025316,13.111550632911392,0.3623417721518988,-0.013399783414107783
16,23,cross,602,4.571428571428571,14.080564784053156,0.4651162790697675,-0.04040297698837575
13,20,same,849,4.773262661955242,12.406360424028268,0.3957597173144876,-0.009543374798263782
