tag,n,sd,rho_mean,rho_sd,rho_corr_S,corr_S,n_S,corr_age,seed,corr_plant
real,9944,2.3406845704017982,-0.032817165356653674,0.3572698678330955,-0.045880921436834275,-0.02865462857242383,9696,0.12335205596500551,1,
null,9944,3.0151674602144616,0.0016323208587624403,0.31264056609881774,0.015991883617512172,0.010021308962822403,9696,0.0048545011371008435,1,
plant0.0,9944,2.3406845704017982,-0.032817165356653744,0.3572698678330954,-0.04588092143683428,-0.02865462857242381,9696,0.12335205596500548,1,0.0015750363716145752
plant0.8,9944,2.474672669012717,-0.024880010829802283,0.3922007537578575,-0.03952552987442507,-0.031128155160596846,9696,0.11496071485450324,1,0.32466298862155996
plant2.0,9944,3.0806607104702604,-0.012494834641435266,0.4882850936438284,-0.03193580262445625,-0.029803415892701492,9696,0.09028354389020361,1,0.6502035617383349
plant5.0,9944,5.5226464990643045,-0.0020240870328198744,0.6512512966706093,-0.0236872866855329,-0.023329667033979297,9696,0.04748448683414898,1,0.9057453563225514
real,9944,2.3406845704017982,-0.032817165356653674,0.3572698678330955,-0.045880921436834275,-0.02865462857242383,9696,0.12335205596500551,2,
null,9944,2.976938806561336,0.0029940389776546414,0.312160343001356,0.02046084422017782,0.02035882258509288,9696,0.012752966952819661,2,
plant0.0,9944,2.3406845704017982,-0.032817165356653744,0.3572698678330954,-0.04588092143683428,-0.02865462857242381,9696,0.12335205596500548,2,-0.02594857520337838
plant0.8,9944,2.452860513070163,-0.02641221266850829,0.392342676862573,-0.05128267393065962,-0.0359867561683823,9696,0.11837522825798401,2,0.2999639360778078
plant2.0,9944,3.0335295609616413,-0.013055594583685192,0.48946144177628986,-0.048306685274321935,-0.0395091318435158,9696,0.0965220284583052,2,0.6363974179198687
plant5.0,9944,5.445872209699172,-0.0035945938982155845,0.6524885353208679,-0.04048794908728694,-0.036500615237628264,9696,0.054888119631473116,2,0.9029650172647511
real,9944,2.3406845704017982,-0.032817165356653674,0.3572698678330955,-0.045880921436834275,-0.02865462857242383,9696,0.12335205596500551,3,
null,9944,2.993248897730548,0.00165500295391979,0.3134717680815473,-0.009527521617348085,-0.012972403694899139,9696,-0.0023865073252825808,3,
plant0.0,9944,2.3406845704017982,-0.032817165356653744,0.3572698678330954,-0.04588092143683428,-0.02865462857242381,9696,0.12335205596500548,3,0.023372500844592782
plant0.8,9944,2.491963657347499,-0.025809538562946148,0.3959148529422774,-0.042110407339057784,-0.03288241539620266,9696,0.11368160595161933,3,0.3439715221775012
plant2.0,9944,3.1179593314697867,-0.011492181177191571,0.4936229220803508,-0.02956610317985851,-0.033389660770553914,9696,0.08824159198837234,3,0.6609611075179245
plant5.0,9944,5.583975253546417,0.001631071406335029,0.655740350994997,-0.018565376585984356,-0.028563113118537785,9696,0.04562016218839946,3,0.9079666230508995
real,9944,2.3406845704017982,-0.032817165356653674,0.3572698678330955,-0.045880921436834275,-0.02865462857242383,9696,0.12335205596500551,4,
null,9944,2.9826573155161413,0.0007789236415749641,0.31115034692172405,0.022925281216837224,0.01817010194359318,9696,-0.005739005224126256,4,
plant0.0,9944,2.3406845704017982,-0.032817165356653744,0.3572698678330954,-0.04588092143683428,-0.02865462857242381,9696,0.12335205596500548,4,0.012315983316738784
plant0.8,9944,2.482026395163913,-0.025161840975324815,0.39405767740635383,-0.042445029172781916,-0.0273821560674434,9696,0.1112704724693451,4,0.3329075422360355
plant2.0,9944,3.093209603604336,-0.011347351015523635,0.4913250527114838,-0.030538002853046954,-0.02237212319588906,9696,0.08319780292010326,4,0.6538423768349132
plant5.0,9944,5.532449566005828,0.0003973012602436494,0.653602522578322,-0.019962926035455037,-0.013071609480136139,9696,0.03800815963750046,4,0.906097198029042
