bin,n,conn,null,gap,readable
2.0,457,-0.005061869278506111,0.004529008374587053,-0.009590877653093164,True
5.5,1311,-0.0029679113563652573,0.004267334985990642,-0.0072352463423559,True
7.5,2971,-0.006694191536308627,0.004559152988490523,-0.01125334452479915,True
9.5,5921,-0.004471109367599114,0.005118322021123851,-0.009589431388722966,True
11.5,14812,-0.001330307389339174,0.0056310026743704574,-0.006961310063709631,True
13.5,26256,0.0036511358487893233,0.00626015986621872,-0.002609024017429397,True
15.5,28471,0.007901066460137215,0.006620145615835686,0.0012809208443015285,True
17.5,20577,0.012542755814851618,0.007840876100243808,0.0047018797146078095,True
22.0,20749,0.014170727652363192,0.008381063831036236,0.0057896638213269565,True
28.0,4260,0.01371592196505215,0.00847057049343567,0.005245351471616481,True
