split,side,n,delta,null,boot
PC1,A,2878,-0.01541476890114723,-0.00334400610490655,0.008340536354506413
PC1,B,45,-0.3307693283087591,-0.0374370119941284,0.10231526335812172
PC2,A,1239,-0.342787050019519,0.013907013752292323,0.018832193092201934
PC2,B,1073,-0.17544018420194818,0.011391649398991446,0.01350971921487138
PC3,A,700,-0.3377343756336608,-0.0060108611462847475,0.021770357771007668
PC3,B,1494,-0.16938198264149634,-0.006700527619095097,0.01371280738879406
PC4,A,1182,-0.36736522333233723,-0.002638859700200178,0.017654000675829666
PC4,B,889,-0.13636485856283406,0.007187136497991918,0.015442523623233584
PC5,A,554,-0.34575930873414357,-0.022707745284727545,0.023001348595404
PC5,B,1476,-0.1072497576567916,0.004537104141359371,0.012516955989020806
PC6,A,475,-0.4168005469164654,-0.0024417651465071014,0.03525876042037346
PC6,B,2011,-0.08490871482125929,0.001609518317234952,0.007682806756862153
