entry,in_ledger,round,scan,source,why,files
11,True,-,-,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
15,True,-,-,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
20,True,E01·A07·R103,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
26,True,E01·A05·R094,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
63,True,E01·A03·R068,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
64,True,E01·A01·R024,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
67,True,E01·A09·R114,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
69,True,E01·A10·R116,-,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
70,True,E01·A10·R117,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
75,True,E01·A03·R071,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
82,True,E01·A10·R125,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
86,True,E01·A05·R097,-,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
87,True,E01·A10·R129,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
88,True,E01·A10·R130,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
89,True,E01·A10·R131,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
90,True,E01·A10·R132,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
91,True,E01·A10·R133,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
99,True,E01·A11·R146,SEED_IS_FAKE,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
100,True,E01·A11·R147,SEED_IS_FAKE,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
101,True,E01·A11·R148,UNVERIFIED,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
102,True,E01·A11·R150,-,null_零臂,"条目不陈述精度,且拿不出来源 —— 保守判为零臂","README.md,README_zh.md"
104,True,E01·A11·R151,-,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
105,True,E01·A10·R134,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
107,True,E01·A12·R158,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
110,True,E01·A12·R162,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
114,True,E01·A12·R166,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
115,True,E01·A12·R167,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
116,True,E01·A12·R168,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
117,True,E01·A12·R169,UNVERIFIED,已陈述精度,条目正文带 ± / ×自身展布 / 区间,"README.md,README_zh.md"
