entry,fmt,has_pm,has_ratio,has_ci,has_floor,any_precision
17,prose,False,False,False,True,False
18,prose,False,True,False,True,True
19,prose,False,False,False,True,False
20,prose,False,False,False,True,False
21,prose,True,False,False,True,True
22,prose,True,False,True,True,True
23,prose,False,False,False,False,False
24,prose,False,False,False,False,False
25,prose,False,False,False,True,False
26,prose,False,False,False,False,False
27,prose,False,False,False,False,False
28,prose,False,False,False,True,False
29,prose,True,False,False,True,True
30,prose,False,False,False,True,False
31,prose,False,False,True,True,True
32,prose,False,False,False,True,False
33,prose,False,False,False,False,False
34,prose,False,True,False,False,True
35,prose,True,False,False,True,True
36,prose,False,False,False,True,False
37,prose,True,False,False,True,True
38,prose,True,False,False,True,True
39,prose,False,False,False,True,False
40,prose,False,False,False,True,False
41,prose,False,False,False,True,False
42,prose,False,False,False,True,False
43,prose,False,False,False,True,False
44,prose,True,False,True,True,True
45,prose,False,False,False,False,False
46,prose,False,False,False,True,False
47,prose,False,False,False,True,False
48,prose,False,False,False,False,False
49,prose,False,False,False,True,False
50,prose,False,False,False,True,False
51,prose,False,False,False,True,False
52,prose,False,False,False,False,False
53,prose,False,False,False,False,False
54,prose,False,False,False,False,False
55,prose,False,False,False,False,False
56,prose,False,False,False,False,False
57,prose,False,False,False,False,False
58,prose,False,False,False,False,False
59,prose,False,False,False,True,False
60,prose,False,False,False,True,False
61,prose,False,False,False,True,False
62,prose,False,False,False,True,False
63,prose,False,False,True,False,True
64,prose,False,False,False,True,False
65,prose,False,False,False,True,False
66,prose,False,False,True,True,True
67,prose,False,True,False,True,True
68,prose,False,True,False,True,True
69,prose,False,True,False,True,True
70,prose,False,True,False,True,True
71,prose,False,True,False,True,True
72,prose,False,False,False,False,False
73,prose,False,False,False,True,False
74,prose,False,True,False,True,True
75,prose,True,False,False,False,True
76,prose,False,False,False,True,False
77,prose,False,False,False,False,False
78,prose,False,False,False,False,False
79,prose,False,False,False,True,False
80,prose,False,True,False,True,True
81,prose,False,False,False,True,False
82,prose,False,False,False,True,False
83,prose,False,False,False,True,False
84,prose,False,False,False,False,False
85,prose,False,True,False,True,True
86,prose,False,False,True,True,True
87,prose,False,False,False,True,False
88,prose,False,True,False,True,True
89,prose,False,False,False,True,False
90,prose,True,False,True,False,True
91,prose,True,False,False,True,True
92,prose,False,True,False,True,True
93,prose,False,True,False,True,True
94,prose,False,True,False,True,True
95,prose,False,True,False,True,True
96,prose,False,False,False,True,False
97,prose,False,False,False,True,False
98,prose,False,False,False,True,False
99,prose,False,True,False,True,True
100,prose,False,True,False,True,True
101,prose,False,False,False,True,False
102,prose,False,False,False,True,False
103,prose,False,False,False,True,False
104,prose,False,True,False,True,True
105,prose,True,False,False,True,True
106,prose,False,True,True,True,True
107,prose,False,True,False,True,True
108,prose,True,True,False,False,True
109,prose,True,False,False,False,True
110,prose,True,False,False,False,True
111,prose,False,False,False,False,False
112,prose,False,True,False,False,True
113,prose,True,False,False,True,True
114,prose,False,True,True,False,True
115,prose,False,True,False,False,True
116,prose,False,True,False,False,True
117,prose,True,True,False,True,True
118,prose,False,True,False,True,True
119,prose,True,False,False,False,True
120,prose,True,True,False,False,True
121,prose,False,False,False,False,False
122,prose,False,False,False,False,False
123,prose,True,False,False,False,True
124,prose,True,True,False,False,True
125,prose,True,True,False,True,True
126,prose,True,False,False,False,True
127,prose,True,True,False,True,True
128,prose,False,True,False,True,True
129,prose,False,False,False,True,False
130,prose,False,False,False,True,False
131,prose,False,True,False,True,True
132,prose,True,False,False,True,True
133,prose,False,True,False,True,True
134,prose,False,False,False,False,False
135,prose,False,False,False,True,False
136,prose,False,False,False,True,False
137,prose,False,False,False,True,False
138,prose,False,False,False,False,False
139,prose,False,False,False,False,False
140,prose,False,False,False,True,False
141,prose,False,False,True,True,True
142,prose,False,False,False,True,False
143,prose,False,False,False,False,False
144,prose,False,False,False,False,False
145,prose,False,False,False,True,False
146,prose,True,False,False,True,True
147,prose,False,False,False,True,False
148,prose,False,False,False,False,False
149,prose,False,False,False,True,False
150,prose,False,False,False,False,False
151,prose,False,False,False,False,False
152,prose,False,False,False,False,False
153,prose,True,False,False,True,True
154,prose,False,False,False,True,False
155,prose,False,False,False,False,False
156,prose,True,False,False,False,True
157,prose,True,False,False,False,True
158,prose,True,False,False,False,True
159,prose,False,False,False,True,False
160,prose,False,True,False,False,True
161,prose,True,True,False,True,True
162,prose,True,False,False,True,True
163,prose,False,True,False,True,True
164,prose,False,True,False,False,True
165,prose,True,True,False,True,True
166,prose,True,False,False,False,True
167,prose,True,False,False,True,True
1,table,False,False,False,True,False
2,table,False,False,False,True,False
3,table,False,False,False,True,False
4,table,False,False,False,False,False
5,table,False,False,False,False,False
6,table,False,False,False,True,False
7,table,False,False,False,False,False
8,table,False,False,False,True,False
9,table,True,False,False,True,True
10,table,False,False,False,False,False
11,table,False,False,False,False,False
12,table,False,False,False,True,False
13,table,False,False,False,False,False
14,table,False,False,False,False,False
15,table,False,False,False,False,False
16,table,False,False,False,False,False
