pop,K,seed,gap,null_PR,pct
real,2,1,-0.0011149070556218312,1.9700695289065373,-0.05659226942313282
CONCENTRATED [pos ctrl],2,1,-0.008422669716012427,1.9871756357373886,-0.4238512975168899
base-rate [neg ctrl],2,1,-0.0013161218597993632,1.9832516980639425,-0.06636181686289068
real,2,2,0.004017005177988314,1.9663061487972444,0.2042919501851452
CONCENTRATED [pos ctrl],2,2,-0.008940219073716445,1.9863227949265219,-0.4500889330048273
base-rate [neg ctrl],2,2,0.0016693465550075583,1.906595608205456,0.08755640408606609
real,2,3,-0.0018255554783381206,1.898816134668957,-0.09614177197079649
CONCENTRATED [pos ctrl],2,3,-0.00869196724112201,1.9830238442091874,-0.4383188465688011
base-rate [neg ctrl],2,3,0.0010786056324601225,1.9157555293415904,0.05630184101991444
real,2,4,0.0008354344652568386,1.9588482292970708,0.042649269747489976
CONCENTRATED [pos ctrl],2,4,-0.00844355476581394,1.9702515577828659,-0.4285521172390553
base-rate [neg ctrl],2,4,0.0005965938140807534,1.9352102594403373,0.03082837180975303
real,4,1,-0.011366078629263502,3.597584553936739,-0.3159363861740487
CONCENTRATED [pos ctrl],4,1,-0.03419296982358993,3.5974786428057515,-0.9504704049312185
base-rate [neg ctrl],4,1,-0.06335410172050099,2.75982610961582,-2.295583098506165
real,4,2,-0.0006103070037177541,3.762926184835366,-0.016218947003991152
CONCENTRATED [pos ctrl],4,2,-0.0417346801659841,3.6981906786753322,-1.128516179726384
base-rate [neg ctrl],4,2,-0.032133135504589114,3.181705479600888,-1.0099343170072386
real,4,3,-0.0013896342385134749,3.4996912335790205,-0.03970733832688266
CONCENTRATED [pos ctrl],4,3,-0.038480825512160276,3.792627350303559,-1.0146218427993012
base-rate [neg ctrl],4,3,-0.05256677206751338,2.9789006000283313,-1.764636660485195
real,4,4,-0.008217402618919623,3.737577049967548,-0.21985908274428675
CONCENTRATED [pos ctrl],4,4,-0.03328990972647297,3.780948960231406,-0.8804644039531156
base-rate [neg ctrl],4,4,-0.04513175380726263,2.7946658076861235,-1.614924893099472
real,6,1,-0.03869627866618604,4.853513828830653,-0.7972837830671031
CONCENTRATED [pos ctrl],6,1,-0.07849034232322273,4.739304909684743,-1.6561572597455831
base-rate [neg ctrl],6,1,-0.06475162059910974,3.994457339925341,-1.6210367288669052
real,6,2,-0.006182099880683259,5.226968172116719,-0.11827314950302725
CONCENTRATED [pos ctrl],6,2,-0.08102961764251898,4.658456438336864,-1.739409152260909
base-rate [neg ctrl],6,2,-0.07072544905626438,4.1106017170646805,-1.7205619499124905
real,6,3,-0.016354462289759168,5.116770109478315,-0.3196247230154845
CONCENTRATED [pos ctrl],6,3,-0.07586183819686962,4.832535148224301,-1.5698145149496698
base-rate [neg ctrl],6,3,-0.0677201625176292,4.174048950087263,-1.6224093997798814
real,6,4,-0.013642079147193072,5.09957750058003,-0.2675139096452875
CONCENTRATED [pos ctrl],6,4,-0.07432999826936909,4.410645017841759,-1.685241001456532
base-rate [neg ctrl],6,4,-0.05096890808728298,4.102019489566322,-1.2425320800382538
real,10,1,-0.12672432543213705,7.554272498557417,-1.6775185890677977
CONCENTRATED [pos ctrl],10,1,-0.17955479580941563,7.8984972535881806,-2.273277941925552
base-rate [neg ctrl],10,1,-0.09404359577747852,7.575246889259484,-1.2414591517910478
real,10,2,-0.10072833138450578,7.884698974439218,-1.2775165128186756
CONCENTRATED [pos ctrl],10,2,-0.18415876801910377,7.898100039047148,-2.3316844191469785
base-rate [neg ctrl],10,2,-0.09909863680014049,7.145315508380663,-1.3869035829685725
real,10,3,-0.13105757116279818,7.549409919352885,-1.7359975489850217
CONCENTRATED [pos ctrl],10,3,-0.18286977258422626,8.018075339102268,-2.2807190609997563
base-rate [neg ctrl],10,3,-0.09385764234742966,7.440165832033369,-1.2614993330300373
real,10,4,-0.1260964984834161,7.592543756751207,-1.6607938330456438
CONCENTRATED [pos ctrl],10,4,-0.17924846938066744,7.977298413938361,-2.246982124518182
base-rate [neg ctrl],10,4,-0.0869118124893723,7.453523673194746,-1.166049995949365
real,16,1,-0.36237860324890364,11.004562116066005,-3.2929852131040493
CONCENTRATED [pos ctrl],16,1,-0.319404675995384,11.964740821845506,-2.6695494766774006
base-rate [neg ctrl],16,1,-0.14521637169068202,12.463267106414653,-1.1651549345030194
real,16,2,-0.3045134316823101,11.532287365624063,-2.640529341906765
CONCENTRATED [pos ctrl],16,2,-0.32631924376868787,12.125208474005076,-2.6912464595415027
base-rate [neg ctrl],16,2,-0.1576870059489851,12.293652911069234,-1.282670066331573
real,16,3,-0.2814531052417635,12.139070924175057,-2.3185720472334284
CONCENTRATED [pos ctrl],16,3,-0.31318129835430225,12.0706404321641,-2.5945706867365708
base-rate [neg ctrl],16,3,-0.14122212301404208,12.42652032723633,-1.1364575061653643
real,16,4,-0.30553444215673015,12.315680760573695,-2.4808571129485624
CONCENTRATED [pos ctrl],16,4,-0.30284532523458835,12.027379669581068,-2.5179659539685666
base-rate [neg ctrl],16,4,-0.15212095429684797,12.558272983321697,-1.2113206529184044
