qi,n_opt,ev,r_abs
1,16,0.23738390448213598,0.998662415710147
4,14,0.2428173826118837,0.9971880418876704
7,10,0.29824461095297616,0.9601456341445906
8,10,0.3315928578556552,0.952827458435664
9,10,0.34796173481250825,0.98495115433509
11,10,0.35129579578424686,0.9709310089559507
13,19,0.2896760759136701,0.9950560793349005
17,10,0.2114156532624058,0.9192732869957337
19,19,0.2449406577605405,0.9793471033536608
20,10,0.28222533964766167,0.9972574020717502
29,22,0.2174457622331359,0.9916520523313761
36,24,0.21451321079548302,0.9739892406530382
39,12,0.23777757153423124,0.9593608961668304
42,18,0.23486685550095765,0.9653063325912911
48,10,0.28235238306994315,0.9929380016576106
51,22,0.3228908541471623,0.9940347226161744
53,22,0.24778914015327258,0.976426925308583
55,17,0.2543990212600442,0.9942055934546709
62,21,0.20699370964754152,0.9849998899225619
63,18,0.2222710765415147,0.9739477137516529
67,16,0.2408165608690051,0.9746308927585804
73,20,0.2312046515933508,0.9811904464032069
77,21,0.2599435080119653,0.9931581618664118
79,11,0.24954344870679604,0.9987569594399548
81,19,0.16350447592419196,0.9341742557918126
83,10,0.26576516621595647,0.579386934351239
85,22,0.24701412089575586,0.9745814074471351
90,10,0.29670543989829723,0.9935955088996891
91,19,0.24286040779586798,0.9697452466296776
92,18,0.2264081485213274,0.9740685388798201
93,21,0.2584868898260667,0.989772959188724
96,19,0.2567508672911586,0.9698634573836684
1,16,0.23743398636937324,0.9952068110402849
4,14,0.24344270940067422,0.9831668930004698
7,10,0.2977772321709564,0.9478731311700019
8,10,0.3319600739359403,0.9631870578318653
9,10,0.3477898485340054,0.9973654818091303
11,10,0.35097686071982626,0.987329920424281
13,19,0.2897529123214896,0.9960611689876024
17,10,0.21210427695425707,0.7729835397701339
19,19,0.24501491712951276,0.9893244962504215
20,10,0.28220895813639535,0.9952784637089719
29,22,0.2173522858508697,0.9930740540217738
36,24,0.2146312012105045,0.9757876354711873
39,12,0.23802999256624519,0.9087779279827577
42,18,0.232797299017739,0.9835789088760387
48,10,0.28202553808766245,0.9961714909282794
51,22,0.32313571436652333,0.9930769115400281
53,22,0.24818310239267835,0.9808076389908378
55,17,0.2543621035168727,0.9962137924572717
62,21,0.20711007550985933,0.978317869512253
63,18,0.22218613512375637,0.9891789401992293
67,16,0.2408821483787941,0.9621820692034839
73,20,0.23131008398571923,0.9727419375749842
77,21,0.2598962300522243,0.9967078782243138
79,11,0.24956887665011412,0.9969623382462348
81,19,0.1629595994769867,0.984196154552707
83,10,0.2639804391009556,0.9825888366089229
85,22,0.24675417401881805,0.9790047076095559
90,10,0.2974537344074059,0.9307835209771583
91,19,0.24270627692738053,0.9647766736501074
92,18,0.22666983314392203,0.9727935556120947
93,21,0.25846300774727315,0.989892987640179
96,19,0.25678724395537117,0.9751224075725916
1,16,0.23736683728819818,0.9988957514750674
4,14,0.2430422198586064,0.9925650369562683
7,10,0.2983325679460109,0.8107332899792995
8,10,0.3320260538156411,0.9050802241196032
9,10,0.3478014085993035,0.9946424515722232
11,10,0.35133515445708013,0.9822748256693586
13,19,0.28972559061403536,0.9954225759741958
17,10,0.21297809209907181,0.8099620546890688
19,19,0.24509279194817649,0.9823226927396145
20,10,0.28233359002699193,0.9945631969398299
29,22,0.2174208915645386,0.9921646841922972
36,24,0.21460091422937833,0.9773690071870753
39,12,0.23743427179297297,0.9436066180574253
42,18,0.23357645609228322,0.9916452589351721
48,10,0.2821699493433951,0.9952608560810573
51,22,0.3233287164612665,0.990213164132127
53,22,0.24803148591899965,0.9827225604871095
55,17,0.2544585121920049,0.9885459065800488
62,21,0.20697391462456258,0.9835784191667675
63,18,0.22216276267049034,0.9871580327041066
67,16,0.24085182268612315,0.9764088100599377
73,20,0.23155545344467582,0.9460735842275857
77,21,0.25997229983315306,0.9966716799014529
79,11,0.24954897584532926,0.9966298517680078
81,19,0.16433160967155774,0.8331914357196128
83,10,0.2661916654457036,0.8540748150000568
85,22,0.2469567661818128,0.982298387314228
90,10,0.2968280830369312,0.9715473808111585
91,19,0.24303036161763955,0.9323041590415826
92,18,0.22686053743185733,0.9825388513261482
93,21,0.2587045122889302,0.9933034635907524
96,19,0.2566007005637103,0.9822164781274421
1,16,0.2373989201558982,0.9963424939072213
4,14,0.242865517905451,0.99517900222729
7,10,0.2977163497903935,0.9629841545455033
8,10,0.33214213593384456,0.9470537537109993
9,10,0.3479404172053321,0.9943910856253306
11,10,0.35142152373311164,0.9730410629884999
13,19,0.28968485785371484,0.9979287647655244
17,10,0.2104752920886387,0.9756337936506787
19,19,0.24512223177789144,0.9805370487100005
20,10,0.28235202088066497,0.9868656720638987
29,22,0.21741788676304458,0.992826538245707
36,24,0.21472430536850937,0.9674719445542111
39,12,0.23810070780322,0.921153570836206
42,18,0.23357494288290032,0.996145455058322
48,10,0.2822490198790486,0.9975934205305644
51,22,0.3230765589198379,0.9949576392389309
53,22,0.2480727972178093,0.9750310480576916
55,17,0.25429381946831575,0.9900897908649083
62,21,0.20670413309498276,0.98585493984431
63,18,0.2221294112201488,0.9906802543649295
67,16,0.24079757309936972,0.976107289291957
73,20,0.2312871755002363,0.9820923796789708
77,21,0.2598884995747897,0.9944339435089562
79,11,0.2496905608087227,0.993993137443725
81,19,0.16358362121285544,0.9279192093457426
83,10,0.26594657669661514,0.9070202074259506
85,22,0.24684477992246323,0.9826900162240562
90,10,0.2970693093162343,0.9808066039549563
91,19,0.2427261919411967,0.9418917446951628
92,18,0.22685876556068102,0.9814698674427591
93,21,0.2586705031508967,0.9869721891585661
96,19,0.25662220866330077,0.9826846211496023
1,16,0.23744490171889182,0.9927829294067414
4,14,0.24331149166304403,0.984775010182619
7,10,0.29835897684666,0.8782385916657318
8,10,0.3318714955150547,0.9642446564089348
9,10,0.34789970479389054,0.9953557771579639
11,10,0.3512301255581109,0.9768245253337333
13,19,0.2896895350890722,0.9955774532380199
17,10,0.21082755188607277,0.9148452979706945
19,19,0.24502413084465957,0.9854948418773747
20,10,0.2822463914278158,0.9858700724234447
29,22,0.21743909012979512,0.9914410662071692
36,24,0.21454481167328868,0.9835221530346148
39,12,0.2384475099501806,0.8789620374434189
42,18,0.23373011761523615,0.9898246332519356
48,10,0.28207949082095507,0.9948927443731416
51,22,0.3238071105318678,0.9933450740427888
53,22,0.24804511798073675,0.9894854522715857
55,17,0.25438316754066354,0.9961301433911691
62,21,0.2069223009344594,0.989086867176104
63,18,0.22207832247891068,0.9826630942694363
67,16,0.2408829466759472,0.9613714244259141
73,20,0.23123812053089088,0.9739325220752506
77,21,0.25991960373395584,0.9904753339907848
79,11,0.24943185893742964,0.9991507885874806
81,19,0.16409981431840337,0.8738030429620348
83,10,0.2640757966525745,0.9876999647681292
85,22,0.24696750764693087,0.9732816172072268
90,10,0.296790265772068,0.9905302309821821
91,19,0.2434321998651258,0.9281057005791542
92,18,0.226621752348464,0.9885350451399746
93,21,0.25867215620676126,0.9864464472165618
96,19,0.2565637456689716,0.9792542945881629
1,16,0.23740578550544417,0.9937908337383107
4,14,0.2433276296443826,0.9900525223509279
7,10,0.2988811103083847,0.6916270362634782
8,10,0.3321728239961818,0.9123953807512568
9,10,0.3477581287255809,0.9977674970938774
11,10,0.3505783857665494,0.9883784361384822
13,19,0.2897163072024416,0.9939021668111988
17,10,0.210824577469635,0.8641144325713478
19,19,0.24524497512982774,0.9706905107160304
20,10,0.28260446957096824,0.9695256805815692
29,22,0.21742609360801102,0.9936669040894784
36,24,0.2144479343562782,0.981988780398335
39,12,0.23735490869173664,0.9808281530281583
42,18,0.23362344798678586,0.9887075327729369
48,10,0.2820104655464378,0.9982230097039418
51,22,0.3234126343474842,0.9925423438116837
53,22,0.24813637171310382,0.9848939272028349
55,17,0.254369881859107,0.9959602549370741
62,21,0.20694761961881838,0.983305297928314
63,18,0.22230089641080852,0.980956973057232
67,16,0.24091788582169119,0.9435503452516049
73,20,0.23083926455021878,0.9512015081979057
77,21,0.25978615840514024,0.9922173478063412
79,11,0.2495778443824191,0.998606605582019
81,19,0.1661058461844444,0.817739056274678
83,10,0.26443319401816096,0.9805326097830057
85,22,0.24707585616781358,0.9745208753658687
90,10,0.29670462186322133,0.9950293468630406
91,19,0.24285197095928446,0.9603616868593408
92,18,0.22671053256764842,0.9836244239946839
93,21,0.25862272705525335,0.9946905623649069
96,19,0.25664413735058866,0.9733707213472408
1,16,0.2374048520195832,0.9942626188016792
4,14,0.24335354051228034,0.983686220422858
7,10,0.298770285765525,0.9290281667356936
8,10,0.3318239944853122,0.9703228051420345
9,10,0.3478235268886647,0.9944805591836899
11,10,0.3514457782042092,0.9549859836339094
13,19,0.289631196292376,0.9978519251160016
17,10,0.21055049809671783,0.9255519022084275
19,19,0.24483353549078313,0.9836504371664705
20,10,0.282554357138194,0.9408528264851146
29,22,0.21739495502510003,0.994987133297285
36,24,0.21454568561803122,0.9859988639711348
39,12,0.23797528309682703,0.9452644060833911
42,18,0.23371711639106602,0.9820956866139915
48,10,0.28190672265353034,0.9987242446275182
51,22,0.3233264980226273,0.99294594868396
53,22,0.24766073739243186,0.9818839816933372
55,17,0.2544036876572242,0.9927419095875316
62,21,0.20679190423508087,0.9668964370100959
63,18,0.22212339720350938,0.9915731804835475
67,16,0.24091292657002544,0.9601100930910831
73,20,0.23135630740035784,0.9737047951495863
77,21,0.25981932222358606,0.9969360600220116
79,11,0.24964115527108183,0.9978127260438358
81,19,0.16394724389921733,0.9509588758858031
83,10,0.26574203317847506,0.8569807965620092
85,22,0.24702098371225872,0.9854755733572018
90,10,0.2966522577652535,0.995896821146374
91,19,0.24321734207767193,0.9509661592380694
92,18,0.2265410356906168,0.9803279111210664
93,21,0.25916669846791884,0.9688697961603928
96,19,0.2568483328978881,0.9783681450642551
1,16,0.2373621604498334,0.9969325285116565
4,14,0.24313271255296268,0.9909052017068136
7,10,0.29818733393036095,0.9447434390689174
8,10,0.33186096328067427,0.9598469616985508
9,10,0.34783843872812925,0.987229610924342
11,10,0.3512302721001346,0.9858332230223855
13,19,0.2897122961809455,0.9967747195710464
17,10,0.21100513258314235,0.9714617285063397
19,19,0.24536794010614077,0.9689685221678562
20,10,0.2821439520790814,0.9933482899361842
29,22,0.21747286054616605,0.9840302578880551
36,24,0.21447368801791003,0.9855272876804901
39,12,0.23772945629273165,0.9685366038776366
42,18,0.2340535525412593,0.9819872681960681
48,10,0.281992425236901,0.9996613516990941
51,22,0.32391255676903336,0.9951183884360935
53,22,0.24780578958568916,0.9923917425400592
55,17,0.25442610950241673,0.990506058886969
62,21,0.20693395434631384,0.987544280951612
63,18,0.22218200602971103,0.989021665261993
67,16,0.24088314233053415,0.9728179153337727
73,20,0.23131160989137015,0.9743350380572481
77,21,0.260025922530684,0.9944542564821935
79,11,0.24959609493176294,0.9985545234444988
81,19,0.16412452652306633,0.8777114462913636
83,10,0.26576315308912163,0.7949749935651956
85,22,0.2470288476804956,0.9736012329109506
90,10,0.297043915352814,0.9738057029411336
91,19,0.24323370439282005,0.9027469820674617
92,18,0.22687016987833983,0.9771259396452042
93,21,0.2585730903615458,0.9886634688532506
96,19,0.2566733790861046,0.9787597845187029
1,16,0.23740677679345254,0.9960925470900857
4,14,0.2428470999321697,0.9951300917879627
7,10,0.2978494603076267,0.9555350586548826
8,10,0.3318498248512044,0.9759511873426145
9,10,0.34752130905786943,0.995096403109827
11,10,0.3514561283605926,0.9661437701780312
13,19,0.2897468847093638,0.9946679336855997
17,10,0.21077985791553605,0.925016756086067
19,19,0.24501488931702137,0.9932826316630944
20,10,0.28232206779122426,0.984367949319788
29,22,0.21749757276368245,0.9864925278761983
36,24,0.21442019412111055,0.9808411119752197
39,12,0.23824455753076626,0.929416849814312
42,18,0.2335690762936125,0.9916361195997618
48,10,0.28246101154136927,0.9970015967052841
51,22,0.32392787144905055,0.9912629203851873
53,22,0.24798735535804664,0.9902805276115346
55,17,0.2544031720449289,0.9938382210240266
62,21,0.20674999683900913,0.98583271104423
63,18,0.22213425372200224,0.9840678135026429
67,16,0.2408197454414281,0.9819327181284959
73,20,0.23142752060281715,0.9767227508640396
77,21,0.2600844257559466,0.9908935802596516
79,11,0.24961119276991878,0.9969948434849627
81,19,0.1629161418748142,0.9711261248759051
83,10,0.26381907945377425,0.9969158170506525
85,22,0.24675979962214717,0.9798474820491276
90,10,0.2968084572330044,0.9890456696662653
91,19,0.24228585482334927,0.9566383602086304
92,18,0.22688138223062373,0.9686196460077424
93,21,0.2587734171766777,0.9875179191647745
96,19,0.2570235066354842,0.9481509748018566
1,16,0.23740463463596417,0.9963264207011631
4,14,0.24280756636086623,0.9982137500303361
7,10,0.2997650056852411,0.40560121109713887
8,10,0.33192287055128233,0.9675477515647282
9,10,0.348004090531406,0.9776805700380691
11,10,0.3509137062722275,0.9924893441351278
13,19,0.28973641440248693,0.9958361269532975
17,10,0.21206805498845385,0.8608689709302133
19,19,0.24512582865593674,0.9792057415425892
20,10,0.2823079580536685,0.956260705368425
29,22,0.21742736797597106,0.9932738614810339
36,24,0.21462205289671,0.9798219824993161
39,12,0.2376033520346419,0.9536041300016691
42,18,0.23372772861457736,0.9848091060443431
48,10,0.2825684932390783,0.9940556778387869
51,22,0.3235428486815184,0.9922912885791431
53,22,0.24800459941328284,0.9745651757858617
55,17,0.2543742339573003,0.9935302721195061
62,21,0.20702531837066196,0.9830898824307374
63,18,0.22222345438488894,0.9839657290167563
67,16,0.24070482391712417,0.990573930871538
