q,n,r_raw,r_ctrl_age
【正对照】age 自己,9944,0.1532169375074577,0.0001790122449917846
"""I sometimes find people who have clearly reached sexual m",9943,-0.07900854066108283,-0.056764938309000895
animated,9564,-0.07773816570844373,-0.06654284624423995
inducefetish,9455,0.04630120740620134,0.04458730213095781
"""I am ashamed or embarrassed about at least some of what a",9944,-0.04005708976000714,-0.030210543141285753
"""I find it erotic when two people of the opposite gender t",9940,0.038964567177601155,0.030199548280296407
written,9563,-0.03354574955068368,-0.03432005803127923
knowwhatarousesyou,9944,0.03302440712094779,0.026914526939663112
"""If my partner is aroused by something, I can also be arou",9944,0.025609042074676756,0.02317155455018631
"""I find the thought of masturbating alone as a biological ",8266,0.02326958528549552,0.022719102181868626
"""I can get aroused by a partner doing what I like, even if",9943,-0.023154631112877622,-0.020576551722301155
"""I am aroused by being dominant in sexual interactions"" (6",9571,0.019119397140458048,0.01870294657601346
"""I've acted upon or experimented with all the things that ",9943,-0.01863252567756481,-0.023316747991120303
highenergy,9714,0.018426557880785885,0.014021207105405189
"""I find the thought of masturbating alone as a biological ",8266,0.01756273967656393,0.019318034234175115
"""Engaging with or fantasizing about what arouses me feels ",9942,0.0169974609496863,0.015383481676493112
"""I find the thought of existing (in *nonsexual* situations",8266,-0.015281255052367488,-0.011425716838432798
"""I am aroused by being submissive in sexual interactions"" ",9570,-0.015032829641846605,-0.011371014755248916
allrollidentity,7189,0.004134058233899776,-0.0028418218548340686
biomale,9944,0.0039363145040836114,0.0018451063686873966
"""I find the thought of existing (in *nonsexual* situations",8266,0.0008293181416321616,0.0009254528212044225
