c,lo_delta,lo_sd,lo_rel,lo_n,lo_age,hi_delta,hi_sd,hi_rel,hi_n,hi_age
10,0.03792826709931408,0.01715846964494618,0.13171709030163106,550,22.5,-0.05588258548992456,0.0035110824789871616,0.23165178762022384,11685,22.5
11,0.03792826709931408,0.016095491436085328,0.0,550,22.5,-0.05588258548992456,0.003709497583946343,0.22345698909168485,11685,22.5
12,0.02068363349517365,0.008541444596228073,0.0,1632,22.5,-0.06419537398722937,0.0035447669919797336,0.2295715721149358,10268,22.5
13,0.02068363349517365,0.008667099357389298,0.0,1632,22.5,-0.06419537398722937,0.0038845954954797503,0.2433066815679618,10268,22.5
14,0.0012464894901477205,0.0062826267025401904,0.1131879763753909,4284,22.5,-0.07041332645509091,0.005051798906181111,0.2625540661780106,7281,26.5
15,0.0012464894901477205,0.005029284445416597,0.079313391328977,4284,22.5,-0.07041332645509091,0.005120165284651785,0.20373538152788712,7281,26.5
16,-0.003950414751967478,0.004498952439236103,0.12007995153785525,7505,22.5,-0.08089573015513642,0.006759424490632507,0.28748005868407794,4204,26.5
17,-0.003950414751967478,0.0041627313750578375,0.08346267859613192,7505,22.5,-0.08089573015513642,0.007437534826456032,0.19965671732372986,4204,26.5
18,-0.01126386782766324,0.00416925756699694,0.11130515320317037,9822,22.5,-0.303432266214186,0.011264148035832141,0.36518719956994794,1944,26.5
19,-0.01126386782766324,0.004028722237420631,0.12316430083027272,9822,22.5,-0.303432266214186,0.011446921356575884,0.3083697159758768,1944,26.5
20,-0.01126386782766324,0.0035710090581316223,0.12257386722243296,9822,22.5,-0.303432266214186,0.009933371806716822,0.1347317516718579,1944,26.5
