entry,has_retraction,n_distinct,sizes,on_readme
28,True,2,"1953,31541",False
74,True,20,"2000,2495,3042,3115,3187,3734",False
110,True,2,"1337,1362",True
123,True,4,"1990,4356,8853,14974",False
129,True,3,"4153,4401,4463",True
131,True,2,"18001,35486",True
134,True,3,"1231,1434,1632",True
147,True,3,"1238,1977,2090",True
181,True,4,"1089,2423,3854,11329",False
209,True,2,"3636,11329",False
210,True,2,"2806,9944",False
211,True,4,"2806,5277,7310,9944",True
225,True,2,"4972,9944",False
231,True,2,"5322,6113",True
235,True,3,"4698,4718,9944",True
239,True,2,"2740,6301",True
240,True,2,"2806,9944",False
