K,seed,split,n,deficit,ceiling,ceil_sd
2,7,sex,7219,0.18345046969637102,0.9673356084760585,0.007863526806175287
2,7,pornhabit,3349,0.007893200882801321,0.9383427645977024,0.021791118561937516
2,7,modality,2455,0.07941914076884082,0.9204332048896486,0.026792499863408033
2,7,neuroticism,4587,0.0020613583108883837,0.9560939391942869,0.009820008447895538
2,7,sham_coinflip,4258,-0.002322922097333424,0.9594551810863721,0.011563370875972109
2,7,placebo_rowparity,7506,-0.0069335488838484505,0.966766954066483,0.019101788220922913
2,17,sex,7219,0.20240634022016146,0.9689595020564177,0.011615334500365867
2,17,pornhabit,3349,0.04243053893922133,0.9529270768925778,0.006063144419875462
2,17,modality,2455,0.05733687057215253,0.927260021002342,0.013347587031188591
2,17,neuroticism,4587,0.03645012781659984,0.9599993520063019,0.005449862529538393
2,17,sham_coinflip,4285,0.0038854333998638024,0.9559437918642463,0.00919783293005158
2,17,placebo_rowparity,7506,-0.00782680983563766,0.9699810262565218,0.007967121201789133
2,27,sex,7219,0.2062671910875682,0.9741597555945619,0.005253114079562737
2,27,pornhabit,3349,0.006528371238743058,0.9246863610863523,0.04717425051818935
2,27,modality,2455,0.06700448621374289,0.9312908001915359,0.014668627890655261
2,27,neuroticism,4587,-0.009414889632937573,0.9405725485669156,0.03830709370835304
2,27,sham_coinflip,4266,-0.0070183374787465835,0.9482900766876657,0.016936415749547563
2,27,placebo_rowparity,7506,0.001352572883969061,0.9780486090533888,0.004235159640937104
3,7,sex,7219,0.17891328105297333,0.956995597055571,0.016072032352915162
3,7,pornhabit,3349,-0.011512549466699329,0.8423248969308439,0.09976635886214501
3,7,modality,2455,0.15664301626330257,0.9121862801931261,0.026670452901473452
3,7,neuroticism,4587,0.05376804420668946,0.9555288796626817,0.008580507595113833
3,7,sham_coinflip,4258,0.011840102349211734,0.9320717515675423,0.027604902436362763
3,7,placebo_rowparity,7506,-0.0038799696619493673,0.9686497147878267,0.009960130954774
3,17,sex,7219,0.19181817601178353,0.9764769740188953,0.002909323626698247
3,17,pornhabit,3349,0.056562337942774654,0.9348640819625382,0.009310584552270932
3,17,modality,2455,0.1013096974949107,0.8948454558941682,0.03293519859271492
3,17,neuroticism,4587,0.0086355237413136,0.9434027335576683,0.0143116571801325
3,17,sham_coinflip,4285,0.019934833926320672,0.9449015014721063,0.021584796615511354
3,17,placebo_rowparity,7506,-0.003192415356536249,0.9718590081563925,0.0036670936184395896
3,27,sex,7219,0.19273230351650483,0.9718856091572838,0.005964572136756123
3,27,pornhabit,3349,0.08348707163185487,0.9384079139988961,0.013310447861379252
3,27,modality,2455,0.1309930913490186,0.8953758004482484,0.03722575902634808
3,27,neuroticism,4587,-0.005918246415167472,0.9548025178469011,0.004993261875429892
3,27,sham_coinflip,4266,-0.01711615701175484,0.9447974328272325,0.018719510290429342
3,27,placebo_rowparity,7506,-0.008130362911946909,0.9679266972819323,0.012711767088428324
5,7,sex,7219,0.09253272335230578,0.9687398705941751,0.0034488515060637657
5,7,pornhabit,3349,0.017027080704624997,0.9386531066667023,0.005719256834625725
5,7,modality,2455,0.03258728443556169,0.9105975323353709,0.027462143170859706
5,7,neuroticism,4587,0.0104728134623151,0.9543024576687076,0.008821313676406711
5,7,sham_coinflip,4258,-0.004584400431908997,0.9488197267458224,0.005117697435540851
5,7,placebo_rowparity,7506,0.0024683535524078204,0.9731227806715266,0.0016506769193524308
5,17,sex,7219,0.08094544641593748,0.9656861491607559,0.006323515549515213
5,17,pornhabit,3349,0.046291887930521414,0.9378875277013267,0.007300853345792872
5,17,modality,2455,0.01676239279534908,0.9014095257504202,0.016141853127872422
5,17,neuroticism,4587,0.01940419373481017,0.9558461835737052,0.002649903641230325
5,17,sham_coinflip,4285,-0.012897257460363853,0.9464735715209927,0.010332250413289609
5,17,placebo_rowparity,7506,0.0002294396079589589,0.971103614961488,0.008005880271910515
5,27,sex,7219,0.08378530000512951,0.9698852844887407,0.004794962369547346
5,27,pornhabit,3349,0.051972957292860444,0.940676866144746,0.012804517143985636
5,27,modality,2455,0.03361624566570176,0.9145540151915039,0.008274103257817921
5,27,neuroticism,4587,0.014771959120658762,0.9529227185188434,0.0034886840106359077
5,27,sham_coinflip,4266,-0.010515901269377737,0.9401032017754813,0.019060856620329036
5,27,placebo_rowparity,7506,-0.0012426140189445434,0.9710378749456485,0.0011395784616409063
8,7,sex,7219,0.12237200520864588,0.9464330245466112,0.008238953333240416
8,7,pornhabit,3349,0.09413405898949079,0.8842322007511288,0.03793870400982795
8,7,modality,2455,0.08700216857609333,0.8425485094641099,0.028154975709754726
8,7,neuroticism,4587,0.03533179558143795,0.9062669061053658,0.03101429845542467
8,7,sham_coinflip,4258,-0.02149621724188666,0.897034826024974,0.018682100990439102
8,7,placebo_rowparity,7506,-0.0014394859839673702,0.9467842647304714,0.012747492156758182
8,17,sex,7219,0.11719360969013914,0.947949235678473,0.021313072838175684
8,17,pornhabit,3349,0.10290701621013187,0.9020895744244358,0.0266848280773345
8,17,modality,2455,0.11449943672942697,0.8691503604740574,0.024755262629836256
8,17,neuroticism,4587,0.015181435434957757,0.8904183569965411,0.04417272553546203
8,17,sham_coinflip,4285,0.03736737549141811,0.906368407677002,0.031601842609588114
8,17,placebo_rowparity,7506,-0.007710002009835515,0.9315806634696017,0.032069735711144604
8,27,sex,7219,0.1176586594625827,0.9480238897054998,0.016613780300029014
8,27,pornhabit,3349,0.04758842856567447,0.8646738347085264,0.030650164718971022
8,27,modality,2455,0.10097319923932369,0.8459269802765548,0.027690518740565082
8,27,neuroticism,4587,0.033179188962984885,0.9069628875259974,0.04044198549384174
8,27,sham_coinflip,4266,-0.017234179504964753,0.9051269825055653,0.025171068210722996
8,27,placebo_rowparity,7506,0.015422682060920012,0.9529450679526317,0.010798234188314746
12,7,sex,7219,0.1466653179980466,0.9217436422365743,0.025063139636996357
12,7,pornhabit,3349,0.034841040212899466,0.8795035800977686,0.015310262376871086
12,7,modality,2455,0.04200670605252654,0.8703357219414134,0.01309956782281152
12,7,neuroticism,4587,-0.02034549936310992,0.8910604064892069,0.016342322415801098
12,7,sham_coinflip,4258,-0.03440113813657142,0.8941969290277031,0.014148438445693566
12,7,placebo_rowparity,7506,-0.012934058985849095,0.9160330087246308,0.00956859129437139
12,17,sex,7219,0.14444046581841863,0.9250788451859618,0.021386843941204818
12,17,pornhabit,3349,0.02729559756900435,0.88379472392147,0.01644076850158295
12,17,modality,2455,0.03101874256565218,0.8481289283476798,0.019357214402463834
12,17,neuroticism,4587,0.007318101435318858,0.8983312483112552,0.014640952631400505
12,17,sham_coinflip,4285,0.026725731790036567,0.9022877128059289,0.018758283368049633
12,17,placebo_rowparity,7506,-0.040763627253625145,0.9133791121133893,0.013449843816012703
12,27,sex,7219,0.14299704680745828,0.9200653185606168,0.021354118759280727
