min_resp,min_opt,seed,n_blocks,split,deficit
600,8,7,48,sex,0.08605024005399897
600,8,7,48,consumption,0.0926430864790817
600,8,7,48,modality,0.04067069383578659
600,8,7,48,placebo_rowparity,-0.008137064762959167
600,8,17,48,sex,0.08041417625147018
600,8,17,48,consumption,0.12436657081019087
600,8,17,48,modality,0.013248154370282927
600,8,17,48,placebo_rowparity,-0.0004399041011646787
600,10,7,37,sex,0.09026145521800832
600,10,7,37,consumption,0.08618392609168823
600,10,7,37,modality,0.0425717138132764
600,10,7,37,placebo_rowparity,-0.0016461706727697312
600,10,17,37,sex,0.08700660996609244
600,10,17,37,consumption,0.0784330403358322
600,10,17,37,modality,0.03209719940774103
600,10,17,37,placebo_rowparity,-0.005401393086355011
800,8,7,46,sex,0.08605701953308242
800,8,7,46,consumption,0.10497444865186767
800,8,7,46,modality,0.009972060691056162
800,8,7,46,placebo_rowparity,-0.006300120026851541
800,8,17,46,sex,0.08832190557694164
800,8,17,46,consumption,0.09661540326246498
800,8,17,46,modality,0.030049138554752663
800,8,17,46,placebo_rowparity,-0.0001660945579369244
800,10,7,35,sex,0.08788052504484356
800,10,7,35,consumption,0.08950676937660751
800,10,7,35,modality,0.042962701008500304
800,10,7,35,placebo_rowparity,0.0022739572569485667
800,10,17,35,sex,0.08566888214115409
800,10,17,35,consumption,0.07690176166508744
800,10,17,35,modality,0.018356428669789593
800,10,17,35,placebo_rowparity,0.00017429692414372422
1000,8,7,45,sex,0.09138862571102013
1000,8,7,45,consumption,0.09139741238356303
1000,8,7,45,modality,0.033935934271825285
1000,8,7,45,placebo_rowparity,-0.00769561712903899
1000,8,17,45,sex,0.08707624257970747
1000,8,17,45,consumption,0.10068003935814063
1000,8,17,45,modality,0.015755155410626
1000,8,17,45,placebo_rowparity,-0.0024912648859806152
1000,10,7,34,sex,0.0872521425629964
1000,10,7,34,consumption,0.08502287384457297
1000,10,7,34,modality,0.037383030985340904
1000,10,7,34,placebo_rowparity,0.0014508848213273806
1000,10,17,34,sex,0.0856701008398707
1000,10,17,34,consumption,0.08246886039260659
1000,10,17,34,modality,0.023182421941133402
1000,10,17,34,placebo_rowparity,0.0008312240203275367
1200,8,7,42,sex,0.08485233417259908
1200,8,7,42,consumption,0.10114321166921936
1200,8,7,42,modality,0.0041088971143438124
1200,8,7,42,placebo_rowparity,-0.004703161353077578
1200,8,17,42,sex,0.08448359875430933
1200,8,17,42,consumption,0.09543636353756224
1200,8,17,42,modality,0.013361924325427932
1200,8,17,42,placebo_rowparity,-0.00011975441158629252
1200,10,7,32,sex,0.09305852723845442
1200,10,7,32,consumption,0.08575151554068272
1200,10,7,32,modality,0.02696679520291767
1200,10,7,32,placebo_rowparity,0.004155479722212196
1200,10,17,32,sex,0.09283878365386855
1200,10,17,32,consumption,0.08268008031965901
1200,10,17,32,modality,0.027927123137627574
1200,10,17,32,placebo_rowparity,0.00035446898452295983
2000,8,7,26,sex,0.09932327382985329
2000,8,7,26,consumption,0.11871587638986858
2000,8,7,26,modality,0.02203882747149688
2000,8,7,26,placebo_rowparity,0.004292730831913283
2000,8,17,26,sex,0.1043851635298344
2000,8,17,26,consumption,0.1061834765207117
2000,8,17,26,modality,0.023150939601178866
2000,8,17,26,placebo_rowparity,0.0025758277976430932
2000,10,7,22,sex,0.09393612944921703
2000,10,7,22,consumption,0.08756676030810473
2000,10,7,22,modality,0.028369450849405453
2000,10,7,22,placebo_rowparity,0.0011030291237346113
2000,10,17,22,sex,0.08762979097770629
2000,10,17,22,consumption,0.09684052715925073
2000,10,17,22,modality,0.07205284783209376
2000,10,17,22,placebo_rowparity,-0.0019239681832443623
