min_resp,min_opt,seed,n_blocks,split,deficit
600,8,3,48,sex,0.07844376805813003
600,8,3,48,modality,0.03275093130405016
600,8,3,48,placebo,-0.01031618180769589
600,8,13,48,sex,0.08246564997790262
600,8,13,48,modality,0.03505497659054002
600,8,13,48,placebo,-0.008224044667623942
600,8,23,48,sex,0.07907000824731958
600,8,23,48,modality,-0.00633106513434456
600,8,23,48,placebo,-0.009131573217633138
600,8,33,48,sex,0.08997588623493924
600,8,33,48,modality,-0.009577340745603902
600,8,33,48,placebo,-0.0030393311788404764
600,8,43,48,sex,0.08577995040002662
600,8,43,48,modality,0.026614769598780952
600,8,43,48,placebo,-0.0049972593904412665
600,10,3,37,sex,0.08786598436654458
600,10,3,37,modality,0.029619167206238806
600,10,3,37,placebo,3.0953661031341007e-05
600,10,13,37,sex,0.09006387272279315
600,10,13,37,modality,0.034680298941704324
600,10,13,37,placebo,-0.0016549786673347722
600,10,23,37,sex,0.08437459531847558
600,10,23,37,modality,0.03303204418719985
600,10,23,37,placebo,-0.0018439572749542332
600,10,33,37,sex,0.08605197746496562
600,10,33,37,modality,0.0012700568590121586
600,10,33,37,placebo,-9.31586905990045e-05
600,10,43,37,sex,0.08328574921465692
600,10,43,37,modality,-0.017092228392684206
600,10,43,37,placebo,-0.0027608335122285554
600,12,3,24,sex,0.06730936533792398
600,12,3,24,modality,0.03937508424194436
600,12,3,24,placebo,0.0032057191299303955
600,12,13,24,sex,0.07154963810643145
600,12,13,24,modality,0.007529407222859774
600,12,13,24,placebo,0.0027776121415570287
600,12,23,24,sex,0.071471393844185
600,12,23,24,modality,0.006455579998872807
600,12,23,24,placebo,0.0017417861089413789
600,12,33,24,sex,0.07409255481146027
600,12,33,24,modality,0.043956568072804236
600,12,33,24,placebo,-0.0002459905955363162
600,12,43,24,sex,0.08261308272909851
600,12,43,24,modality,0.028484844982934687
600,12,43,24,placebo,-0.0006372985302068868
1200,8,3,42,sex,0.08271173633570972
1200,8,3,42,modality,0.03527712436784747
1200,8,3,42,placebo,-0.010610869301239778
1200,8,13,42,sex,0.08676793621874346
1200,8,13,42,modality,0.011499669414896552
1200,8,13,42,placebo,-0.0029869868074740014
1200,8,23,42,sex,0.08992455863918203
1200,8,23,42,modality,0.02677927765046939
1200,8,23,42,placebo,-0.004989860446402816
1200,8,33,42,sex,0.09305996426492613
1200,8,33,42,modality,0.022266088180942112
1200,8,33,42,placebo,-0.001207688956159081
1200,8,43,42,sex,0.0814969372279084
1200,8,43,42,modality,-0.018312807752752236
1200,8,43,42,placebo,-0.006470227925012062
1200,10,3,32,sex,0.08219232004774502
1200,10,3,32,modality,0.027441572577450613
1200,10,3,32,placebo,-0.0017536791772122529
1200,10,13,32,sex,0.08448574313102863
1200,10,13,32,modality,0.018336956918856062
1200,10,13,32,placebo,0.0010130469567569689
1200,10,23,32,sex,0.08629821379846214
1200,10,23,32,modality,0.017939922563518507
1200,10,23,32,placebo,-0.0034393753676885686
1200,10,33,32,sex,0.09035132648125443
1200,10,33,32,modality,0.037962436009089884
1200,10,33,32,placebo,0.0004961332530603046
