v_entry,cls
21,①带区间/MDE
22,①带区间/MDE
24,②只有点估计
25,②只有点估计
26,②只有点估计
28,②只有点估计
29,①带区间/MDE
33,②只有点估计
34,②只有点估计
41,②只有点估计
44,①带区间/MDE
46,②只有点估计
48,②只有点估计
65,③仪器失败
74,②只有点估计
92,②只有点估计
93,②只有点估计
94,③仪器失败
102,①带区间/MDE
108,①带区间/MDE
110,①带区间/MDE
111,②只有点估计
112,②只有点估计
114,②只有点估计
119,①带区间/MDE
120,①带区间/MDE
122,①带区间/MDE
123,①带区间/MDE
124,①带区间/MDE
125,①带区间/MDE
131,①带区间/MDE
132,①带区间/MDE
133,②只有点估计
143,①带区间/MDE
144,②只有点估计
146,①带区间/MDE
154,②只有点估计
161,①带区间/MDE
165,①带区间/MDE
166,①带区间/MDE
168,①带区间/MDE
171,②只有点估计
172,②只有点估计
181,①带区间/MDE
183,①带区间/MDE
184,②只有点估计
187,②只有点估计
194,②只有点估计
195,②只有点估计
197,①带区间/MDE
204,③仪器失败
208,①带区间/MDE
211,②只有点估计
220,③仪器失败
222,③仪器失败
224,①带区间/MDE
226,①带区间/MDE
227,②只有点估计
228,①带区间/MDE
229,①带区间/MDE
232,①带区间/MDE
234,②只有点估计
237,②只有点估计
238,①带区间/MDE
239,①带区间/MDE
245,①带区间/MDE
247,①带区间/MDE
249,①带区间/MDE
250,①带区间/MDE
252,①带区间/MDE
253,②只有点估计
259,①带区间/MDE
285,③仪器失败
292,③仪器失败
294,①带区间/MDE
295,①带区间/MDE
296,③仪器失败
297,①带区间/MDE
298,①带区间/MDE
299,①带区间/MDE
300,③仪器失败
309,①带区间/MDE
310,①带区间/MDE
312,①带区间/MDE
313,①带区间/MDE
314,③仪器失败
315,①带区间/MDE
321,①带区间/MDE
