outcome,gap,cell_sd,over
written,0.07641058708354426,0.024935679924835707,False
"""I am ashamed or embarrassed about at least so",-0.021617985795990335,0.02279747796392321,False
"""Engaging with or fantasizing about what arous",-0.022496839093803567,0.02653962527051571,False
"""I can get aroused by a partner doing what I l",0.03155025316741026,0.02177992357981854,False
"""I've acted upon or experimented with all the ",-0.012367576069140573,0.021298383702669094,False
allrollidentity,0.05725901959035362,0.027430144099052,False
knowwhatarousesyou,0.018752030829046806,0.025008246941857232,False
highenergy,0.022512055377385154,0.025582437502259466,False
inducefetish,-0.02194272094975991,0.02779538431030128,False
"""If my partner is aroused by something, I can ",-0.056241997813081264,0.024743774703196816,False
"""I am aroused by being dominant in sexual inte",-0.08238874860786155,0.02540818934203636,True
"""I am aroused by being submissive in sexual in",0.05324323449748308,0.02250252796390067,False
age,-0.0019248407496624109,0.024422509587066807,False
openness,-0.028538047096351576,0.019269012153137016,False
conscientiousness,-0.009905399376515196,0.02315161533794747,False
extroversion,0.04990937473360091,0.022019559139767282,False
neuroticism,-0.0010887419036290577,0.023964805867901444,False
agreeableness,-0.0018974707554733627,0.02373293028466809,False
powerlessness,0.010590577330360132,0.02220506234791196,False
关系风格,-0.0011306814687253308,0.022959815591762404,False
0–14 岁被打屁股,-0.07128432380014503,0.026543598340624953,False
成长期性开放度,-0.010039116450359289,0.025923458228614527,False
