n_splits,seed,cca_max,cca_mean,null_max,null_mean
4,1,0.3183550648005765,0.13964520083897528,0.01729858145501776,0.008395035643317962
4,2,0.3059366375748489,0.14338860031295186,0.0257128159251234,0.010772119693895854
4,3,0.3322326383083447,0.15092638140901138,0.011868995573917483,0.0073210229548304395
4,4,0.33039789973870015,0.15258477349736865,0.016997633333692926,0.011190905143629592
6,1,0.3362408969745259,0.15563000461673873,0.011053363977743919,0.006102839237275222
6,2,0.32565975968832794,0.15301413787248536,0.017741439201507746,0.009183198372358209
6,3,0.3566485257464524,0.16690027917124395,0.01751895148185874,0.006453220620330763
6,4,0.3282295052117939,0.14789135990279886,0.014707969196139876,0.00724619416298977
8,1,0.3621255456720891,0.1559997635935533,0.016795810200212785,0.007362159682075056
8,2,0.32036663769141727,0.1513663998213035,0.023573259772866548,0.013783421948778771
8,3,0.3134584920634753,0.15040481358022376,0.01391171035674859,0.007513828772725533
8,4,0.3499756585148599,0.1461403485013945,0.02079695880974982,0.012073825073676896
12,1,0.3252868813303957,0.14853103943372428,0.01589926264155898,0.008365281534124483
12,2,0.3412250559230379,0.14554394622491937,0.017677019453921486,0.008518521145180015
12,3,0.31510025345996634,0.14390208804422092,0.015014461310715283,0.008633530850266573
12,4,0.3276566101791621,0.14904567599414864,0.02297548890428645,0.010201767828255718
16,1,0.32687463467242084,0.14800376009707572,0.02198727034147648,0.011963788929177254
16,2,0.36996719995146676,0.15754061229826472,0.01699502754986691,0.010073175885335479
16,3,0.31460522059118096,0.1396619514241449,0.015110007512207025,0.007447168768294513
16,4,0.3382748270098304,0.15434198309097874,0.020290050101427107,0.008955277278783971
24,1,0.3259415643764607,0.1499226676030083,0.018286238246846907,0.008714344974127802
24,2,0.33398649156130356,0.15085038309414933,0.015447388331184102,0.007887428768816868
24,3,0.34192221731305333,0.15756846465885968,0.019601963621591077,0.009269831809348351
24,4,0.3275775341978755,0.15194171743434115,0.017368099323512607,0.009173125855393933
