v_col,v_r,v_absr
"""I find dirtytalking erotic"" (947wne3)",0.08878220073054424,0.08878220073054424
normalsex,0.08356352994848941,0.08356352994848941
"""I find blowjobs:"" (yuc275j)",0.06661616681215318,0.06661616681215318
knowwhatarousesyou,-0.061615852845602996,0.061615852845602996
cunnilingus,0.06131313472074692,0.06131313472074692
"""I find cunnilingus:"" (jn2b355)",0.06081977161295262,0.06081977161295262
"""I can get aroused by a partner doing what I like, even if I know they",-0.03880281459258743,0.03880281459258743
"""I sometimes find people who have clearly reached sexual maturity, but",-0.0254668063453463,0.0254668063453463
opennessvariable,0.023018998414153623,0.023018998414153623
pornhabit,-0.02094717876704499,0.02094717876704499
biomale,-0.02044732236114691,0.02044732236114691
Totalfetish1,-0.0194836291010679,0.0194836291010679
neuroticismvariable,-0.01704352930889205,0.01704352930889205
"""If my partner is aroused by something, I can also be aroused by it, e",-0.013554967133474403,0.013554967133474403
powerlessnessvariable,-0.007391679575046347,0.007391679575046347
agreeablenessvariable,0.006759482634414942,0.006759482634414942
totalfetishcategory,0.006695238479884018,0.006695238479884018
consciensiousnessvariable,0.0019307427900316953,0.0019307427900316953
extroversionvariable,-0.0006769266720389925,0.0006769266720389925
"""I am ashamed or embarrassed about at least some of what arouses me"" (",1.826953658093064e-17,1.826953658093064e-17
