v_col,v_r,v_absr
"""I find dirtytalking erotic"" (947wne3)",-0.11874024574322745,0.11874024574322745
"""If my partner is aroused by something, I can also be aroused by it, e",0.10803000485217787,0.10803000485217787
"""I've acted upon or experimented with all the things that arouse me"" (",0.10027711556174007,0.10027711556174007
"""I find cunnilingus:"" (jn2b355)",-0.09308232182109484,0.09308232182109484
"""I can get aroused by a partner doing what I like, even if I know they",0.07610207730670547,0.07610207730670547
cunnilingus,-0.07417816645025302,0.07417816645025302
biomale,-0.06860088359165017,0.06860088359165017
"""I find blowjobs:"" (yuc275j)",-0.06111403623032793,0.06111403623032793
powerlessnessvariable,0.05536902622321253,0.05536902622321253
knowwhatarousesyou,0.04688687247490639,0.04688687247490639
extroversionvariable,0.04171260619641001,0.04171260619641001
normalsex,-0.04012253182378925,0.04012253182378925
opennessvariable,0.03132847527661071,0.03132847527661071
neuroticismvariable,0.025337913540384942,0.025337913540384942
pornhabit,0.022493068146895168,0.022493068146895168
"""I sometimes find people who have clearly reached sexual maturity, but",-0.022208733343353156,0.022208733343353156
Totalfetish1,0.017354273926557754,0.017354273926557754
totalfetishcategory,0.009358374059589504,0.009358374059589504
agreeablenessvariable,0.0022871485485395824,0.0022871485485395824
consciensiousnessvariable,0.0003197311564912206,0.0003197311564912206
"""I am ashamed or embarrassed about at least some of what arouses me"" (",-2.1653840988588265e-17,2.1653840988588265e-17
