v_out,v_b
animated,0.030680853535544752
written,-0.02919623183313544
"""I am ashamed or embarrassed about at least ",0.0903875115961249
"""Engaging with or fantasizing about what aro",0.05113704315886962
"""I can get aroused by a partner doing what I",0.042339838228848216
"""I've acted upon or experimented with all th",0.08397859608940447
"""I sometimes find people who have clearly re",0.0791776770807199
allrollidentity,0.05335659056411804
"""I find it erotic when two people of the opp",0.0723504373973317
knowwhatarousesyou,0.05540239094602099
highenergy,-0.07548923443179387
"""I find the thought of existing (in *nonsexu",0.07419004889444299
"""I find the thought of existing (in *nonsexu",0.08599965514918934
inducefetish,0.09634017820073049
"""I find the thought of masturbating alone as",-0.016867718461594232
"""I find the thought of masturbating alone as",0.046547990524023704
"""If my partner is aroused by something, I ca",0.019471500892199307
"""I am aroused by being dominant in sexual in",-0.0069320979430277695
"""I am aroused by being submissive in sexual ",0.010339444757507267
age,0.008410554429350478
openness,0.03214572601224293
conscientiousness,-0.05299636894822797
extroversion,0.0028577453457755775
neuroticism,-0.033235653224439776
agreeableness,-0.058415554569769546
powerlessness,0.007898773523484354
关系风格,0.07769477210623162
0–14 岁被打屁股,0.00943603574600686
成长期性开放度,-0.0036876543308950053
