v_cat,v_mu,v_lo,v_hi,v_n,v_rar
bodily-secretions? (i2kfd9),16.150810065494657,15.970811789038263,16.328869355394694,2901,1.675978048444958
specific body parts (not including standard ,14.376980014803848,14.278312361213915,14.474195040710585,6755,0.830750582172063
bondage? (tdxu7cp),16.918956201862283,16.824862053109555,17.00442723301529,8699,0.5778254770588214
clothing related sexual interests? (4kl54pc),14.699456588860071,14.61287977028529,14.786595343954552,8097,0.6495399308802479
eagerness related sexual interests? (twg3prj,16.200653370013754,16.12857204264099,16.278059448074277,11632,0.28727363279306156
exhibitionism or voyeurism? (xwggkkr),16.47902097902098,16.357009745573574,16.59597530129445,6721,0.8357966005963963
genderplay related sexual interests? (3yixh1,16.534224011713032,16.37261621522694,16.71827873352855,2732,1.7359996118756815
multiple partners or related scenarios? (hz2,16.74031633311814,16.6234344738541,16.853046320206584,6196,0.917129631029603
gentleness related sexual interests? (j6jn9r,16.051205852097382,15.964700251457309,16.144923705566352,8749,0.5720941454600976
incest? (9f6vg9x),14.986864053377815,14.815632819015846,15.177705379482902,2398,1.8663984969789025
nonconsent? (bx4o14o),16.523583180987202,16.40370429616088,16.650285648994515,5470,1.0417549371503354
power dynamics? (enrhyeb),16.809632765129848,16.70997597528887,16.893218739274683,8741,0.5730089539858743
mythical creatures? (xfj2rdq),15.365400053518865,15.235884399250736,15.507920792079208,3737,1.4227504030808782
your preferred object/objects? (3vnq7jt),15.739137483787289,15.5876864461738,15.886069228274968,3084,1.614806097883142
specific roles? (ce5t067),15.745881447267129,15.635975750577368,15.853529638183218,6495,0.8700009034616624
pregnancy related sexual interests? (c2yvk62,17.34481637959051,17.18258043548911,17.50427364315892,3077,1.6170784572443202
sensory related sexual interests? (yg5rwaa),17.299617657281892,17.119742787626,17.46863920750782,2877,1.6842854690148141
scenarios involving sex toys? (iob8ewb),16.66480882176675,16.576279515761716,16.75396739781853,8343,0.6196106896642877
transformation related sexual interests? (ju,15.817474048442907,15.5979815455594,16.044708765859287,1734,2.190602675225875
abnormal body/body part-related things? (si8,15.766725352112676,15.549266431924883,15.97000440140845,1704,2.208055125177101
age-related sexual interests? (489pmk6),15.045520405699106,14.891873943491909,15.22001931900507,4141,1.3200962490207948
brutality-related sexual interests? (5rsjhm2,15.602595797280593,15.300880716934486,15.922821384425216,809,2.9529899155078705
humiliation related sexual interests? (jebtk,16.495035046728972,16.351295998831777,16.641935601635513,3424,1.5102240953047295
mental alteration? (nesc17f),16.954142516195024,16.75814865325605,17.114128025912034,2933,1.6650077635889111
vore related sexual interests? (58x0gp5),15.7900390625,15.3818115234375,16.2561279296875,512,3.4104642075268545
bestiality/creatures-related sexual interest,15.60773899848255,15.361437784522003,15.82858497723824,1318,2.4649181175039097
sadomasochism? (zh8c32k),16.782184020316468,16.659728462590348,16.902104903301428,5119,1.108074446108779
creepy/horror related sexual interests? (y9c,16.33570300157978,15.928732227488151,16.690481832543444,633,3.198318410422186
dirtiness related sexual interests? (l7wbfjh,15.433002481389579,14.957351116625311,15.91426799007444,403,3.649852270619679
your appearance-based sexual interests? (6qq,13.976325757575758,13.896926086523127,14.055725428628389,10032,0.43525356969366025
At what age did you begin watching porn or r,14.066432807753507,13.999361709822075,14.135662881527557,13826,0.11448267606115183
