v_cat,v_dr,v_loo,v_nm,v_nf
bodily-secretions? (i2kfd9),3.0,0.80734149054505,1827,1074
specific body parts (not including stand,0.0,0.7850945494994438,3277,3478
bondage? (tdxu7cp),2.0,0.7944382647385985,4007,4692
clothing related sexual interests? (4kl5,-3.0,0.7948832035595106,5377,2720
eagerness related sexual interests? (twg,-6.0,0.8100111234705227,5910,5722
exhibitionism or voyeurism? (xwggkkr),-11.0,0.8282536151279198,3663,3058
genderplay related sexual interests? (3y,0.0,0.8015572858731924,1848,884
multiple partners or related scenarios? ,-9.0,0.8126807563959955,3313,2883
gentleness related sexual interests? (j6,-3.0,0.8104560622914349,4053,4696
incest? (9f6vg9x),-4.0,0.7988876529477197,1578,820
nonconsent? (bx4o14o),7.0,0.8157953281423804,2609,2861
power dynamics? (enrhyeb),3.0,0.7962180200222468,4143,4598
mythical creatures? (xfj2rdq),-3.0,0.7975528364849833,1803,1934
your preferred object/objects? (3vnq7jt),1.0,0.8051167964404894,1452,1632
specific roles? (ce5t067),-11.0,0.8273637374860956,4014,2481
pregnancy related sexual interests? (c2y,-1.0,0.785539488320356,1783,1294
sensory related sexual interests? (yg5rw,1.0,0.785539488320356,1401,1476
scenarios involving sex toys? (iob8ewb),1.0,0.8024471635150167,3930,4413
transformation related sexual interests?,-8.0,0.8202447163515018,1156,578
abnormal body/body part-related things? ,-2.0,0.8042269187986651,969,735
age-related sexual interests? (489pmk6),0.0,0.7957730812013347,2056,2085
brutality-related sexual interests? (5rs,13.0,0.8371523915461624,421,388
humiliation related sexual interests? (j,12.0,0.8313681868743048,1847,1577
mental alteration? (nesc17f),2.0,0.7944382647385985,1761,1172
vore related sexual interests? (58x0gp5),5.0,0.8077864293659621,306,206
bestiality/creatures-related sexual inte,6.0,0.8104560622914349,805,513
sadomasochism? (zh8c32k),-2.0,0.803781979977753,2207,2912
creepy/horror related sexual interests? ,1.0,0.8042269187986651,329,304
dirtiness related sexual interests? (l7w,6.0,0.8046718576195773,275,128
your appearance-based sexual interests? ,1.0,0.785539488320356,4776,5256
At what age did you begin watching porn ,-1.0,0.785539488320356,7281,6545
