v_col,v_absr,v_ra,v_rw,v_a3,v_same
biomale,0.21000019180393345,-0.0685832602698004,-0.2769304800759887,-0.1346614890154271,False
givepain,0.12545037007420706,-0.03222511045160901,-0.17142122786725064,0.04032099114913599,False
"""I am aroused by being dominant in sexual interactions"" (6w3xquw)",0.12136517428816135,-0.0669556985565688,-0.17140419422083952,-0.014547423262826499,False
"""I am aroused by being submissive in sexual interactions"" (xem7hbu)",0.11817126574584771,0.04370348195527478,0.1458317303841457,0.3241189813584656,False
"""I find scenarios where I eagerly beg others to be:"" (jvrbyep)",0.10818702339370265,0.05231686543957022,0.13132685301650063,0.3240948603170154,False
"""I've experienced a lot of sexual harrassment"" (3knd12d)",0.10084355862490692,0.030350836609028587,0.13730260337133424,0.31163591003260316,False
extroversionvariable,0.09949495921120168,-0.12430364047231075,-0.07040477313817409,0.026751340164011143,False
Totalhumiliation2,0.09292552289842926,0.026885815584430102,-0.03481563293925,0.17629369692997815,False
receivepain,0.08866621808717359,0.03977648534693409,0.12995645771210407,0.32495118515936966,False
"""I find cunnilingus:"" (jn2b355)",0.08853031872549948,0.12461572198357894,0.09167092828802838,0.33941584032648886,False
frustration,0.08804608167290703,0.02626690388167605,0.1282802869092752,0.3059372757524404,False
normalsex,0.08444254609483887,0.12339889535348694,0.06922084930252319,0.3247984763529599,False
exhibitionother,0.07751152287511105,-0.03437550051106932,-0.08121467747760447,0.1022548577079339,False
Totalfetish2,0.07493495721222974,0.21382135180928058,0.019006566808811434,0.34987978702805256,False
cunnilingus,0.07368703398131546,0.11637131212475349,0.07274123139434721,0.3226417296647544,False
powerlessnessvariable,0.07348219588773487,0.08848295033029649,0.05761107305479,0.2955287003880424,False
"""I sometimes find people who have clearly reached sexual maturity, but",0.07265806464472234,0.046669131735216605,-0.10942817105165775,0.14427874085540796,False
mythical,0.07156502964155727,0.17212073336632494,0.06098314078355099,0.2938994965496233,False
clothing,0.07102481007588805,-0.028875364463278402,-0.09678458564558948,0.06973556284427468,False
"""I find scenarios where others eagerly beg me to be:"" (stmm5eg)",0.06832922241164972,-0.06147129406452241,-0.09555162425929609,0.06938757575600171,False
agreeablenessvariable,0.06440082698877302,0.005583394454932195,0.0648031100743528,0.24465222600849437,False
fulltimepower,0.0629501948835009,-0.01761972617250779,-0.022332103236041186,0.16612685092876311,False
Totalfetish1,0.06287204183470362,0.06897863346389374,0.03450528119043621,0.2674133142484945,False
secretions,0.06245175004122842,-0.03817201056038782,-0.033630688523207754,0.15503332353029567,False
Totalprofession,0.06098976839236499,0.02945651951840787,-0.10415402060301611,0.13104030159498412,False
