v_out,r4,r16,v_drop,absdrop
animated,0.10879722698423934,0.1721789317071354,-0.06338170472289607,-0.06338170472289607
written,0.0005426193508227151,0.04484705166156267,-0.04430443231073996,-0.04430443231073996
"""I am ashamed or embarrassed about at ",0.1715329734547053,-0.002302466335604759,0.17383543979031008,0.16923050711910054
"""Engaging with or fantasizing about wh",0.09530619817585093,0.12608916087180272,-0.030782962695951793,-0.030782962695951793
"""I can get aroused by a partner doing ",0.0740507627068647,0.07333144720556466,0.0007193155013000413,0.0007193155013000413
"""I've acted upon or experimented with ",0.07952993790057042,0.13965708515810046,-0.060127147257530045,-0.060127147257530045
"""I sometimes find people who have clea",0.13146633488076834,0.24403722433857433,-0.112570889457806,-0.112570889457806
allrollidentity,0.08371450259413044,0.07582407516345605,0.00789042743067439,0.00789042743067439
"""I find it erotic when two people of t",0.1614445275163164,0.06745121519509673,0.09399331232121969,0.09399331232121969
knowwhatarousesyou,0.10084255042376677,0.0980936861526332,0.0027488642711335776,0.0027488642711335776
highenergy,-0.06416715769244329,-0.15307533027357842,0.08890817258113513,-0.08890817258113513
"""I find the thought of existing (in *n",0.0839823730068822,0.1037148908663162,-0.019732517859434,-0.019732517859434
"""I find the thought of existing (in *n",0.0712806634130676,0.14240868656902758,-0.07112802315595998,-0.07112802315595998
inducefetish,0.2020863313106319,0.1648670880564773,0.0372192432541546,0.0372192432541546
"""I find the thought of masturbating al",0.046277908087849776,0.02340508769777665,0.022872820390073125,0.022872820390073125
"""I find the thought of masturbating al",0.12071995696723174,0.08922251389339034,0.031497443073841405,0.031497443073841405
"""If my partner is aroused by something",0.08193003059113166,0.008304395611819627,0.07362563497931203,0.07362563497931203
"""I am aroused by being dominant in sex",0.03394284838625813,0.02178288327516385,0.012159965111094278,0.012159965111094278
"""I am aroused by being submissive in s",0.02934485868758541,-0.013292359686308292,0.0426372183738937,0.01605249900127712
age,0.03955766815743011,-0.038090351215384594,0.07764801937281471,0.0014673169420455143
openness,0.05300805602406066,0.07184835339567848,-0.01884029737161782,-0.01884029737161782
conscientiousness,-0.04432338213813026,0.004064764461431591,-0.04838814659956185,0.040258617676698666
extroversion,-0.011892405712678838,0.025527472685963948,-0.03741987839864279,-0.01363506697328511
neuroticism,-0.028401511618703603,-0.03893733482471304,0.010535823206009435,-0.010535823206009435
agreeableness,-0.04186925165168642,-0.03904915999421321,-0.0028200916574732116,0.0028200916574732116
powerlessness,0.022855346429155866,0.02553939224042417,-0.0026840458112683055,-0.0026840458112683055
关系风格,0.10931545696916892,0.05446432422580261,0.05485113274336631,0.05485113274336631
0–14 岁被打屁股,0.014398830470472208,0.04665668669061326,-0.032257856220141046,-0.032257856220141046
成长期性开放度,-0.003531629967030805,0.0008445395178921043,-0.004376169484922909,0.0026870904491387007
