q,K,seed,f,n,m,I,P,X
1,1,11,0.0,15250,16,0.24409060988196313,0.08426249542250942,-0.008425088069238565
1,2,11,0.0,15250,16,0.24317067164202175,0.08807972751200852,-0.028791281966489907
1,1,11,0.25,15250,16,0.2476128911269797,0.0810353982291861,-0.01962602630208393
1,2,11,0.25,15250,16,0.246294509275012,0.08502849343879666,-0.04746129153234738
1,1,11,0.5,15250,16,0.24039492010451965,0.08230196418892119,-0.02301355652336219
1,2,11,0.5,15250,16,0.23953405023550553,0.08728986161305805,-0.0644839411275336
1,1,11,1.0,15250,16,0.24247301379875008,0.0833631758938539,-0.031962725650154934
1,2,11,1.0,15250,16,0.24242720079206287,0.08869519947869742,-0.08463389674548247
1,1,11,5.0,15250,16,0.2467655927788974,0.08372333653018962,-0.0762942824254509
1,2,11,5.0,15250,16,0.24643617769330434,0.08926260356666732,-0.13425114332317567
1,1,29,0.0,15250,16,0.2414105264604975,0.08111027710409664,-0.005266684700400629
1,2,29,0.0,15250,16,0.240503879684682,0.08448904364328508,-0.02704785657343772
1,1,29,0.25,15250,16,0.23967944126450716,0.07831923107287062,-0.011436774811375523
1,2,29,0.25,15250,16,0.2390018352462201,0.08206340375824869,-0.0439019072767385
1,1,29,0.5,15250,16,0.23580708535998104,0.07997334527503808,-0.023495113071052117
1,2,29,0.5,15250,16,0.23581448655464665,0.08436312424381166,-0.060688792294769124
1,1,29,1.0,15250,16,0.2428714319070686,0.08231898251971215,-0.03337119818523249
1,2,29,1.0,15250,16,0.24085738455414446,0.08525165814877207,-0.08094688624652838
1,1,29,5.0,15250,16,0.2397893151380855,0.08444668316437937,-0.07141678651518135
1,2,29,5.0,15250,16,0.23945358891986412,0.09398450031206008,-0.1451610705082869
1,1,47,0.0,15250,16,0.24467992708853456,0.07533435130781768,-0.015415878312312448
1,2,47,0.0,15250,16,0.24362121266801676,0.07844030522701648,-0.03257652288144876
1,1,47,0.25,15250,16,0.24671325859553483,0.07498347098216432,-0.01960605440564452
1,2,47,0.25,15250,16,0.24575473839140483,0.07811597992298065,-0.042192703494887886
1,1,47,0.5,15250,16,0.2444611512729502,0.07677254363120817,-0.028279018611137297
1,2,47,0.5,15250,16,0.24335094903171678,0.08020492591948156,-0.05871742606350501
1,1,47,1.0,15250,16,0.2408263480444579,0.07923282797011195,-0.03773225922326992
1,2,47,1.0,15250,16,0.24063213828342278,0.08329133067417567,-0.07882763244215216
1,1,47,5.0,15250,16,0.23934344704353977,0.08275798165322201,-0.0687918796393881
1,2,47,5.0,15250,16,0.2391905247096851,0.0863351840585402,-0.14022999733106611
4,1,11,0.0,2897,14,0.26378593211455903,0.04604511124029409,0.038431431817218975
4,2,11,0.0,2897,14,0.25392027674895407,0.05346107789397735,0.007223659898894452
4,1,11,0.25,2897,14,0.26876618128811686,0.04548028928035254,0.025181773635951882
4,2,11,0.25,2897,14,0.2559739684711202,0.05297245555421065,-0.022871038346750472
4,1,11,0.5,2897,14,0.2573728568215262,0.04908547290355211,-0.01711210827546868
4,2,11,0.5,2897,14,0.2443519880908711,0.05550837740874109,-0.07834005461507249
4,1,11,1.0,2897,14,0.23954875649620613,0.04799634311874599,-0.02079422942497979
4,2,11,1.0,2897,14,0.23290471502901255,0.0519216149411333,-0.07368585315095985
4,1,11,5.0,2897,14,0.25275923485495544,0.04231936105791088,-0.09577541645995093
4,2,11,5.0,2897,14,0.23799906109668445,0.047032076113523794,-0.19454083142361359
4,1,29,0.0,2897,14,0.25584237395824433,0.039705978195879156,0.022196321718919644
4,2,29,0.0,2897,14,0.24545236143247012,0.04721778673878466,-0.013811971885681857
4,1,29,0.25,2897,14,0.26864455871835863,0.03844554809738119,0.005703776221481142
4,2,29,0.25,2897,14,0.25608336870349047,0.046305669460502,-0.04381950868431379
4,1,29,0.5,2897,14,0.2472755042602401,0.039021206709119474,0.00012578398897035914
4,2,29,0.5,2897,14,0.23413420206922803,0.04635950027966177,-0.05730833328452946
4,1,29,1.0,2897,14,0.26420708546410504,0.03385242439330195,-0.03579046109708892
4,2,29,1.0,2897,14,0.25115713231998216,0.04320148138606761,-0.12212127669845385
4,1,29,5.0,2897,14,0.260878175173275,0.0548654490207129,-0.09783437814026717
4,2,29,5.0,2897,14,0.2502242513106706,0.0567061121063749,-0.17916400262214097
4,1,47,0.0,2897,14,0.279682778266542,0.03205217351834484,0.03775667781335214
4,2,47,0.0,2897,14,0.27346257353467596,0.038379707232490526,-0.009042165993676946
4,1,47,0.25,2897,14,0.2776705134002337,0.03504475006258904,0.015443821363717785
4,2,47,0.25,2897,14,0.26780693202232525,0.04073144705201518,-0.04202621357635718
4,1,47,0.5,2897,14,0.28548578324331453,0.024854480025131444,0.008471385688587055
4,2,47,0.5,2897,14,0.2776394612611652,0.030166836382343982,-0.04881135213665009
4,1,47,1.0,2897,14,0.2751495398985184,0.03838861786284038,-0.038971698516302646
4,2,47,1.0,2897,14,0.270704642419741,0.046004033006097456,-0.09980713816609797
4,1,47,5.0,2897,14,0.26798230245765264,0.04864368048661875,-0.10734216199387664
4,2,47,5.0,2897,14,0.255440319753324,0.0576654328465382,-0.1883471149580386
7,1,11,0.0,1289,10,0.09827172675381887,0.10929159202528058,0.0778850098154065
7,2,11,0.0,1289,10,0.09506433661716109,0.11688786452662714,0.062892006159274
7,1,11,0.25,1289,10,0.09774416441723646,0.10345874598679625,0.05658596890650323
7,2,11,0.25,1289,10,0.09375703161654489,0.1161554148652543,-0.037078026190640836
7,1,11,0.5,1289,10,0.09880393790450229,0.12943523987998287,0.008610771030635827
7,2,11,0.5,1289,10,0.09681849928657661,0.13837649947493086,-0.06773674189307996
7,1,11,1.0,1289,10,0.10228896145779248,0.10554100037575777,-0.02459784436306132
7,2,11,1.0,1289,10,0.10262116347787326,0.11815380231536243,-0.13041647743253465
7,1,11,5.0,1289,10,0.10420727602824986,0.08916651670864073,-0.11966680199046074
7,2,11,5.0,1289,10,0.10249298923443804,0.09978863263810567,-0.20838020203143415
7,1,29,0.0,1289,10,0.08448376862023951,0.12165852252901418,0.07522376388887811
7,2,29,0.0,1289,10,0.08213209871655143,0.12970110307434524,0.05462707594373807
7,1,29,0.25,1289,10,0.0873919580351979,0.11667158079355795,0.03585517085848751
7,2,29,0.25,1289,10,0.0872757866479464,0.12426163137379583,0.010897298910061266
7,1,29,0.5,1289,10,0.08596588447098116,0.09974135719385038,0.019190775199470968
7,2,29,0.5,1289,10,0.08431956600426278,0.11210599565870688,-0.05361822649081807
7,1,29,1.0,1289,10,0.08143816229857359,0.12401146164945881,-0.021103210665994243
7,2,29,1.0,1289,10,0.07921696334391787,0.1320689400129446,-0.07107414431349157
7,1,29,5.0,1289,10,0.09247658029078872,0.0915773286158338,-0.1038736321811756
7,2,29,5.0,1289,10,0.09512056145763624,0.10526208981386248,-0.20824582171403055
7,1,47,0.0,1289,10,0.08637573501961594,0.1249553850145725,0.08769436542469951
7,2,47,0.0,1289,10,0.08567590759264743,0.13033374094205868,0.03662340684819182
7,1,47,0.25,1289,10,0.08383109924541571,0.12693425323333302,0.03753069741633863
7,2,47,0.25,1289,10,0.0862607014136754,0.12964022548907364,-0.02030661721495804
7,1,47,0.5,1289,10,0.08524476890319907,0.11526082747404301,-0.00016104767689597167
7,2,47,0.5,1289,10,0.08388043453880858,0.12353640584201078,-0.09847339994554133
7,1,47,1.0,1289,10,0.10034431297462602,0.06815693524342326,-0.04047202553135326
7,2,47,1.0,1289,10,0.0988587883713143,0.0802420612178202,-0.13195349946206508
7,1,47,5.0,1289,10,0.07911203630343219,0.1031360336719376,-0.08582770767907134
7,2,47,5.0,1289,10,0.07523382030330676,0.12328646029284351,-0.15089153550154583
8,1,11,0.0,1468,10,0.1291210521796426,0.09833814055127943,-0.052236438978091104
8,2,11,0.0,1468,10,0.12866472585937366,0.11011929500897812,-0.08776227110674448
8,1,11,0.25,1468,10,0.13040058700266335,0.09351232834113976,-0.06613447350847362
