q,K,seed,world,n,m,I,P,X
1,1,11,real,15250,16,0.24409060988196313,0.08426249542250942,-0.008425088069238565
1,1,11,g0,15250,16,0.055200379757455856,0.017129916921904426,-0.039321130991375554
1,1,11,g1,15250,16,0.1288732303919296,0.030320994490970754,0.20669992449160102
1,1,29,real,15250,16,0.2414105264604975,0.08111027710409664,-0.005266684700400629
1,1,29,g0,15250,16,0.053577278182978874,0.015268038525690548,-0.0380422110540136
1,1,29,g1,15250,16,0.1526165247078977,0.053556072711580395,0.09279343807727972
1,1,47,real,15250,16,0.24467992708853456,0.07533435130781768,-0.015415878312312448
1,1,47,g0,15250,16,0.06010173773223132,0.013844182387357962,-0.031780826599358825
1,1,47,g1,15250,16,0.1573398277488238,0.062040549466245966,0.07102090209702058
1,2,11,real,15250,16,0.24317067164202175,0.08807972751200852,-0.028791281966489907
1,2,11,g0,15250,16,0.04495238757327748,0.02632566159352086,-0.07310332806480765
1,2,11,g1,15250,16,0.12866451781900737,0.032402576559077745,0.1483208473285767
1,2,29,real,15250,16,0.240503879684682,0.08448904364328508,-0.02704785657343772
1,2,29,g0,15250,16,0.043425471144844276,0.022389148549241157,-0.06825150844939244
1,2,29,g1,15250,16,0.15382009833536572,0.05551726771950208,0.026575747277953456
1,2,47,real,15250,16,0.24362121266801676,0.07844030522701648,-0.03257652288144876
1,2,47,g0,15250,16,0.04994150750648624,0.021005205814923378,-0.0680025035014527
1,2,47,g1,15250,16,0.15633361962151973,0.06732330171801224,0.0011939630727871666
4,1,11,real,2897,14,0.26378593211455903,0.04604511124029409,0.038431431817218975
4,1,11,g0,2897,14,0.08609182933617206,0.03773599729093348,-0.010773302922979492
4,1,11,g1,2897,14,0.14844597986820807,0.02961577489798785,0.06457702139522443
4,1,29,real,2897,14,0.25584237395824433,0.039705978195879156,0.022196321718919644
4,1,29,g0,2897,14,0.06133783847504617,0.0534406533530984,-0.01622210057387461
4,1,29,g1,2897,14,0.15530187651494082,0.012156368509839253,0.08218982193840513
4,1,47,real,2897,14,0.279682778266542,0.03205217351834484,0.03775667781335214
4,1,47,g0,2897,14,0.08002900245231623,0.049167100603279425,-0.0174885353759265
4,1,47,g1,2897,14,0.14771050512228495,-0.02098382017817113,0.2107961964956277
4,2,11,real,2897,14,0.25392027674895407,0.05346107789397735,0.007223659898894452
4,2,11,g0,2897,14,0.07100757907881114,0.0389004146515602,-0.006481729441068319
4,2,11,g1,2897,14,0.14194705657259343,0.03973069677261244,-0.013057438105760582
4,2,29,real,2897,14,0.24545236143247012,0.04721778673878466,-0.013811971885681857
4,2,29,g0,2897,14,0.048415579018780394,0.05537291206058479,-0.022959388604552954
4,2,29,g1,2897,14,0.15099590360014226,0.016527624878091635,0.0039526208215397065
4,2,47,real,2897,14,0.27346257353467596,0.038379707232490526,-0.009042165993676946
4,2,47,g0,2897,14,0.06044819008504637,0.05246446357008927,-0.011283022199882364
4,2,47,g1,2897,14,0.14632473129806192,-0.020316325094758243,0.15282671055616479
7,1,11,real,1289,10,0.09827172675381887,0.10929159202528058,0.0778850098154065
7,1,11,g0,1289,10,0.05282849757830165,-0.06699344825307058,-0.0626440363405199
7,1,11,g1,1289,10,0.07311535691713722,0.08152857658635332,0.09191663817360934
7,1,29,real,1289,10,0.08448376862023951,0.12165852252901418,0.07522376388887811
7,1,29,g0,1289,10,0.059437855540122736,-0.12301044588627669,-0.06862536464205489
7,1,29,g1,1289,10,0.05570882215644362,0.07209102389758887,0.07011297553684426
7,1,47,real,1289,10,0.08637573501961594,0.1249553850145725,0.08769436542469951
7,1,47,g0,1289,10,0.06344896348694626,-0.07494220318783279,-0.035669106495829564
7,1,47,g1,1289,10,0.055682470177747405,0.10560854844469153,0.0332743629863847
7,2,11,real,1289,10,0.09506433661716109,0.11688786452662714,0.062892006159274
7,2,11,g0,1289,10,0.04601889719579866,-0.048386412820691393,-0.08959889361992684
7,2,11,g1,1289,10,0.07392280103552323,0.09439382213064838,-0.009676772271421663
