v_name,v_d,v_t,v_idgap
S 位置,0.012082329969667497,0.20033537742548235,0.0
D 块间对比,0.06950789773679704,1.1557855639061956,2.7755575615628914e-17
c1,0.019062224437710093,0.3156423835413219,8.673617379884035e-19
c2,-0.000590236046481739,-0.009752982781353309,1.734723475976807e-18
c3⁻,-0.04237140143162035,-0.7020214370183612,0.0
清晰度,0.015933632583353678,0.267063453242385,0.0
五题(常规不色),0.031084600864143195,0.5167132287620514,0.0
EARLY 平均起始,-0.1300045470822308,-2.15242689633503,0.0
_thr,,2.726086030151275,
_sizes,,,
