col,n,nuniq,vmin,vmax,vals,mode
biomale,15503,2,0.0,1.0,"[np.float64(0.0), np.float64(1.0)]",1.0
violentporn,14188,5,0.0,4.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0)]",1.0
inducefetish,13747,4,0.0,3.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0)]",2.0
"""I find age-related things (beyond ""normal"" stuff like being attracted to people",4223,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",3.0
secretions,3163,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",3.0
lightbondage,8702,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",4.0
mediumbondage,8701,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",4.0
extremebondage,8701,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
clothing,8258,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",4.0
eagerness,11759,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",4.0
worshipped,11633,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",4.0
worshipping,11633,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",3.0
teasing,11633,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",5.0
frustration,11633,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
exhibitionself,6723,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",3.0
exhibitionother,6723,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",4.0
voyeurself,6723,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
voyeurother,6723,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
genderplay,2828,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",3.0
futa,2732,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",5.0
multiplepartners,6264,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",4.0
gentleness,8837,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",4.0
nonconsent,5603,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",4.0
incest,2424,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",3.0
mentalalteration,3022,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",3.0
powerdynamic,8799,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",4.0
"""I find primal play to be:"" (9rncgqc)",8742,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",4.0
obedience,8743,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",4.0
mindbreak,8743,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
masterslave,8743,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
mythical,3808,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",3.0
fulltimepower,8743,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
objects,3229,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",3.0
roles,6739,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",4.0
pregnancy,3125,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",5.0
sensory,3206,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",3.0
toys,8408,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",4.0
transform,1864,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",3.0
abnormalbody,2359,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
genderswapped,1702,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
agegap,4141,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",4.0
older,4141,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
progression,4140,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
regression,4140,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
cgl,4140,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
brutality,849,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",4.0
gratification,810,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
badends,810,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
humiliation,3548,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",5.0
vore,606,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",3.0
bestiality,1519,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",3.0
penetration,1318,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
penetration2,1317,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
oralsexanimal,1316,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
oralsexanimal2,1315,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
sadomasochism,5217,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",4.0
receivepain,5120,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",4.0
givepain,5120,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
spanking,5120,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",5.0
"""I find psychological pain/torture to be:"" (9hy7wy3)",5120,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
"""Scenarios where pain is given to genitals are arousing to me"" (bobe874)",5119,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
creepy,687,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",3.0
dirty,487,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",3.0
"""I find {bodypartsmost}:"" (xw7vr7a)",5492,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",5.0
"""I find anal sex (with a penis or penile toy):"" (jhvha2f)",15500,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
"""I find scenarios where I eagerly beg others to be:"" (jvrbyep)",11632,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",0.0
"""I find scenarios where others eagerly beg me to be:"" (stmm5eg)",11632,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",5.0
appearance,10210,6,0.0,5.0,"[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)]",3.0
