q,mode,arm,seed,C
1,none,real,11,0.02759698573789582
1,none,perm,11,-0.00011221516626713779
1,none,real,29,0.02763934090054676
1,none,perm,29,-0.00031844714700457466
1,none,real,47,0.02434867466944579
1,none,perm,47,-0.0003767608564314573
1,gate,real,11,0.013678045582823817
1,gate,perm,11,-0.0001292720608540021
1,gate,real,29,0.014662094730777064
1,gate,perm,29,-0.00026681967304109655
1,gate,real,47,0.012112973386881665
1,gate,perm,47,-0.0005438389376482
1,demo,real,11,0.02153156350850627
1,demo,perm,11,-8.35755282918571e-05
1,demo,real,29,0.021890889120688817
1,demo,perm,29,-0.00035647640118463553
1,demo,real,47,0.01896494304943719
1,demo,perm,47,-0.00045704946266844626
1,both,real,11,0.011562564196993641
1,both,perm,11,-7.505570756372038e-05
1,both,real,29,0.012387536571670132
1,both,perm,29,-0.00027302165229459163
1,both,real,47,0.010433509857905254
1,both,perm,47,-0.0005982026737626489
4,none,real,11,0.0761536039166687
4,none,perm,11,-0.0020400203380056547
4,none,real,29,0.06725981425049377
4,none,perm,29,-0.0021497579199597494
4,none,real,47,0.08035500131737883
4,none,perm,47,-0.0007801240127907061
4,gate,real,11,0.011796949501668652
4,gate,perm,11,-0.002044101297543399
4,gate,real,29,0.008729314288364431
4,gate,perm,29,-0.002210614003386291
4,gate,real,47,0.008824866456341618
4,gate,perm,47,-0.001008927349816724
4,demo,real,11,0.06751577187150959
4,demo,perm,11,-0.002238633751037722
4,demo,real,29,0.05857829187249397
4,demo,perm,29,-0.0017996710892658196
4,demo,real,47,0.07086832890678485
4,demo,perm,47,-0.0006398890780660027
4,both,real,11,0.010532862536677623
4,both,perm,11,-0.002129871459647603
4,both,real,29,0.00794183302667395
4,both,perm,29,-0.002093070619923032
4,both,real,47,0.007302037846189768
4,both,perm,47,-0.0010131605499134055
7,none,real,11,0.10495155909109055
7,none,perm,11,-0.006045462083761888
7,none,real,29,0.08393704328732488
7,none,perm,29,-0.0067330189910977944
7,none,real,47,0.09804823052694955
7,none,perm,47,-0.008894886991351103
7,gate,real,11,0.06724180015386405
7,gate,perm,11,-0.0018876204236047966
7,gate,real,29,0.06420006815689638
7,gate,perm,29,-0.0073924702647720775
7,gate,real,47,0.07190039852756258
7,gate,perm,47,-0.008826487831004926
7,demo,real,11,0.0728546337647128
7,demo,perm,11,-0.006082529218968791
7,demo,real,29,0.057673422793259155
7,demo,perm,29,-0.005074686626188707
7,demo,real,47,0.07121810811322937
7,demo,perm,47,-0.0088009547182486
7,both,real,11,0.0514853640058639
7,both,perm,11,-0.0020546209481978606
7,both,real,29,0.047346927728384
7,both,perm,29,-0.0058827334542209675
7,both,real,47,0.05685670218885186
7,both,perm,47,-0.008372948762856658
8,none,real,11,0.02169393406392439
8,none,perm,11,-0.004729681687375753
8,none,real,29,0.019078538276487866
8,none,perm,29,-0.003360810863080377
8,none,real,47,0.03141582302786494
8,none,perm,47,-0.007122304523724532
8,gate,real,11,0.010905076569621808
8,gate,perm,11,-0.0045506283902824185
8,gate,real,29,0.007629722585460352
8,gate,perm,29,-0.0023454712043329273
8,gate,real,47,0.02041419191201388
8,gate,perm,47,-0.006474278715152826
8,demo,real,11,0.01888392541647599
8,demo,perm,11,-0.004691386588504098
8,demo,real,29,0.01442344013150576
8,demo,perm,29,-0.00249999632201392
8,demo,real,47,0.026637818694996707
8,demo,perm,47,-0.006328130492457507
8,both,real,11,0.010124076872823906
8,both,perm,11,-0.0045415005628201
8,both,real,29,0.005351989021082915
8,both,perm,29,-0.0017283252659467951
8,both,real,47,0.018313720868596173
8,both,perm,47,-0.00641133804378291
13,none,real,11,0.01687297792002107
13,none,perm,11,-0.0007546485927252267
13,none,real,29,0.01779338299392419
13,none,perm,29,-0.0004963847454948489
13,none,real,47,0.017746970267662143
13,none,perm,47,-0.0005622604388074715
13,gate,real,11,0.007730758073186905
13,gate,perm,11,-0.0006979971974903076
13,gate,real,29,0.007854455891749712
13,gate,perm,29,-0.0005360470943102102
13,gate,real,47,0.007671696697396868
13,gate,perm,47,-0.0007385651617178857
13,demo,real,11,0.014220444216752726
13,demo,perm,11,-0.0006425225803861068
13,demo,real,29,0.015276173495657464
13,demo,perm,29,-0.0005008473011541836
13,demo,real,47,0.015862416139525104
13,demo,perm,47,-0.0006272351359325468
13,both,real,11,0.006486455460257279
13,both,perm,11,-0.0006175827003850332
13,both,real,29,0.006949291664055335
13,both,perm,29,-0.0004849575110725812
13,both,real,47,0.006929037536095639
13,both,perm,47,-0.0007160274363902097
17,none,real,11,0.032361702985122864
17,none,perm,11,-0.007325970699309847
17,none,real,29,0.026667604279131174
17,none,perm,29,-0.006124565306995011
17,none,real,47,0.028000581947163594
17,none,perm,47,-0.0027630110869691915
17,gate,real,11,0.019461244427082747
17,gate,perm,11,-0.010544385647862642
17,gate,real,29,0.01656677593733813
17,gate,perm,29,-0.004491684087287617
17,gate,real,47,0.01882690883193905
17,gate,perm,47,-0.0033914543605076952
17,demo,real,11,0.021049738303336563
17,demo,perm,11,-0.006225622985558621
17,demo,real,29,0.015642814578456732
17,demo,perm,29,-0.006184514860484325
17,demo,real,47,0.02186207432476195
17,demo,perm,47,-0.001819858674836361
17,both,real,11,0.013526916052505888
17,both,perm,11,-0.00944857633428653
17,both,real,29,0.009105492581502617
