q,Kw,seed,arm,n,m,full,I,P,C,W
1,0,11,real,15250,16,0.3489388315660421,0.24508114237216402,0.08203845420314104,0.021819234990737013,0.0
1,0,11,perm,15250,16,0.3271406977539144,0.24618645390314112,0.08086354905870755,9.06947920657301e-05,0.0
1,0,29,real,15250,16,0.34268187262380534,0.2427944854179238,0.07826598263705538,0.021621404568826125,0.0
1,0,29,perm,15250,16,0.32103868339120867,0.2434624563746779,0.07727649293759739,0.0002997340789333373,0.0
1,0,47,real,15250,16,0.3364466892505674,0.24538627052315345,0.07350237037703763,0.01755804835037631,0.0
1,0,47,perm,15250,16,0.31790700321757226,0.2460209989382777,0.07208891869769354,-0.00020291441839899912,0.0
1,1,11,real,15250,16,0.3336465786405378,0.24307882836807476,0.08562570276447884,0.017593185283979886,-0.012651137775995691
1,1,11,perm,15250,16,0.319882950169452,0.2439392709214706,0.08427311616855801,9.317297036381955e-05,-0.008422609890940477
1,1,29,real,15250,16,0.33154525054412176,0.24097570034988164,0.08230332099718607,0.017577159233140394,-0.009310930036086362
1,1,29,perm,15250,16,0.3174934992528011,0.24138371713145418,0.0811048673514284,0.000285666774626242,-0.005280752004707725
1,1,47,real,15250,16,0.31562642333070523,0.24445175161534902,0.07694441756159799,0.013602090408223485,-0.019371836254465275
1,1,47,perm,15250,16,0.3044811796804181,0.2447448626001552,0.0753642657349289,-0.00020749238037628037,-0.01542045627428973
4,0,11,real,2897,14,0.3762505281545817,0.2724635922609082,0.04221243380033617,0.061574502093337306,0.0
4,0,11,perm,2897,14,0.3090210702702286,0.2696202165307687,0.03983701382075936,-0.0004361600812994489,0.0
4,0,29,real,2897,14,0.35257787325341783,0.2583384633136409,0.034333674156352,0.059905735783424875,0.0
4,0,29,perm,2897,14,0.29534597307444177,0.2637403578915648,0.03240032799668531,-0.0007947128138083662,0.0
4,0,47,real,2897,14,0.3800167649101225,0.2861691062222358,0.02880164377969833,0.06504601490818832,0.0
4,0,47,perm,2897,14,0.31314609501919444,0.28893934664861176,0.025062002411544677,-0.0008552540409620206,0.0
4,1,11,real,2897,14,0.3898804213545931,0.26474138743038145,0.048230035950127,0.0500260341251015,0.026882963848983168
4,1,11,perm,2897,14,0.3472299881385964,0.2635885318256766,0.04586616673042811,-0.0005461511580133749,0.038321440740505044
4,1,29,real,2897,14,0.35655313860632043,0.2503730727881991,0.042005838151468786,0.050941820865578906,0.013232406801073673
4,1,29,perm,2897,14,0.3164276794940879,0.2551502554934206,0.03989378689792525,-0.0008036987149929637,0.02218733581773505
4,1,47,real,2897,14,0.39550987654961856,0.2767190167071384,0.03503657009445796,0.055521813421429186,0.02823247632659301
4,1,47,perm,2897,14,0.3484292847898012,0.2794907021168457,0.031962821825036715,-0.0008180855031977112,0.03779384635111645
