q,Kc,Kw,seed,arm,n,m,full,df_C,df_W,I,P,C,W
1,1,0,11,perm,15250,16,0.32719098385167855,16,0,0.24613291588352543,0.08086012740824869,0.00019794055990438964,0.0
1,1,0,29,perm,15250,16,0.3208946791514301,16,0,0.24348026649126162,0.07728939049092676,0.0001250221692416694,0.0
1,1,0,11,real,15250,16,0.33668620708858754,16,0,0.24579212164019626,0.08170456072605345,0.009189524722337786,0.0
1,1,0,29,real,15250,16,0.33026817538638364,16,0,0.24340570572837544,0.07793504786818643,0.008927421789821697,0.0
1,1,1,11,real,15250,16,0.3270167836123872,16,15266,0.2436679985144724,0.08510942547371708,0.007925944255589568,-0.009686584631391918
1,1,1,29,real,15250,16,0.32465953853846197,16,15266,0.24140954215660906,0.08184404882913651,0.0077986790813342555,-0.006392731528617903
1,1,2,11,real,15250,16,0.3064818545514604,16,30532,0.24254930424241958,0.0886218988114493,0.0065382265966066055,-0.031227575099015165
1,1,2,29,real,15250,16,0.3027554422893819,16,30532,0.2403237752019796,0.0849069622061325,0.006678467972619727,-0.029153763091349965
1,1,4,11,real,15250,16,0.2446511609109897,16,61064,0.24048724703625243,0.09605860175568526,0.00601996794178558,-0.09791465582273359
1,1,4,29,real,15250,16,0.23703645416429786,16,61064,0.23853947065466205,0.09287457535900812,0.006373640950745412,-0.10075123280011775
1,2,0,11,perm,15250,16,0.3271346968333637,32,0,0.24614505500172698,0.0808554692604922,0.00013417257114450856,0.0
1,2,0,29,perm,15250,16,0.3209604944014769,32,0,0.24347546467203474,0.07729600151395911,0.0001890282154830188,0.0
1,2,0,11,real,15250,16,0.33980766896292824,32,0,0.24560587926321553,0.0819104764680181,0.01229131323169456,0.0
1,2,0,29,real,15250,16,0.33290841991626174,32,0,0.24339066136746967,0.07799226148063022,0.011525497068161823,0.0
1,2,1,11,real,15250,16,0.3302777220393406,32,15266,0.24351598459400253,0.08536173626839363,0.011057159286641322,-0.009657158109696935
1,2,1,29,real,15250,16,0.3274677482491478,32,15266,0.24148895101820372,0.081897738774138,0.010435272172549175,-0.006354213715743111
1,2,2,11,real,15250,16,0.31001169509098636,32,30532,0.24245478361411385,0.08895775770864855,0.009733371986601217,-0.03113421821837733
1,2,2,29,real,15250,16,0.30575260394307413,32,30532,0.24037822427446254,0.08496586516223237,0.009419410424344521,-0.029010895917965296
1,2,4,11,real,15250,16,0.2471871371601495,32,61064,0.2404933358137111,0.09622826620701368,0.008750973706650317,-0.09828543856722563
1,2,4,29,real,15250,16,0.2388021913437045,32,61064,0.23873472848053226,0.09289514982578959,0.008447631033292963,-0.10127531799591033
1,4,0,11,perm,15250,16,0.3271406977539144,64,0,0.24618645390314112,0.08086354905870755,9.06947920657301e-05,0.0
1,4,0,29,perm,15250,16,0.32103868339120867,64,0,0.2434624563746779,0.07727649293759739,0.0002997340789333373,0.0
1,4,0,11,real,15250,16,0.3489388315660421,64,0,0.24508114237216402,0.08203845420314104,0.021819234990737013,0.0
1,4,0,29,real,15250,16,0.34268187262380534,64,0,0.2427944854179238,0.07826598263705538,0.021621404568826125,0.0
1,4,1,11,real,15250,16,0.33364828758273857,64,15266,0.24307809449979617,0.08562578760062906,0.017593322318847006,-0.012648916836533703
1,4,1,29,real,15250,16,0.33154648675113174,64,15266,0.2409761984112536,0.08230493927612714,0.017575371226353793,-0.009310022162602793
1,4,2,11,real,15250,16,0.31392123452152176,64,30532,0.24195334480814892,0.08934732264107616,0.01650803951815883,-0.03388747244586216
1,4,2,29,real,15250,16,0.3104337474837243,64,30532,0.2399198730261762,0.08537687225373788,0.016831608023392175,-0.031694605819581945
1,4,4,11,real,15250,16,0.24990458848427166,64,61064,0.23996836564459426,0.09679460291058223,0.014852976981006781,-0.10171135705191162
