world,q,Kc,seed,arm,C
real,1,1,11,real,0.009504537386031742
real,1,1,11,perm,9.314149122752191e-06
real,1,1,29,real,0.009470734074755294
real,1,1,29,perm,9.723783980175593e-05
real,1,2,11,real,0.012625999260372445
real,1,2,11,perm,-4.697286919208565e-05
real,1,2,29,real,0.012110978604633393
real,1,2,29,perm,0.0001630530898485416
real,1,3,11,real,0.01772500700284274
real,1,3,11,perm,-7.915515362055814e-06
real,1,3,29,real,0.01741024616593645
real,1,3,29,perm,0.0002210042338901541
real,1,5,11,real,0.02294526662961016
real,1,5,11,perm,-0.00010670980748517245
real,1,5,29,real,0.02280364611440544
real,1,5,29,perm,1.5924859317117956e-05
real,1,8,11,real,0.02759698573789582
real,1,8,11,perm,-0.00039214874497972563
real,1,8,29,real,0.02763934090054676
real,1,8,29,perm,-0.00019593913129423157
real,1,12,11,real,0.03114236007977156
real,1,12,11,perm,-0.0007391789778047331
real,1,12,29,real,0.030870246713988747
real,1,12,29,perm,-0.0004339784910922795
real,1,16,11,real,0.035741401308961085
real,1,16,11,perm,-0.001020726726028487
real,1,16,29,real,0.035703950066629186
real,1,16,29,perm,-0.0006531153803832623
real,1,24,11,real,0.03909361936008504
real,1,24,11,perm,-0.0013507695167093159
real,1,24,29,real,0.038819564157206776
real,1,24,29,perm,-0.0010454333240037528
real,1,32,11,real,0.04217541411023107
real,1,32,11,perm,-0.0017147386356316519
real,1,32,29,real,0.041432237017394624
real,1,32,29,perm,-0.0014211437572853036
real,4,1,11,real,0.024792387764444257
real,4,1,11,perm,-0.00014872761611162133
real,4,1,29,real,0.02025453755165707
real,4,1,29,perm,0.00018087194615235003
real,4,2,11,real,0.031186678003579216
real,4,2,11,perm,-0.0004777802474745796
real,4,2,29,real,0.02638618043314933
real,4,2,29,perm,-0.0006431906776815932
real,4,3,11,real,0.04911229752058377
real,4,3,11,perm,-0.0009917352077134511
real,4,3,29,real,0.04087192193645739
real,4,3,29,perm,-0.0008353866044390479
real,4,5,11,real,0.06940912285697576
real,4,5,11,perm,-0.0007939486947384777
real,4,5,29,real,0.058362164346560275
real,4,5,29,perm,-0.0019308884897396572
real,4,8,11,real,0.0761536039166687
real,4,8,11,perm,-0.0021105741886722207
real,4,8,29,real,0.06725981425049377
real,4,8,29,perm,-0.0027283755374313268
real,4,12,11,real,0.08499778130370772
real,4,12,11,perm,-0.003910744076779049
real,4,12,29,real,0.07170340578834533
real,4,12,29,perm,-0.00286361219331277
real,4,16,11,real,0.08970085471145306
real,4,16,11,perm,-0.004172629794678695
real,4,16,29,real,0.07894286958918295
real,4,16,29,perm,-0.003093371202938844
real,4,24,11,real,0.09856231156398887
real,4,24,11,perm,-0.005992649021265173
real,4,24,29,real,0.08629661643494613
real,4,24,29,perm,-0.002429946194241861
real,4,32,11,real,0.10032670629046281
real,4,32,11,perm,-0.007371251189377648
real,4,32,29,real,0.08843823898484726
real,4,32,29,perm,-0.001786930391002306
real,7,1,11,real,0.053129045820782594
real,7,1,11,perm,0.0005399768467009292
real,7,1,29,real,0.03010443464784629
real,7,1,29,perm,0.0023363157359398423
real,7,2,11,real,0.07790657596231154
real,7,2,11,perm,0.0016814559575868415
real,7,2,29,real,0.05938111434506943
real,7,2,29,perm,0.0016926376456690706
real,7,3,11,real,0.07894402560133662
real,7,3,11,perm,0.0018676335226448515
real,7,3,29,real,0.06436799483410571
real,7,3,29,perm,0.0013505059004302877
real,7,5,11,real,0.08809463666864104
real,7,5,11,perm,-0.0006364074696549871
real,7,5,29,real,0.07334054268261159
real,7,5,29,perm,0.0003228729409595621
real,7,8,11,real,0.10495155909109055
real,7,8,11,perm,-0.002335061357003565
real,7,8,29,real,0.08393704328732488
real,7,8,29,perm,-0.000621623145758865
real,7,12,11,real,0.10695854384739212
real,7,12,11,perm,-0.002782225012583517
real,7,12,29,real,0.08810004575253316
real,7,12,29,perm,-0.0030446868471425415
real,7,16,11,real,0.11945780539972495
real,7,16,11,perm,-0.0035071879238588455
real,7,16,29,real,0.09705405724207206
real,7,16,29,perm,-0.0061744742238599715
real,7,24,11,real,0.1340157578158213
real,7,24,11,perm,-0.010005566461521731
real,7,24,29,real,0.1221205095900102
real,7,24,29,perm,-0.0067970724383721315
real,7,32,11,real,0.14431790954493617
real,7,32,11,perm,-0.01049968088744857
real,7,32,29,real,0.14048924368604765
real,7,32,29,perm,-0.009222588324991676
real,8,1,11,real,0.004121311069299027
real,8,1,11,perm,-0.0010963511402143356
real,8,1,29,real,0.0018803351063805263
real,8,1,29,perm,-5.360906492302142e-05
real,8,2,11,real,0.014716276929757188
real,8,2,11,perm,-0.0007692853176441972
real,8,2,29,real,0.00908100229851394
real,8,2,29,perm,-0.0007393165508438049
real,8,3,11,real,0.014019080230770253
real,8,3,11,perm,-0.0014345828420769813
real,8,3,29,real,0.010022214382924943
real,8,3,29,perm,-0.0008782894653884821
real,8,5,11,real,0.019046755746249366
real,8,5,11,perm,-0.0035343465581414435
real,8,5,29,real,0.015361228627080892
real,8,5,29,perm,-0.001970139527681214
real,8,8,11,real,0.02169393406392439
real,8,8,11,perm,-0.00536819398582522
real,8,8,29,real,0.019078538276487866
real,8,8,29,perm,-0.002031234416309813
real,8,12,11,real,0.029168316620664658
real,8,12,11,perm,-0.006249750847000191
real,8,12,29,real,0.023392738564930626
real,8,12,29,perm,-0.0030431638211431133
real,8,16,11,real,0.03150986475418538
real,8,16,11,perm,-0.007956199412424536
real,8,16,29,real,0.028415111876132992
real,8,16,29,perm,-0.004242904592185459
real,8,24,11,real,0.04112800257351423
real,8,24,11,perm,-0.010218151721823165
real,8,24,29,real,0.03109406434448636
real,8,24,29,perm,-0.009657532755143694
real,8,32,11,real,0.03891136206473911
real,8,32,11,perm,-0.013471614764319129
real,8,32,29,real,0.030463822284662934
real,8,32,29,perm,-0.014402589690342249
real,13,1,11,real,0.005811665205011973
real,13,1,11,perm,4.6692070390097484e-06
real,13,1,29,real,0.004982804111320016
real,13,1,29,perm,-9.564713649234946e-05
real,13,2,11,real,0.007127071278681063
real,13,2,11,perm,-9.774385198346724e-05
real,13,2,29,real,0.006299237299887794
real,13,2,29,perm,-0.0001301221904763672
real,13,3,11,real,0.012709485688505828
real,13,3,11,perm,-0.0002965155800823682
real,13,3,29,real,0.012516706305608638
real,13,3,29,perm,-0.00011260412899483097
real,13,5,11,real,0.014585508551753223
real,13,5,11,perm,-0.0004969131089443968
real,13,5,29,real,0.014469900986988637
real,13,5,29,perm,-0.0002863318976739082
real,13,8,11,real,0.01687297792002107
real,13,8,11,perm,-0.0006621495020666668
real,13,8,29,real,0.01779338299392419
real,13,8,29,perm,-0.0005378791458906518
real,13,12,11,real,0.023807739872934053
real,13,12,11,perm,-0.0009015737992889017
real,13,12,29,real,0.022519988109791722
real,13,12,29,perm,-0.0005323975784982116
real,13,16,11,real,0.027274622487031164
real,13,16,11,perm,-0.00107179320579609
real,13,16,29,real,0.026629875405627557
real,13,16,29,perm,-0.000510385396006674
real,13,24,11,real,0.031138651541579465
real,13,24,11,perm,-0.001492390075003791
real,13,24,29,real,0.03140108777974171
real,13,24,29,perm,-0.0012313573746003392
real,13,32,11,real,0.03394074325287211
real,13,32,11,perm,-0.001871528077014517
real,13,32,29,real,0.03369067247787594
real,13,32,29,perm,-0.0018288937442364483
real,17,1,11,real,0.012955266370808682
real,17,1,11,perm,0.0010194151095775927
real,17,1,29,real,0.011901245904899604
real,17,1,29,perm,-0.0008668467971656435
real,17,2,11,real,0.01790553979583953
real,17,2,11,perm,0.0003567810842830532
real,17,2,29,real,0.017280532611808952
real,17,2,29,perm,-0.0026554398234494014
real,17,3,11,real,0.019666807394528196
real,17,3,11,perm,0.0016327350370062277
real,17,3,29,real,0.01993836095637347
real,17,3,29,perm,-0.00413761775307564
real,17,5,11,real,0.02619040181687149
real,17,5,11,perm,0.0024751849818377414
real,17,5,29,real,0.020087567385062344
real,17,5,29,perm,-0.00492373413844982
real,17,8,11,real,0.032361702985122864
real,17,8,11,perm,0.002330842148232315
