world,q,sub,Kc,seed,arm,C,m
real,1,0,1,11,real,0.00014572356874653636,16
real,1,0,1,11,perm,6.0627129708112903e-05,16
real,1,0,1,29,real,0.0002542793493630624,16
real,1,0,1,29,perm,1.8747585188938487e-05,16
real,1,0,2,11,real,0.00023191282308410166,16
real,1,0,2,11,perm,3.394843402715342e-05,16
real,1,0,2,29,real,0.0003618745960832781,16
real,1,0,2,29,perm,9.21949113242837e-05,16
real,1,0,3,11,real,0.0003767972060612079,16
real,1,0,3,11,perm,-4.372678090314164e-05,16
real,1,0,3,29,real,0.00047406761356849625,16
real,1,0,3,29,perm,8.620210541465667e-05,16
real,1,0,5,11,real,0.0005061670708248478,16
real,1,0,5,11,perm,7.481694902666813e-05,16
real,1,0,5,29,real,0.0006365189711492469,16
real,1,0,5,29,perm,-1.0061112612924639e-05,16
real,1,0,8,11,real,0.0018720177931329518,16
real,1,0,8,11,perm,-3.8071812589413057e-05,16
real,1,0,8,29,real,0.0018162763638008839,16
real,1,0,8,29,perm,-0.00014501215256723654,16
real,1,0,12,11,real,0.002635536987297238,16
real,1,0,12,11,perm,-0.00017681052777662742,16
real,1,0,12,29,real,0.0021693243713541976,16
real,1,0,12,29,perm,-0.00021941970907246588,16
real,1,0,16,11,real,0.0021695200845015528,16
real,1,0,16,11,perm,-0.0003735135268262413,16
real,1,0,16,29,real,0.0021484746552052902,16
real,1,0,16,29,perm,-0.0003443600773097577,16
real,1,1,1,11,real,9.890197833195558e-05,16
real,1,1,1,11,perm,3.1987769429364654e-05,16
real,1,1,1,29,real,0.00015774618321651168,16
real,1,1,1,29,perm,3.126814684417667e-05,16
real,1,1,2,11,real,0.0003966154243881803,16
real,1,1,2,11,perm,5.814263605907755e-06,16
real,1,1,2,29,real,0.0009153857413817246,16
real,1,1,2,29,perm,2.9299898420931392e-05,16
real,1,1,3,11,real,0.0006383594699914674,16
real,1,1,3,11,perm,9.811806826909297e-06,16
real,1,1,3,29,real,0.0010871559519662899,16
real,1,1,3,29,perm,-6.120280753252327e-05,16
real,1,1,5,11,real,0.0021645546794388792,16
real,1,1,5,11,perm,-0.00013547409749581352,16
real,1,1,5,29,real,0.002419285539622784,16
real,1,1,5,29,perm,-0.0002730867851851171,16
real,1,1,8,11,real,0.0022409989183738155,16
real,1,1,8,11,perm,-7.04899839696349e-05,16
real,1,1,8,29,real,0.0024174151130653687,16
real,1,1,8,29,perm,-0.00046376595240482654,16
real,1,1,12,11,real,0.0034840625780594436,16
real,1,1,12,11,perm,-0.00028139429994600285,16
real,1,1,12,29,real,0.0036043887688927967,16
real,1,1,12,29,perm,-0.0007797520683249237,16
real,1,1,16,11,real,0.0034019743669670977,16
real,1,1,16,11,perm,-0.0004522866232481437,16
real,1,1,16,29,real,0.0036860270266657613,16
real,1,1,16,29,perm,-0.0009188939865379941,16
real,1,2,1,11,real,0.0002837747847086458,16
real,1,2,1,11,perm,8.233830727533142e-05,16
real,1,2,1,29,real,0.0003530810419900554,16
real,1,2,1,29,perm,8.66189579072918e-05,16
real,1,2,2,11,real,0.0001825616925273943,16
real,1,2,2,11,perm,9.796752076784987e-05,16
real,1,2,2,29,real,0.00024181356609054294,16
real,1,2,2,29,perm,-7.272938726876621e-05,16
real,1,2,3,11,real,0.0007206043401711826,16
real,1,2,3,11,perm,0.00013243708895838147,16
real,1,2,3,29,real,0.0007081370545705123,16
real,1,2,3,29,perm,-0.00015569064917897446,16
real,1,2,5,11,real,0.0007836251389464755,16
real,1,2,5,11,perm,1.7006657061613417e-05,16
real,1,2,5,29,real,0.0007253071688888557,16
real,1,2,5,29,perm,-0.0003284957746612083,16
real,1,2,8,11,real,0.0010804295194091207,16
real,1,2,8,11,perm,-6.51911739563138e-05,16
real,1,2,8,29,real,0.0010658597512513968,16
real,1,2,8,29,perm,-0.00026823906697781563,16
real,1,2,12,11,real,0.0018766186894495496,16
real,1,2,12,11,perm,-0.0003912162249907203,16
real,1,2,12,29,real,0.0032429064854652134,16
real,1,2,12,29,perm,-0.0004998277592115352,16
real,1,2,16,11,real,0.0016842170015723967,16
real,1,2,16,11,perm,-0.0007952888538401703,16
real,1,2,16,29,real,0.003114348479788198,16
real,1,2,16,29,perm,-0.0005958390105348377,16
real,4,0,1,11,real,-8.869902753338987e-05,14
real,4,0,1,11,perm,-0.00028200231602792947,14
real,4,0,1,29,real,0.00030046195947197596,14
real,4,0,1,29,perm,0.0005187537412997267,14
real,4,0,2,11,real,-0.0003502544326530188,14
real,4,0,2,11,perm,-0.00019782164163761884,14
real,4,0,2,29,real,-0.00020226794732136621,14
real,4,0,2,29,perm,0.0004823027929133916,14
real,4,0,3,11,real,-6.241010959773252e-05,14
real,4,0,3,11,perm,-0.00029699965440788123,14
real,4,0,3,29,real,0.0006557189025993004,14
real,4,0,3,29,perm,0.0005599717091121503,14
real,4,0,5,11,real,0.0042043191115482825,14
real,4,0,5,11,perm,-0.0004907392685572498,14
real,4,0,5,29,real,0.00370569071978899,14
real,4,0,5,29,perm,0.00038080644149462994,14
real,4,0,8,11,real,0.006456298190504861,14
real,4,0,8,11,perm,-0.0014064653204624022,14
real,4,0,8,29,real,0.00412127552379693,14
real,4,0,8,29,perm,0.00020265078353609578,14
real,4,0,12,11,real,0.004986231320387002,14
real,4,0,12,11,perm,-0.0022328943816550817,14
real,4,0,12,29,real,0.0019900313524620072,14
real,4,0,12,29,perm,-0.0013343517098058921,14
real,4,1,1,11,real,-0.00010918135412529839,14
real,4,1,1,11,perm,-0.0003110791844280758,14
real,4,1,1,29,real,7.309003904731881e-05,14
real,4,1,1,29,perm,-0.0002278380729617835,14
real,4,1,2,11,real,-0.00038750174384116765,14
real,4,1,2,11,perm,-0.0006056015073440113,14
real,4,1,2,29,real,0.00044016542391134283,14
real,4,1,2,29,perm,-0.0005055682117937055,14
real,4,1,3,11,real,-0.0006577242070789913,14
real,4,1,3,11,perm,-0.0014256482456894704,14
real,4,1,3,29,real,0.00026792358645311154,14
real,4,1,3,29,perm,-0.0002453305825889096,14
real,4,1,5,11,real,-0.0007110466187647546,14
real,4,1,5,11,perm,-0.0011596741097841257,14
real,4,1,5,29,real,-0.0008765600605470381,14
real,4,1,5,29,perm,-0.00118196456616948,14
real,4,1,8,11,real,-0.00027585573900135163,14
real,4,1,8,11,perm,-0.0017552927014099495,14
real,4,1,8,29,real,-0.0014368277335019553,14
real,4,1,8,29,perm,0.00037980480610388945,14
real,4,1,12,11,real,-0.0010044554224883928,14
real,4,1,12,11,perm,-0.001310911553553673,14
real,4,1,12,29,real,-0.0013397664442741375,14
real,4,1,12,29,perm,0.00013421086746057131,14
real,4,2,1,11,real,0.00026809322737175734,14
real,4,2,1,11,perm,-0.0003419830875966978,14
real,4,2,1,29,real,9.01536232107425e-05,14
real,4,2,1,29,perm,5.995991975860093e-05,14
real,4,2,2,11,real,-0.0003669222135911365,14
real,4,2,2,11,perm,-0.0009260676638875864,14
real,4,2,2,29,real,0.0001855500045718772,14
real,4,2,2,29,perm,7.211955453656493e-05,14
real,4,2,3,11,real,-0.0007186912324407269,14
real,4,2,3,11,perm,-0.0012232664932306792,14
real,4,2,3,29,real,0.00014127630766347377,14
real,4,2,3,29,perm,-5.607766973980688e-05,14
real,4,2,5,11,real,1.2812120772309754e-05,14
real,4,2,5,11,perm,-0.0019965326022254315,14
real,4,2,5,29,real,0.0018744427755601478,14
real,4,2,5,29,perm,0.000640538336413865,14
real,4,2,8,11,real,0.0002644895414787296,14
real,4,2,8,11,perm,-0.0029429191809883237,14
real,4,2,8,29,real,0.001542550347474747,14
real,4,2,8,29,perm,0.000623653332249785,14
real,4,2,12,11,real,-0.002237627697304956,14
real,4,2,12,11,perm,-0.0036222893022568314,14
real,4,2,12,29,real,-0.00047610609249426616,14
real,4,2,12,29,perm,0.00040393398763538535,14
real,7,0,1,11,real,0.003085618325275541,10
real,7,0,1,11,perm,-0.001482155301601562,10
real,7,0,1,29,real,0.0038653768622404217,10
real,7,0,1,29,perm,-3.870742164013841e-06,10
real,7,0,2,11,real,0.002086823962247797,10
real,7,0,2,11,perm,-0.002289118624871578,10
real,7,0,2,29,real,0.004608457776201669,10
real,7,0,2,29,perm,-0.00046939772575793626,10
real,7,0,3,11,real,0.0028132800868633234,10
real,7,0,3,11,perm,-0.0025549299156990557,10
real,7,0,3,29,real,0.004515211862958779,10
real,7,0,3,29,perm,-0.0013316070288027504,10
real,7,0,5,11,real,-0.0005380875956594311,10
real,7,0,5,11,perm,-0.0030419219843932366,10
real,7,0,5,29,real,0.009157953613772918,10
real,7,0,5,29,perm,-0.003377796883855977,10
real,7,0,8,11,real,-0.0017429361438128232,10
real,7,0,8,11,perm,-0.0008517735247938196,10
real,7,0,8,29,real,0.007395145685466398,10
real,7,0,8,29,perm,-0.004768650816003195,10
real,7,1,1,11,real,-0.00035397327678654555,10
real,7,1,1,11,perm,-3.6005859596621725e-05,10
real,7,1,1,29,real,0.00015972263331320846,10
real,7,1,1,29,perm,0.0009638870184746073,10
real,7,1,2,11,real,-0.0018792589681211336,10
real,7,1,2,11,perm,0.0002231867419053568,10
real,7,1,2,29,real,-0.0010131250465282848,10
real,7,1,2,29,perm,0.0006949384470510411,10
real,7,1,3,11,real,-0.002199239264168984,10
real,7,1,3,11,perm,0.00012782466367311507,10
real,7,1,3,29,real,-0.0010013078120159058,10
real,7,1,3,29,perm,0.0019071268336315894,10
real,7,1,5,11,real,-0.0010380190968289904,10
real,7,1,5,11,perm,-0.0013981418857168526,10
real,7,1,5,29,real,-0.0032805118523570043,10
real,7,1,5,29,perm,0.0019352625464773565,10
real,7,1,8,11,real,0.00011195863122248628,10
real,7,1,8,11,perm,-0.0014843618199742448,10
real,7,1,8,29,real,-0.002408851173460791,10
real,7,1,8,29,perm,0.0014029951859286793,10
real,7,2,1,11,real,0.0006247185703802671,10
real,7,2,1,11,perm,-0.0006149830954951252,10
real,7,2,1,29,real,0.0011442660702105645,10
real,7,2,1,29,perm,-0.0003876145662274899,10
real,7,2,2,11,real,0.0004981084404969138,10
real,7,2,2,11,perm,-0.003050660550938389,10
real,7,2,2,29,real,-0.0014559850998117074,10
real,7,2,2,29,perm,-0.0006767038904438305,10
real,7,2,3,11,real,0.0011619667685731638,10
real,7,2,3,11,perm,-0.004528252012281464,10
real,7,2,3,29,real,-0.002206407077340322,10
real,7,2,3,29,perm,-0.0021590029773175257,10
real,7,2,5,11,real,0.001390207131349741,10
real,7,2,5,11,perm,-0.00529918696391074,10
real,7,2,5,29,real,-0.002378387098812884,10
real,7,2,5,29,perm,-0.0018608484276455561,10
real,7,2,8,11,real,0.0013377149828578405,10
real,7,2,8,11,perm,-0.006670235942124347,10
real,7,2,8,29,real,0.00015259371838671765,10
real,7,2,8,29,perm,-0.005232007617075873,10
real,8,0,1,11,real,-0.0013739616933635679,10
real,8,0,1,11,perm,-0.002456745176734665,10
real,8,0,1,29,real,6.606254206231732e-06,10
real,8,0,1,29,perm,-0.0006334121534259385,10
real,8,0,2,11,real,-0.0021346642153341477,10
real,8,0,2,11,perm,-0.002729440469681599,10
real,8,0,2,29,real,-0.0016666866057385432,10
real,8,0,2,29,perm,-0.0006598379327366066,10
real,8,0,3,11,real,-0.0017540761703180863,10
real,8,0,3,11,perm,-0.003168428696154968,10
real,8,0,3,29,real,-0.002195042275013659,10
real,8,0,3,29,perm,-0.0018743408952257568,10
real,8,0,5,11,real,0.003944019014255562,10
real,8,0,5,11,perm,-0.00346642345683168,10
real,8,0,5,29,real,0.0033033480694628636,10
real,8,0,5,29,perm,-0.0021806740826999516,10
real,8,0,8,11,real,0.0022420268223271034,10
real,8,0,8,11,perm,-0.005295035651719737,10
real,8,0,8,29,real,0.0024111236663264535,10
real,8,0,8,29,perm,-0.004672062059331017,10
real,8,1,1,11,real,-0.0014428741643087717,10
real,8,1,1,11,perm,0.000601182195604566,10
real,8,1,1,29,real,0.0018366171490344918,10
real,8,1,1,29,perm,-0.00012583976183289103,10
real,8,1,2,11,real,-0.0025117214062554405,10
real,8,1,2,11,perm,-0.0008661503782745328,10
real,8,1,2,29,real,0.001847633014042338,10
real,8,1,2,29,perm,-0.0023240607283324666,10
real,8,1,3,11,real,-0.004453972646315529,10
real,8,1,3,11,perm,-0.0016743679748393303,10
real,8,1,3,29,real,0.002738400615151182,10
real,8,1,3,29,perm,-0.0018591766553714972,10
real,8,1,5,11,real,-0.005856940294079682,10
real,8,1,5,11,perm,-0.003121989400516778,10
real,8,1,5,29,real,0.0033854305311455946,10
real,8,1,5,29,perm,-0.0028585857773991696,10
real,8,1,8,11,real,-2.1706351538197666e-05,10
real,8,1,8,11,perm,-0.0036486939545224972,10
real,8,1,8,29,real,0.00958666561060384,10
real,8,1,8,29,perm,-0.00671336070174211,10
real,8,2,1,11,real,-0.00010491124492761905,10
real,8,2,1,11,perm,-7.520307824249173e-07,10
real,8,2,1,29,real,0.00041756431767858704,10
real,8,2,1,29,perm,-0.0009954843443555905,10
real,8,2,2,11,real,-0.00082237736605828,10
real,8,2,2,11,perm,-0.001868145228537177,10
real,8,2,2,29,real,0.0003852774401230663,10
real,8,2,2,29,perm,-0.0027505090873480853,10
real,8,2,3,11,real,-0.0011191488609901823,10
real,8,2,3,11,perm,-0.0015047397787522065,10
real,8,2,3,29,real,-0.0004484807471089036,10
real,8,2,3,29,perm,-0.004154690172689768,10
real,8,2,5,11,real,-0.002451330107831051,10
real,8,2,5,11,perm,-0.0019193338098419943,10
real,8,2,5,29,real,-0.0007402103334529508,10
real,8,2,5,29,perm,-0.0032491591066783343,10
real,8,2,8,11,real,-0.003021729088623526,10
real,8,2,8,11,perm,-0.002483419892365335,10
real,8,2,8,29,real,7.909154021712439e-06,10
real,8,2,8,29,perm,-0.0043132165692268964,10
real,13,0,1,11,real,-0.0003741594341873933,19
real,13,0,1,11,perm,-0.00010305785822428692,19
real,13,0,1,29,real,-0.00011261936473294654,19
real,13,0,1,29,perm,9.758200472964607e-05,19
real,13,0,2,11,real,-0.0005719541789749316,19
real,13,0,2,11,perm,-8.909294798853384e-05,19
real,13,0,2,29,real,4.863319334758032e-05,19
real,13,0,2,29,perm,0.00011833885884304784,19
real,13,0,3,11,real,-0.0005226002852715128,19
real,13,0,3,11,perm,-0.00010352674826707986,19
real,13,0,3,29,real,-2.2327742154382157e-05,19
real,13,0,3,29,perm,3.947928667291656e-05,19
real,13,0,5,11,real,-0.0007249456277880206,19
real,13,0,5,11,perm,-0.0002870727459435285,19
real,13,0,5,29,real,-1.3444579184174188e-05,19
real,13,0,5,29,perm,-5.748636228686266e-05,19
real,13,0,8,11,real,0.0002064130449551671,19
real,13,0,8,11,perm,-0.0005092070613014199,19
real,13,0,8,29,real,0.0012920524602180183,19
real,13,0,8,29,perm,-0.00016856291445155325,19
real,13,0,12,11,real,0.0009502879976053258,19
real,13,0,12,11,perm,-0.0007943751487361483,19
real,13,0,12,29,real,0.0023482082450452246,19
real,13,0,12,29,perm,-0.0004304469651769116,19
real,13,0,16,11,real,0.0009621541295474767,19
real,13,0,16,11,perm,-0.0011953310720718147,19
real,13,0,16,29,real,0.00246394330928279,19
real,13,0,16,29,perm,-0.0006080475120882056,19
real,13,1,1,11,real,0.0008243507927541138,19
real,13,1,1,11,perm,-7.235824347906483e-05,19
real,13,1,1,29,real,0.0013541195800793604,19
real,13,1,1,29,perm,-0.000178555024053062,19
real,13,1,2,11,real,0.0016519002878367939,19
real,13,1,2,11,perm,-0.00018767707576372583,19
real,13,1,2,29,real,0.001784412545442593,19
real,13,1,2,29,perm,-0.00029595838262552743,19
real,13,1,3,11,real,0.002005543732734316,19
real,13,1,3,11,perm,-0.0002941126529421023,19
real,13,1,3,29,real,0.0020719207966014563,19
real,13,1,3,29,perm,-0.00040450590918572615,19
real,13,1,5,11,real,0.0031127040514244975,19
real,13,1,5,11,perm,-0.0003949765856844367,19
real,13,1,5,29,real,0.00331685302285345,19
real,13,1,5,29,perm,-0.000521528901880064,19
real,13,1,8,11,real,0.004031474665825874,19
real,13,1,8,11,perm,-0.0008111192912002574,19
real,13,1,8,29,real,0.004319122659922625,19
real,13,1,8,29,perm,-0.0006435058895767343,19
real,13,1,12,11,real,0.004980692293601319,19
real,13,1,12,11,perm,-0.001214202663030406,19
real,13,1,12,29,real,0.005529685220690861,19
real,13,1,12,29,perm,-0.0004133973044998518,19
real,13,1,16,11,real,0.0048903383929054245,19
real,13,1,16,11,perm,-0.0011748236913415866,19
real,13,1,16,29,real,0.0054308174123016695,19
