q,world,rank,scale,seed,skill,planted_sd,item_pp,person_pp,person_noise_pp
1,real,,,11,0.01937122604126207,,24.078861350315293,19.894635303869197,11.399289786350582
1,margin,,,11,-0.009981653041237992,0.0,,,
1,plant,2.0,0.05,11,-0.010449056579296068,0.057505287405888124,,,
1,plant,2.0,0.08,11,-0.008750049796609316,0.08888411181452768,,,
1,plant,2.0,0.12,11,-0.0004508024980542924,0.1284697754423399,,,
1,plant,2.0,0.2,11,0.036897636694291136,0.19852365433037752,,,
1,plant,2.0,0.3,11,0.10636969331361823,0.26506013844034404,,,
1,plant,5.0,0.05,11,-0.011208645114468396,0.1037099696379903,,,
1,plant,5.0,0.08,11,-0.0006467863363267545,0.15885977678741836,,,
1,plant,5.0,0.12,11,0.026254221760335206,0.21994427817758325,,,
1,plant,5.0,0.2,11,0.09629029797062183,0.3067672139550589,,,
1,plant,5.0,0.3,11,0.17219348932862666,0.3719304410701682,,,
1,plant,10.0,0.05,11,-0.0066524748275333945,0.14794877131276354,,,
1,plant,10.0,0.08,11,0.01137037404182073,0.21867868464719548,,,
1,plant,10.0,0.12,11,0.04416286694428595,0.28928817042721056,,,
1,plant,10.0,0.2,11,0.10366429944565803,0.37348990191313824,,,
1,plant,10.0,0.3,11,0.14466047926276115,0.4253662981401746,,,
1,real,,,29,0.018571130304663952,,24.078861350315293,19.894635303869197,11.399289786350582
1,margin,,,29,-0.007338000750115703,0.0,,,
1,plant,2.0,0.05,29,-0.013775764189315809,0.05666405689007446,,,
1,plant,2.0,0.08,29,-0.011240438287749455,0.08874641514607307,,,
1,plant,2.0,0.12,29,-0.0031685505582695894,0.1268996979024365,,,
1,plant,2.0,0.2,29,0.03145539365677763,0.18815041632507806,,,
1,plant,2.0,0.3,29,0.08916166953888127,0.24447507882174888,,,
1,plant,5.0,0.05,29,-0.007182924000246227,0.11427387992501138,,,
1,plant,5.0,0.08,29,0.0020218612994121754,0.1727368727730818,,,
1,plant,5.0,0.12,29,0.02208701650627387,0.23766443339034024,,,
1,plant,5.0,0.2,29,0.08205665787836325,0.3241084791686366,,,
1,plant,5.0,0.3,29,0.14114957173440967,0.3835285491693954,,,
1,plant,10.0,0.05,29,-0.006701852712282297,0.15529720101721797,,,
1,plant,10.0,0.08,29,0.011926844458388652,0.22936751764790417,,,
1,plant,10.0,0.12,29,0.046958730016112504,0.30102757845592726,,,
1,plant,10.0,0.2,29,0.1067426946119635,0.3832362057632589,,,
1,plant,10.0,0.3,29,0.1482497120579349,0.43266297948702925,,,
4,real,,,11,0.04709498287491831,,23.711076937630665,15.874767818677038,11.414061379073573
4,margin,,,11,-0.006369991217756943,0.0,,,
4,plant,2.0,0.05,11,-0.008468404798505302,0.0676254407926557,,,
4,plant,2.0,0.08,11,-0.006909677023105409,0.10435440724903183,,,
4,plant,2.0,0.12,11,0.002418149753886545,0.15012011825980606,,,
4,plant,2.0,0.2,11,0.03385409502557524,0.2273050787908945,,,
4,plant,2.0,0.3,11,0.09263141070272041,0.2960537337777461,,,
4,plant,5.0,0.05,11,-0.0067654228739231215,0.10062433349353707,,,
4,plant,5.0,0.08,11,2.5509675525947628e-05,0.15439529340009558,,,
4,plant,5.0,0.12,11,0.017647018359729927,0.21496425795095064,,,
4,plant,5.0,0.2,11,0.08270355729128465,0.30168278146105393,,,
4,plant,5.0,0.3,11,0.15760703088911365,0.3673147090832127,,,
4,plant,10.0,0.05,11,-0.005572346466809042,0.13261789565216922,,,
4,plant,10.0,0.08,11,-0.0013878614277949008,0.19800002214665122,,,
4,plant,10.0,0.12,11,0.0204345950726581,0.26436752177965633,,,
4,plant,10.0,0.2,11,0.06408307750459019,0.35005059913334613,,,
4,plant,10.0,0.3,11,0.1002487112779018,0.407988877650085,,,
4,real,,,29,0.04293087227210901,,23.711076937630665,15.874767818677038,11.414061379073573
4,margin,,,29,-0.007161057389052927,0.0,,,
4,plant,2.0,0.05,29,-0.008732312541951726,0.060793382053755646,,,
4,plant,2.0,0.08,29,-0.0060082173642327374,0.09350019255040408,,,
4,plant,2.0,0.12,29,0.002335634694162203,0.13320026516968492,,,
4,plant,2.0,0.2,29,0.03375591946200773,0.1993912452346761,,,
4,plant,2.0,0.3,29,0.08342299704422829,0.259560968295176,,,
4,plant,5.0,0.05,29,-0.003947257852851105,0.10992649989268839,,,
4,plant,5.0,0.08,29,0.00799811604831313,0.1693437408383378,,,
4,plant,5.0,0.12,29,0.035584333336057705,0.23731995494870584,,,
4,plant,5.0,0.2,29,0.09764117933392014,0.32986941255084257,,,
4,plant,5.0,0.3,29,0.15843556023165906,0.39355131387523784,,,
4,plant,10.0,0.05,29,-0.003422446020475367,0.1325078886471627,,,
4,plant,10.0,0.08,29,0.005445851650262568,0.2001441597769484,,,
4,plant,10.0,0.12,29,0.02161443099758331,0.2716634448892813,,,
4,plant,10.0,0.2,29,0.06152462239174994,0.3604292806635756,,,
4,plant,10.0,0.3,29,0.10753922464032217,0.4169024610382393,,,
7,real,,,11,0.06759420748854184,,15.217455508648337,24.90843866161316,13.63948996769099
7,margin,,,11,-0.021338416155452955,0.0,,,
7,plant,2.0,0.05,11,-0.019818671659083353,0.06744706604574166,,,
7,plant,2.0,0.08,11,-0.017318272941089008,0.10654149567574704,,,
7,plant,2.0,0.12,11,-0.004022804261401003,0.15471816552036613,,,
7,plant,2.0,0.2,11,0.04081002424152924,0.22825687096933067,,,
7,plant,2.0,0.3,11,0.1014177005537652,0.2859895775396188,,,
7,plant,5.0,0.05,11,-0.024109941487715947,0.0948200116451969,,,
7,plant,5.0,0.08,11,-0.025943810400934186,0.1493020163908818,,,
7,plant,5.0,0.12,11,-0.00867687824089236,0.21221438510008114,,,
7,plant,5.0,0.2,11,0.039832735340562975,0.2986714832669596,,,
7,plant,5.0,0.3,11,0.08112765111399867,0.3579390252111188,,,
7,plant,10.0,0.05,11,-0.024516427213660874,0.1538017981986304,,,
7,plant,10.0,0.08,11,-0.009848680127664045,0.2301955363304166,,,
7,plant,10.0,0.12,11,0.00944409207871777,0.30088048807741796,,,
7,plant,10.0,0.2,11,0.0479233656476461,0.3762783293908695,,,
7,plant,10.0,0.3,11,0.061456622820400764,0.4187496625148776,,,
7,real,,,29,0.05659432912240103,,15.217455508648337,24.90843866161316,13.63948996769099
7,margin,,,29,-0.017151108282109417,0.0,,,
7,plant,2.0,0.05,29,-0.037818079500046675,0.08722170362584586,,,
7,plant,2.0,0.08,29,-0.027741795026805294,0.1316119325176421,,,
7,plant,2.0,0.12,29,-0.007137851443105969,0.1730421658240818,,,
7,plant,2.0,0.2,29,0.02893377233246186,0.22817406556754694,,,
7,plant,2.0,0.3,29,0.06874711938119815,0.27611589343739407,,,
7,plant,5.0,0.05,29,-0.025088719550131477,0.10950568939834139,,,
7,plant,5.0,0.08,29,-0.014290070016579781,0.17195952723343486,,,
7,plant,5.0,0.12,29,-0.005903363098991754,0.24082617956818342,,,
7,plant,5.0,0.2,29,0.027247614554730792,0.3270926964207852,,,
7,plant,5.0,0.3,29,0.0724405472248536,0.38208504263606563,,,
7,plant,10.0,0.05,29,-0.01702752866101731,0.16012861068735795,,,
7,plant,10.0,0.08,29,-0.011670608644521963,0.23786747347527004,,,
7,plant,10.0,0.12,29,0.027252661157801672,0.30653934878490696,,,
7,plant,10.0,0.2,29,0.09446074518940573,0.37940405238772973,,,
7,plant,10.0,0.3,29,0.12657871208973748,0.4205451334649231,,,
8,real,,,11,0.021379349719696794,,16.526802315694752,26.078403809392057,13.40853565225803
8,margin,,,11,-0.02501812647869084,0.0,,,
8,plant,2.0,0.05,11,-0.021428831677444693,0.0772490894642871,,,
8,plant,2.0,0.08,11,-0.02021008656400236,0.11945062098907545,,,
8,plant,2.0,0.12,11,-0.011170457071056461,0.16725880514093688,,,
8,plant,2.0,0.2,11,0.030184153132299274,0.23694667619597326,,,
8,plant,2.0,0.3,11,0.07116815020805689,0.29297511257070746,,,
8,plant,5.0,0.05,11,-0.020895330426690784,0.11533582908189141,,,
8,plant,5.0,0.08,11,-0.013278182126106541,0.17777735570525835,,,
8,plant,5.0,0.12,11,0.008747261135804596,0.2420646379121508,,,
8,plant,5.0,0.2,11,0.05407817605922505,0.3230797674853008,,,
8,plant,5.0,0.3,11,0.10895236580556156,0.37789059627475574,,,
8,plant,10.0,0.05,11,-0.01855199139996655,0.1437616267068865,,,
8,plant,10.0,0.08,11,-0.007269584101077919,0.21357294548446087,,,
