q,world,mode,seed,skill,lam
1,real,hard,11,-0.007253405964189219,
1,real,soft,11,0.03208287986565228,8.0
1,margin,hard,11,-0.0632516072373902,
1,margin,soft,11,0.0021932270564186673,8.0
1,planted,hard,11,0.25538784795780634,
1,planted,soft,11,0.20492903355309822,8.0
1,real,hard,29,-0.0035420420568844646,
1,real,soft,29,0.032426563337921155,8.0
1,margin,hard,29,-0.06646655808756885,
1,margin,soft,29,0.0011010960601426367,8.0
1,planted,hard,29,0.25392705547348127,
1,planted,soft,29,0.18525899357909337,8.0
1,real,hard,47,-0.013400948546313352,
1,real,soft,47,0.031466836676510956,8.0
1,margin,hard,47,-0.06045623838278613,
1,margin,soft,47,0.0017596303270948077,8.0
1,planted,hard,47,0.2391477128274132,
1,planted,soft,47,0.18138454728278053,8.0
4,real,hard,11,0.038494832493452424,
4,real,soft,11,0.06254688196512836,4.0
4,margin,hard,11,-0.09374806735694896,
4,margin,soft,11,0.005681576382622677,2.0
4,planted,hard,11,0.26643710496175466,
4,planted,soft,11,0.20545427041929565,4.0
4,real,hard,29,0.020973113734879756,
4,real,soft,29,0.05829043632629949,4.0
4,margin,hard,29,-0.10425406944103888,
4,margin,soft,29,0.005823811820094393,4.0
4,planted,hard,29,0.17762168195896044,
4,planted,soft,29,0.1501971781735396,4.0
4,real,hard,47,0.03523748989620301,
4,real,soft,47,0.061810366962830265,4.0
4,margin,hard,47,-0.09255741131864348,
4,margin,soft,47,0.008508158133015309,4.0
4,planted,hard,47,0.22464875039135013,
4,planted,soft,47,0.17621930146043152,4.0
7,real,hard,11,0.09802010291444341,
7,real,soft,11,0.08117304018588656,2.0
7,margin,hard,11,-0.10386553198920911,
7,margin,soft,11,0.00152155066497206,2.0
7,planted,hard,11,0.2356092036438845,
7,planted,soft,11,0.14376309268722876,2.0
7,real,hard,29,0.09812242369898128,
7,real,soft,29,0.07862335319412606,2.0
7,margin,hard,29,-0.08253474989518028,
7,margin,soft,29,0.004025155739540209,2.0
7,planted,hard,29,0.21077962276007955,
7,planted,soft,29,0.13309978607507156,2.0
7,real,hard,47,0.10569601121516037,
7,real,soft,47,0.08015809938996177,2.0
7,margin,hard,47,-0.12618997546965305,
7,margin,soft,47,0.002431401042027548,2.0
7,planted,hard,47,0.1449659245417967,
7,planted,soft,47,0.11467707770943658,2.0
8,real,hard,11,-0.0458310139102277,
8,real,soft,11,0.03703291354569138,2.0
8,margin,hard,11,-0.07800945168359452,
8,margin,soft,11,0.00278061764092008,2.0
8,planted,hard,11,0.2318662563495626,
8,planted,soft,11,0.13593185501355454,2.0
8,real,hard,29,-0.040379373151673614,
8,real,soft,29,0.034030051205774514,2.0
8,margin,hard,29,-0.08067844551664693,
8,margin,soft,29,0.0017651189631116004,2.0
8,planted,hard,29,0.24962673587560402,
8,planted,soft,29,0.1550529865606326,2.0
8,real,hard,47,-0.04161573446922495,
8,real,soft,47,0.032758853637058216,2.0
8,margin,hard,47,-0.09314750233136881,
8,margin,soft,47,0.0027883284209235804,2.0
8,planted,hard,47,0.21170169357819524,
8,planted,soft,47,0.12292217762651536,2.0
13,real,hard,11,-0.022018347804121263,
13,real,soft,11,0.01763751657647039,4.0
13,margin,hard,11,-0.03652693276593222,
13,margin,soft,11,0.006003882327509258,4.0
13,planted,hard,11,0.3135218611707754,
13,planted,soft,11,0.2373476850250712,8.0
13,real,hard,29,-0.019973569005494185,
13,real,soft,29,0.018940940210559365,4.0
13,margin,hard,29,-0.03749981504868616,
13,margin,soft,29,0.005831034290213033,4.0
13,planted,hard,29,0.3608173266534652,
13,planted,soft,29,0.26920713445029054,8.0
13,real,hard,47,-0.02139576132191212,
13,real,soft,47,0.018587119569131172,4.0
13,margin,hard,47,-0.03913917147796564,
13,margin,soft,47,0.006402967960273953,4.0
13,planted,hard,47,0.2730097085743357,
13,planted,soft,47,0.2046888294959568,8.0
17,real,hard,11,-0.018149940535389097,
17,real,soft,11,0.020406775694889023,2.0
17,margin,hard,11,0.002753278030367845,
17,margin,soft,11,0.015313852776325243,2.0
17,planted,hard,11,0.16889314249075638,
17,planted,soft,11,0.11950401998086058,2.0
17,real,hard,29,-0.006978621245337324,
17,real,soft,29,0.02756141186312877,2.0
17,margin,hard,29,-0.020780172144744036,
17,margin,soft,29,0.011125523208707189,2.0
17,planted,hard,29,0.20189526349219455,
17,planted,soft,29,0.11678879888302285,2.0
17,real,hard,47,-0.026195832235917482,
17,real,soft,47,0.0246418160786932,2.0
17,margin,hard,47,-0.019264807561055752,
17,margin,soft,47,0.01224370200389624,2.0
17,planted,hard,47,0.10474513635954152,
17,planted,soft,47,0.08661208500290474,2.0
19,real,hard,11,0.01548281642702698,
19,real,soft,11,0.04413575252130941,4.0
19,margin,hard,11,-0.05832317188591318,
19,margin,soft,11,4.071430434238188e-06,4.0
19,planted,hard,11,0.3580963197913136,
19,planted,soft,11,0.2406745255456889,4.0
19,real,hard,29,0.013632202300733143,
19,real,soft,29,0.04213141650714758,4.0
19,margin,hard,29,-0.05017678920073099,
19,margin,soft,29,0.0002518022102218076,4.0
19,planted,hard,29,0.2774779731366982,
19,planted,soft,29,0.20324903336415778,4.0
19,real,hard,47,0.014131183799965474,
19,real,soft,47,0.0440845035990296,4.0
19,margin,hard,47,-0.048512889830566674,
19,margin,soft,47,-7.184309172991732e-05,4.0
19,planted,hard,47,0.3065109433808474,
19,planted,soft,47,0.23218030958379143,4.0
29,real,hard,11,0.021335267651516165,
29,real,soft,11,0.05062758273422685,4.0
29,margin,hard,11,-0.054660475047806134,
29,margin,soft,11,0.0029211397414861118,4.0
29,planted,hard,11,0.32558781674749093,
29,planted,soft,11,0.2465379876027236,8.0
29,real,hard,29,0.022694893285965523,
29,real,soft,29,0.05249887449453439,4.0
29,margin,hard,29,-0.051209856654646835,
29,margin,soft,29,0.0028285891069217417,4.0
29,planted,hard,29,0.2894408755739587,
29,planted,soft,29,0.209917218798091,4.0
29,real,hard,47,0.02317894727727965,
29,real,soft,47,0.053018281883760454,4.0
29,margin,hard,47,-0.04846270264143049,
29,margin,soft,47,0.0013297408325184668,4.0
29,planted,hard,47,0.33092827252964396,
29,planted,soft,47,0.23022771739539705,4.0
39,real,hard,11,0.034193997310251745,
39,real,soft,11,0.051751390553715804,2.0
39,margin,hard,11,-0.09636186436485406,
39,margin,soft,11,0.001853443066614946,2.0
39,planted,hard,11,0.24503633374191836,
39,planted,soft,11,0.17253670743834293,2.0
39,real,hard,29,0.02549893730009467,
39,real,soft,29,0.052320546490962294,2.0
39,margin,hard,29,-0.09396790725970106,
39,margin,soft,29,0.0015576062531982293,2.0
39,planted,hard,29,0.19608682872332384,
39,planted,soft,29,0.12319232275179881,2.0
39,real,hard,47,0.0030787917907453277,
39,real,soft,47,0.04698228866567711,2.0
39,margin,hard,47,-0.09505004358574576,
39,margin,soft,47,0.0014132029706983573,2.0
39,planted,hard,47,0.16016114326335773,
39,planted,soft,47,0.12615422651555586,2.0
42,real,hard,11,0.08480504282136836,
42,real,soft,11,0.09020833233801295,2.0
42,margin,hard,11,-0.06264738072477005,
42,margin,soft,11,0.003124443290924983,2.0
42,planted,hard,11,0.2691645101976645,
42,planted,soft,11,0.22179745113821603,4.0
42,real,hard,29,0.08754089931820219,
42,real,soft,29,0.09071531327348781,2.0
42,margin,hard,29,-0.0644018933978,
42,margin,soft,29,0.0038200439535001074,2.0
42,planted,hard,29,0.25954133852951544,
42,planted,soft,29,0.19755432013873897,4.0
42,real,hard,47,0.07650309208030914,
42,real,soft,47,0.08783290457761928,2.0
42,margin,hard,47,-0.0552681136091594,
42,margin,soft,47,0.0036442888667465034,2.0
42,planted,hard,47,0.27290706399425335,
42,planted,soft,47,0.21923469547957042,4.0
48,real,hard,11,0.11398487318366712,
48,real,soft,11,0.08562215359275904,4.0
48,margin,hard,11,-0.05981383822902764,
48,margin,soft,11,0.004192092315029372,4.0
48,planted,hard,11,0.0921265924147775,
48,planted,soft,11,0.0825631142147184,4.0
48,real,hard,29,0.1286895889954448,
48,real,soft,29,0.08795831820135114,4.0
48,margin,hard,29,-0.05910408914128229,
48,margin,soft,29,0.004625369620407382,4.0
48,planted,hard,29,0.17297245567321662,
48,planted,soft,29,0.12358034429821751,4.0
48,real,hard,47,0.12526157538846938,
48,real,soft,47,0.08772603373803955,4.0
48,margin,hard,47,-0.07221387645937649,
48,margin,soft,47,0.003306954722652522,4.0
48,planted,hard,47,0.1485250408130776,
48,planted,soft,47,0.12206571773870833,4.0
53,real,hard,11,0.03000036118099647,
53,real,soft,11,0.04714414282201995,4.0
53,margin,hard,11,-0.030523106847505477,
53,margin,soft,11,0.0013330708051088047,4.0
53,planted,hard,11,0.2743555359988932,
53,planted,soft,11,0.197245433640042,4.0
53,real,hard,29,0.010608843039325522,
53,real,soft,29,0.04086556906600536,4.0
53,margin,hard,29,-0.037175166480642674,
53,margin,soft,29,0.0003789648725547323,4.0
53,planted,hard,29,0.29090836295726374,
53,planted,soft,29,0.21887731112319386,4.0
53,real,hard,47,0.0173657642306414,
53,real,soft,47,0.0434727246861365,4.0
53,margin,hard,47,-0.028863493810662333,
53,margin,soft,47,-0.00024711674390109906,4.0
53,planted,hard,47,0.29850530744244175,
53,planted,soft,47,0.2211467228600208,4.0
55,real,hard,11,-0.015010670563503359,
55,real,soft,11,0.02595090876004502,4.0
55,margin,hard,11,-0.053406135814778155,
55,margin,soft,11,0.005928892045491518,4.0
55,planted,hard,11,0.22358013346968386,
55,planted,soft,11,0.16329506093276824,4.0
55,real,hard,29,-0.0013939065360784042,
55,real,soft,29,0.026010679159942596,4.0
55,margin,hard,29,-0.0696079341209328,
55,margin,soft,29,0.005515033565519745,4.0
55,planted,hard,29,0.23673350383274605,
55,planted,soft,29,0.16601952378186435,4.0
55,real,hard,47,-0.012312393970831281,
55,real,soft,47,0.025487887338114135,4.0
55,margin,hard,47,-0.07069365243244308,
55,margin,soft,47,0.005231387795797349,4.0
55,planted,hard,47,0.28660192872525403,
55,planted,soft,47,0.20084228363695555,4.0
62,real,hard,11,0.008486995836257116,
62,real,soft,11,0.04139880731968337,4.0
62,margin,hard,11,-0.06515516756491335,
62,margin,soft,11,0.002454003758832868,4.0
