q,world,mode,seed,alpha,hyp,I,P,C,W
1,real,soft,11,0.0,8.0,0.24007338555065305,0.10263532604903708,0.011099202641448369,0.01171674056160173
1,noI,soft,11,100.0,8.0,-4.914692652846497e-09,0.0766191364616417,0.0009089831737995601,-0.021033624983287088
1,noP,soft,11,100.0,8.0,0.2343778930526308,-7.569275364386711e-05,-0.0012669558611591765,-0.00021925341056849845
1,noW,soft,11,100.0,8.0,0.2373009219609658,0.10435089530461765,0.0030067053375410395,-0.019849889500675833
1,planted,soft,11,100.0,8.0,0.08862018556261875,0.00028864287073733047,0.01751312456403408,0.11245504472567562
1,real,hard,11,0.0,1.0,0.2400927931227617,0.0904456229431903,0.010228881763940156,-0.027897372153043127
1,noW,hard,11,100.0,1.0,0.2375813999472963,0.09521679564515936,0.0032631539200823714,-0.09822522044597591
1,noC,soft,11,100.0,8.0,0.24017716552083676,0.10305602734094672,-0.0005256373726392297,0.013003974522571782
1,real,soft,29,100.0,8.0,0.23771517934743827,0.10091297327446298,0.011486170127507828,0.011857219165665336
1,noI,soft,29,100.0,8.0,-2.1568296343042283e-05,0.07619509125328129,0.0016604204823978674,-0.02122642276960804
1,noP,soft,29,100.0,8.0,0.23529210907959994,-0.0002629114143356629,4.79726358526648e-05,-0.0005549446188524061
1,noW,soft,29,100.0,8.0,0.23332597682181724,0.10202701288345208,0.0017838022792242094,-0.022092041768048843
1,planted,soft,29,100.0,8.0,0.11346291872883403,-3.438481966810032e-05,0.02921077966339122,0.09525840606329576
1,real,hard,29,100.0,1.0,0.2380828608961272,0.08772952221085115,0.010638310009556385,-0.023466713149313246
1,noW,hard,29,100.0,1.0,0.23323206950960304,0.09104355414881009,0.0019284664103636122,-0.09045524686384782
1,noC,soft,29,100.0,8.0,0.23715318632335164,0.10159507023238769,-0.0009160604330005206,0.013132218624369104
1,real,soft,47,0.0,8.0,0.23973894100886697,0.09693263943916115,0.009263762887403004,0.011086311849268402
1,noI,soft,47,100.0,8.0,-7.311868277515288e-09,0.07868112453329132,0.0007971500637881469,-0.021826790137033557
1,noP,soft,47,100.0,8.0,0.2359307365322363,-3.8755004031896606e-05,-0.000553951545899332,-0.00029067318175154955
1,noW,soft,47,100.0,8.0,0.24381486612300157,0.09838081560006845,0.0012042766326064065,-0.019334711108271757
1,planted,soft,47,100.0,8.0,0.10520763119407708,0.0029766596403152006,0.02052914810687697,0.09889161089457946
1,real,hard,47,0.0,1.0,0.24170567496949621,0.08401170608040567,0.008662014826926134,-0.03617851887959907
1,noW,hard,47,100.0,1.0,0.24399390617461758,0.08891463024867373,0.0014231052683997454,-0.093194384153782
1,noC,soft,47,100.0,8.0,0.23952238017155555,0.09726938105553555,-0.0010386472721794122,0.012421555347076525
4,real,soft,11,100.0,4.0,0.26543095400593353,0.06041478178161956,0.007818879943441001,0.04288972207137878
4,noI,soft,11,100.0,8.0,-2.350157309501573e-09,0.022911115500232206,-0.002485381054171454,-0.01059122080434179
4,noP,soft,11,100.0,4.0,0.27100122268074184,-0.00029251286863937737,-0.003971826575562637,-0.002306057810046604
4,noW,soft,11,100.0,4.0,0.2608428990011531,0.055138948949838854,-0.0002974248007278635,-0.016006889479935962
4,planted,soft,11,100.0,8.0,0.11568678769590443,-7.87398377980845e-10,0.017451418656539697,0.1043498998829586
4,real,hard,11,100.0,1.0,0.25672919664140925,0.051685672450373955,0.009095489700928234,0.012096377362869412
4,noW,hard,11,100.0,1.0,0.2506860864569611,0.04271902773888122,-0.0004922898793868757,-0.07815022912060345
4,noC,soft,11,100.0,4.0,0.2632203222000127,0.060632376374772215,-0.0014135821245307247,0.043583784100959824
4,real,soft,29,100.0,4.0,0.25706240469217334,0.057861446472955845,0.008918652113263195,0.03940542284062307
4,noI,soft,29,100.0,8.0,1.1502045722820247e-05,0.03578628083262922,-0.0022156919698132216,-0.016408517847220867
4,noP,soft,29,100.0,1.0,0.2730384607529716,-6.381857987370715e-05,-0.003114045625494564,0.0004620445190012904
4,noW,soft,29,100.0,4.0,0.2645510174310806,0.061438527485232125,-0.0023723425243714256,-0.01870080037418485
4,planted,soft,29,100.0,8.0,0.12625589892535882,0.0025430488839633114,0.035990667215145294,0.09138659643276167
4,real,hard,29,100.0,1.0,0.24649864314691927,0.049848125996487413,0.011006468628614994,-0.011836649664078037
4,noW,hard,29,100.0,1.0,0.24113293847255562,0.05267187547243066,-0.002411524190191685,-0.10859811735465694
4,noC,soft,29,100.0,4.0,0.25681644224658656,0.05800791733917028,-0.0010696315102729874,0.03983063474896368
4,real,soft,47,100.0,4.0,0.27882678387047205,0.0557825767848664,0.006568691657522255,0.04040240998001761
4,noI,soft,47,100.0,8.0,2.483555435380443e-09,0.03297678900584099,5.301446237147382e-05,-0.013574719557971442
4,noP,soft,47,100.0,8.0,0.2507692458222406,0.00011275496539892016,-0.002223397566444925,-0.0007660991730260396
4,noW,soft,47,100.0,4.0,0.283921755882098,0.06296618721083432,0.0012379176553052687,-0.01549508384785083
4,planted,soft,47,100.0,8.0,0.09858308478458216,2.5847289217543535e-05,0.029574128617772068,0.07872192868312991
4,real,hard,47,100.0,1.0,0.2673260757443461,0.04804480533761641,0.008047932951276066,0.007163310782584467
4,noW,hard,47,100.0,1.0,0.2718091674775338,0.05216593450587641,0.0012976537534973946,-0.09897758328666915
4,noC,soft,47,100.0,4.0,0.2794035731230209,0.05558713895283884,-0.000812115250180249,0.041232966889329384
7,real,soft,11,100.0,4.0,0.09303594975447363,0.14539152084913004,0.02711028056114343,0.04543065407787339
7,noI,soft,11,100.0,4.0,-5.1695517588878914e-09,0.12773706796299428,-0.005481568246267249,-0.03610909195531635
7,noP,soft,11,100.0,1.0,0.08800530321336104,0.0010553395658074818,-0.0082381876816263,-0.0032803508533341868
7,noW,soft,11,100.0,4.0,0.0997069260367299,0.1492718919409188,-0.004941641425301504,-0.030895437685925575
7,planted,soft,11,10.0,8.0,0.03165607661950713,-0.002105519294598873,0.024681869064795737,0.08120927996845212
7,real,hard,11,100.0,1.0,0.09450831083303984,0.138960903863507,0.01623938870176298,0.01640696398583169
7,noW,hard,11,100.0,1.0,0.09957448062725692,0.13407569771772068,-0.0038804723506268013,-0.14470426494574545
7,noC,soft,11,100.0,4.0,0.09302559754261804,0.141777821841833,-0.003151474773032736,0.05558240039087897
7,real,soft,29,100.0,4.0,0.07875052242635017,0.15186451222920155,0.02675444062222417,0.04209664976303025
7,noI,soft,29,100.0,4.0,-8.871868036515924e-09,0.12254675866017657,-0.011836788681531188,-0.03797332009626243
7,noP,soft,29,100.0,4.0,0.10250411978012008,0.00020768425094313167,-0.0039291275962056085,-0.0037777558246792167
7,noW,soft,29,100.0,4.0,0.0859024699224844,0.155362084004645,0.0009330756615847184,-0.040353915973842025
7,planted,soft,29,100.0,8.0,0.03284041196327386,-0.005935786092285195,0.012104459910839065,0.10588672195067801
7,real,hard,29,100.0,1.0,0.08149579313688615,0.1454281512660457,0.017341217613504614,0.02880043729687859
7,noW,hard,29,100.0,1.0,0.08554550881648143,0.13975529436121747,0.0017920376148457355,-0.16419798778635164
7,noC,soft,29,100.0,4.0,0.0790048242513976,0.14852890834496923,-0.0014801797255417637,0.05324510550834627
7,real,soft,47,100.0,4.0,0.08104795636217618,0.15696269110362798,0.03610730286146541,0.049872036766838615
7,noI,soft,47,100.0,4.0,9.178677493985413e-09,0.14928558936783906,0.0002717922975214725,-0.04640918179976923
7,noP,soft,47,100.0,1.0,0.08422787632990045,-0.0036190208853161816,-0.01260106742159763,-0.0013414487104650983
7,noW,soft,47,100.0,4.0,0.07925622581169714,0.1396307856799775,-0.0041122498550963575,-0.03149683380543755
7,planted,soft,47,100.0,8.0,0.0403569758909873,-0.0014750603231031092,0.047296988185490586,0.07516158125415195
7,real,hard,47,100.0,1.0,0.08154000917190625,0.14655327650182184,0.024810833867104556,0.030708606362584906
7,noW,hard,47,100.0,1.0,0.07833664741128701,0.12671458435278063,-0.004136610198321955,-0.17382118290078644
7,noC,soft,47,100.0,4.0,0.08073199140754411,0.15392548154438634,-0.0021990018138787204,0.060961211758561264
8,real,soft,11,100.0,4.0,0.12372825203372521,0.14271719400496302,0.005210105908596811,0.00705460093585077
8,noI,soft,11,100.0,4.0,1.2911062774456634e-09,0.14176999772783172,-0.004512304849778473,-0.03877696540407401
8,noP,soft,11,100.0,4.0,0.09936941607593328,3.232543523744766e-05,-0.006131442036882179,0.0002480521600486304
